ENSMUSG	Orig_Symbol	Symbol	Entrezid	Genename	logFC	logCPM	F	PValue	FDR	coef	cluster
ENSMUSG00000038900	Rpl12	Rpl12	269261	ribosomal protein L12	6.013797897980118	9.039304041899323	541.4173390387651	9.372122394889368e-28	8.464900947064078e-24	StrainPWK	6
ENSMUSG00000097554	Gm26825	NA	NA	NA	13.146735052845813	7.0438546822737145	270.18804908027647	1.0841174237009623e-22	4.895874285433546e-19	StrainPWK	6
ENSMUSG00000022671	Mzt2	Mzt2	72083	mitotic spindle organizing protein 2	3.6836390881118537	7.82603036286177	198.6529747997114	3.0492367398653996e-20	9.180235411488096e-17	StrainPWK	6
ENSMUSG00000054702	Ap1s3	Ap1s3	252903	adaptor-related protein complex AP-1, sigma 3	-3.883875979571351	9.548152614666312	195.16243104728173	4.52266656152872e-20	9.520671085674211e-17	StrainPWK	6
ENSMUSG00000064351	mt-Co1	COX1	17708	cytochrome c oxidase subunit I	2.7942046840047925	10.983147331366238	210.08886180681736	5.2705220802005155e-20	9.520671085674211e-17	StrainPWK	6
ENSMUSG00000072692	Rpl37rt	Rpl37rt	100502825	ribosomal protein L37, retrotransposed	-7.899580945317331	9.205137536801484	222.23450176351224	6.176247305751054e-19	9.297310944257253e-16	StrainPWK	6
ENSMUSG00000047675	Rps8	Rps8	20116	ribosomal protein S8	-2.499602783377744	10.97119635708936	146.5718669116127	2.1042658376105872e-17	2.715104149328403e-14	StrainPWK	6
ENSMUSG00000038400	Pmepa1	Pmepa1	65112	prostate transmembrane protein, androgen induced 1	-3.3988984202154136	9.959627613369163	139.44086609520915	6.681924583310165e-17	7.543892854557177e-14	StrainPWK	6
ENSMUSG00000064345	mt-Nd2	ND2	17717	NADH dehydrogenase subunit 2	-4.465004687404662	10.587029476528194	199.4204300364075	1.2117367525595835e-16	1.2160451499020175e-13	StrainPWK	6
ENSMUSG00000017707	Serinc3	Serinc3	26943	serine incorporator 3	-2.275295023742096	10.342605122363159	130.62016613459517	2.1939987616798654e-16	1.9620045093973707e-13	StrainPWK	6
ENSMUSG00000101496	Gm8885	NA	NA	NA	12.596235171731973	5.79947224181061	153.89936322529587	2.3895094777868774e-16	1.9620045093973707e-13	StrainPWK	6
ENSMUSG00000030246	Ldhb	Ldhb	16832	lactate dehydrogenase B	-3.5270997773921207	8.426750629331744	119.43563181390776	1.284278300763565e-15	9.666334677080433e-13	StrainPWK	6
ENSMUSG00000015852	Fcrls	Fcrls	80891	Fc receptor-like S, scavenger receptor	-3.8427514361330832	10.106571869630791	147.77910721761876	7.971535627708628e-15	5.53837767611264e-12	StrainPWK	6
ENSMUSG00000021423	Ly86	Ly86	17084	lymphocyte antigen 86	-2.0873121383849784	10.357682330984831	103.97259884944535	1.7983358389884352e-14	1.1601835212673961e-11	StrainPWK	6
ENSMUSG00000060591	Ifitm2	Ifitm2	80876	interferon induced transmembrane protein 2	3.832937212200322	6.266046443127085	116.70917100063033	8.574476157616101e-14	5.162977910372575e-11	StrainPWK	6
ENSMUSG00000079419	Ms4a6c	Ms4a6c	73656	membrane-spanning 4-domains, subfamily A, member 6C	1.9965863291263652	7.43650012844634	93.31740100738328	1.2929886124135845e-13	7.298920717074685e-11	StrainPWK	6
ENSMUSG00000037443	Cep85	Cep85	70012	centrosomal protein 85	-3.7472563695321464	7.178587066788472	92.37205884350783	2.7564152540206006e-13	1.4644672102537685e-10	StrainPWK	6
ENSMUSG00000108442	RP23-473E20.3	NA	NA	NA	6.8219251264922685	6.892578176192353	169.61786940217647	3.899189915913869e-13	1.9565268511407814e-10	StrainPWK	6
ENSMUSG00000082884	Gm13339	NA	NA	NA	14.897207560547042	10.336211971699957	287.0437324981079	4.976459985704394e-13	2.365651925835899e-10	StrainPWK	6
ENSMUSG00000045128	Rpl18a	Rpl18a	76808	ribosomal protein L18A	-2.3811535617104753	9.884448073184918	81.54746236734017	1.3575846300557277e-12	6.130852189331667e-10	StrainPWK	6
ENSMUSG00000101776	Gm28268	NA	NA	NA	-3.9178920121764462	7.928685795716822	83.9601007468588	1.7979383360097327e-12	7.732847167066622e-10	StrainPWK	6
ENSMUSG00000022048	Dpysl2	Dpysl2	12934	dihydropyrimidinase-like 2	-3.3530074402973984	7.467293426809463	74.15807513606569	6.607826818456177e-12	2.712813264740736e-9	StrainPWK	6
ENSMUSG00000069682	Gm10275	NA	NA	NA	-14.831208888186074	9.745722320794087	159.79878677105341	7.0653429973883206e-12	2.7745294761917962e-9	StrainPWK	6
ENSMUSG00000069892	9930111J21Rik2	9930111J21Rik2	245240	RIKEN cDNA 9930111J21 gene 2	-12.807465345735316	7.2843759737973945	85.71354634260747	9.388669499447846e-12	3.533269288292206e-9	StrainPWK	6
ENSMUSG00000030124	Lag3	Lag3	16768	lymphocyte-activation gene 3	-12.400227271849909	7.517551542071736	74.60754143362195	1.8994913741727775e-11	6.8624824366114105e-09	StrainPWK	6
ENSMUSG00000083594	Gm13722	NA	NA	NA	-3.0484756536403155	8.602367092783636	79.29838920702821	2.928503001411887e-11	1.01731688879816e-8	StrainPWK	6
