ENSMUSG	Orig_Symbol	Symbol	Entrezid	Genename	logFC	logCPM	F	PValue	FDR	coef	cluster
ENSMUSG00000069972	Rps13-ps2	NA	NA	NA	-4.172577417446168	4.789551259248495	15.013164410899295	1.703904845559455e-4	0.9875832484862601	StrainWSB-GenotypeAPP-PS1	8
ENSMUSG00000047804	Akap10	Akap10	56697	A kinase (PRKA) anchor protein 10	-3.4850496840169938	5.071141735880178	13.53753997119898	3.445252972531576e-4	0.9984343114396508	StrainWSB-GenotypeAPP-PS1	8
ENSMUSG00000041695	Kcnj2	Kcnj2	16518	potassium inwardly-rectifying channel, subfamily J, member 2	-5.900306314676877	5.172745907863362	12.21579794318243	6.586037474778103e-4	1	StrainWSB-GenotypeAPP-PS1	8
ENSMUSG00000030785	Cox6a2	Cox6a2	12862	cytochrome c oxidase subunit 6A2	-4.913003066790804	6.2543271575343	11.528182218855958	9.839916340476254e-4	1	StrainWSB-GenotypeAPP-PS1	8
ENSMUSG00000022199	Slc22a17	Slc22a17	59049	solute carrier family 22 (organic cation transporter), member 17	2.025005524685719	5.680585238206117	10.346174232587133	0.0016472091687877515	1	StrainWSB-GenotypeAPP-PS1	8
ENSMUSG00000092036	Gm2244	Gm2244	100039452	predicted gene 2244	1.7000656978889284	5.591546275403642	9.593223867143921	0.0026410469688055195	1	StrainWSB-GenotypeAPP-PS1	8
ENSMUSG00000027523	Gnas	Gnas	14683	GNAS (guanine nucleotide binding protein, alpha stimulating) complex locus	-1.7175171170625425	6.620670090336658	9.286690239288705	0.0028703504553960453	1	StrainWSB-GenotypeAPP-PS1	8
ENSMUSG00000083380	Gm3244	NA	NA	NA	-2.3765431997333843	4.936772079093545	9.121517296027983	0.003056530861450025	1	StrainWSB-GenotypeAPP-PS1	8
ENSMUSG00000058446	Znrf2	Znrf2	387524	zinc and ring finger 2	-2.0883780245286414	5.87481725989575	8.733388222644654	0.0037269907323359817	1	StrainWSB-GenotypeAPP-PS1	8
ENSMUSG00000044519	Zfp488	Zfp488	382867	zinc finger protein 488	1.121652618317698	8.245544690919877	8.801130412912684	0.0037567876652501776	1	StrainWSB-GenotypeAPP-PS1	8
ENSMUSG00000001100	Poldip2	Poldip2	67811	polymerase (DNA-directed), delta interacting protein 2	-2.0385600671376993	5.724864133027972	8.580266399228721	0.004031669651575108	1	StrainWSB-GenotypeAPP-PS1	8
ENSMUSG00000049130	C5ar1	C5ar1	12273	complement component 5a receptor 1	1.399781219824315	5.956211182139881	8.318137175132708	0.004614308484478026	1	StrainWSB-GenotypeAPP-PS1	8
ENSMUSG00000040952	Rps19	Rps19	20085	ribosomal protein S19	-1.1610773945150288	7.8466857757557005	8.412628659730418	0.004737387286506875	1	StrainWSB-GenotypeAPP-PS1	8
ENSMUSG00000039671	Zmynd8	Zmynd8	228880	zinc finger, MYND-type containing 8	-1.0226395022022232	8.008797365116923	8.1122137135964	0.005249660427255412	1	StrainWSB-GenotypeAPP-PS1	8
ENSMUSG00000102712	Gm37758	NA	NA	NA	-1.2291382487108815	8.060190485277404	8.244077168489937	0.00531922057425811	1	StrainWSB-GenotypeAPP-PS1	8
ENSMUSG00000068566	Myadm	Myadm	50918	myeloid-associated differentiation marker	1.4977081457789512	6.252865115692397	7.975154814660494	0.0055106786517718186	1	StrainWSB-GenotypeAPP-PS1	8
ENSMUSG00000061411	Nol4l	Nol4l	329540	nucleolar protein 4-like	-2.2735624126483756	6.061459174096193	7.912875679126353	0.005691860579589816	1	StrainWSB-GenotypeAPP-PS1	8
ENSMUSG00000006057	Atp5g1	Atp5g1	11951	ATP synthase, H+ transporting, mitochondrial F0 complex, subunit C1 (subunit 9)	-2.476932537902052	5.660833565722537	7.743242688470982	0.006217275045466338	1	StrainWSB-GenotypeAPP-PS1	8
ENSMUSG00000083465	Gm11652	NA	NA	NA	-3.1704007774829117	4.83588555961896	7.633569741270775	0.0065834673448967405	1	StrainWSB-GenotypeAPP-PS1	8
ENSMUSG00000107233	Gm42959	NA	NA	NA	-4.7190611723207825	4.410551445578473	7.629680002651889	0.006618293236019684	1	StrainWSB-GenotypeAPP-PS1	8
