ENSMUSG	Orig_Symbol	Symbol	Entrezid	Genename	logFC	logCPM	F	PValue	FDR	coef	cluster
ENSMUSG00000037443	Cep85	Cep85	70012	centrosomal protein 85	-7.210924691790046	7.151472245205244	323.9620486240827	1.0469687391398397e-36	6.068230812054511e-33	StrainWSB	8
ENSMUSG00000027014	Cwc22	Cwc22	80744	CWC22 spliceosome-associated protein	6.288538897711065	8.461233813318593	275.70646655358604	1.3950001270402439e-33	4.042710368162627e-30	StrainWSB	8
ENSMUSG00000027315	Spint1	Spint1	20732	serine protease inhibitor, Kunitz type 1	-8.07817824852483	6.926614310152673	203.86467134135458	5.846070789668579e-23	1.1294608765639694e-19	StrainWSB	8
ENSMUSG00000049436	Upk1b	Upk1b	22268	uroplakin 1B	-4.657591674453244	5.503233632280892	128.45017178708486	5.490389782804653e-21	7.955574795283942e-18	StrainWSB	8
ENSMUSG00000025810	Nrp1	Nrp1	18186	neuropilin 1	-4.365609139203423	5.924593668033603	119.89217964889852	4.844488358542179e-20	5.615730905222095e-17	StrainWSB	8
ENSMUSG00000023087	Noct	Noct	12457	nocturnin	-2.8995873166624087	7.288063791622698	122.68050763817617	1.568597234296404e-19	1.5152649283303263e-16	StrainWSB	8
ENSMUSG00000063696	Gm8730	NA	NA	NA	-6.895450565277225	6.518793463048334	108.89862779075372	2.7328295716927388e-18	2.2627828853615877e-15	StrainWSB	8
ENSMUSG00000024084	Qpct	Qpct	70536	glutaminyl-peptide cyclotransferase (glutaminyl cyclase)	4.559516556962851	6.874894146394035	97.9324890627598	1.8769230239629505e-17	1.3598307308611577e-14	StrainWSB	8
ENSMUSG00000056014	A430033K04Rik	A430033K04Rik	243308	RIKEN cDNA A430033K04 gene	-4.4791459949051715	6.332551934465914	99.13392040666022	2.447218272373209e-17	1.5760085674083465e-14	StrainWSB	8
ENSMUSG00000108173	Gm44231	NA	NA	NA	-2.8130008007182687	6.949154720944217	96.0215221571674	3.2416793613359106e-17	1.816379178515019e-14	StrainWSB	8
