ENSMUSG	Orig_Symbol	Symbol	Entrezid	Genename	logFC	logCPM	F	PValue	FDR	coef	cluster
ENSMUSG00000026249	Serpine2	Serpine2	20720	serine (or cysteine) peptidase inhibitor, clade E, member 2	1.194634352894758	7.848881338773848	84.0492877156639	7.141655882659981e-10	1.2252938997879728e-5	StrainPWK-GenotypeAPP-PS1	H
ENSMUSG00000001123	Lgals9	Lgals9	16859	lectin, galactose binding, soluble 9	1.0681004170317236	6.505247164366178	51.954443683577786	8.219799901603796e-8	7.051355345590816e-4	StrainPWK-GenotypeAPP-PS1	H
ENSMUSG00000041012	Cmtm8	Cmtm8	70031	CKLF-like MARVEL transmembrane domain containing 8	1.4373530080474723	5.062312028103544	51.11482746812997	1.515190819400614e-7	8.665376296152112e-4	StrainPWK-GenotypeAPP-PS1	H
ENSMUSG00000023367	Tmem176a	Tmem176a	66058	transmembrane protein 176A	-1.0714475983741714	8.076193264176213	42.33497187220955	5.412155061647257e-7	0.002206193864334058	StrainPWK-GenotypeAPP-PS1	H
ENSMUSG00000073489	Ifi204	Ifi204	15951	interferon activated gene 204	2.446791327084555	2.8994085319219485	43.21965320367939	6.429427826350929e-7	0.002206193864334058	StrainPWK-GenotypeAPP-PS1	H
ENSMUSG00000066456	Hmgn3	Hmgn3	94353	high mobility group nucleosomal binding domain 3	4.673140529189202	4.134024296691242	43.16581143963913	2.665383988225186e-6	0.0076216655143299195	StrainPWK-GenotypeAPP-PS1	H
ENSMUSG00000025492	Ifitm3	Ifitm3	66141	interferon induced transmembrane protein 3	1.9615811469680116	4.608981155836114	37.384549876446215	5.235596200762774e-6	0.012832446288069559	StrainPWK-GenotypeAPP-PS1	H
ENSMUSG00000105814	Mir703	Mir703	735265	microRNA 703	8.21838889313661	4.678120502914427	39.3035104400034	6.0760388178432505e-6	0.013030824749717082	StrainPWK-GenotypeAPP-PS1	H
ENSMUSG00000024675	Ms4a4c	Ms4a4c	64380	membrane-spanning 4-domains, subfamily A, member 4C	2.0135413429483364	1.7063317662380983	29.490135416933203	8.922863950743298e-6	0.017009952978100307	StrainPWK-GenotypeAPP-PS1	H
ENSMUSG00000029561	Oasl2	Oasl2	23962	2'-5' oligoadenylate synthetase-like 2	2.356566099550774	2.1863917142421694	29.266297830415382	1.4930086094344249e-5	0.02561554871206643	StrainPWK-GenotypeAPP-PS1	H
ENSMUSG00000032549	Rab6b	Rab6b	270192	RAB6B, member RAS oncogene family	4.367232634729334	5.07890961193515	30.652773534716285	2.803051643551446e-5	0.04371996095310197	StrainPWK-GenotypeAPP-PS1	H
ENSMUSG00000034459	Ifit1	Ifit1	15957	interferon-induced protein with tetratricopeptide repeats 1	2.0922379493412295	1.2686526144823804	24.28547347883125	3.4883783537776536e-5	0.049875089513136	StrainPWK-GenotypeAPP-PS1	H
ENSMUSG00000031765	Mt1	Mt1	17748	metallothionein 1	2.6333743088589943	6.134306925562033	28.3765198082121	4.3291576599165884e-5	0.05713489074706839	StrainPWK-GenotypeAPP-PS1	H
ENSMUSG00000029810	Tmem176b	Tmem176b	65963	transmembrane protein 176B	-0.8352750806426955	8.68276666653049	23.063814222487366	5.4681876961018154e-5	0.0594329849941425	StrainPWK-GenotypeAPP-PS1	H
ENSMUSG00000015852	Fcrls	Fcrls	80891	Fc receptor-like S, scavenger receptor	0.9370694941256595	10.386802546638355	23.40378720532736	5.632305279256818e-5	0.0594329849941425	StrainPWK-GenotypeAPP-PS1	H
ENSMUSG00000032202	Rab27a	Rab27a	11891	RAB27A, member RAS oncogene family	0.7148830183721925	4.222230364111453	22.51765331467362	5.731547407907502e-5	0.0594329849941425	StrainPWK-GenotypeAPP-PS1	H
ENSMUSG00000057863	Rpl36	Rpl36	54217	ribosomal protein L36	1.2420014114563644	9.007169736529999	24.974266714038322	5.888912658975476e-5	0.0594329849941425	StrainPWK-GenotypeAPP-PS1	H
ENSMUSG00000052749	Trim30b	Trim30b	244183	tripartite motif-containing 30B	1.4837453578495772	1.7807726819862377	22.015310276312253	6.622858648116049e-5	0.0631268810142928	StrainPWK-GenotypeAPP-PS1	H
ENSMUSG00000041827	Oasl1	Oasl1	231655	2'-5' oligoadenylate synthetase-like 1	2.8741356743001205	-0.6110154487633885	22.13256642998549	8.289483434497947e-5	0.07373844539142015	StrainPWK-GenotypeAPP-PS1	H
ENSMUSG00000032231	Anxa2	Anxa2	12306	annexin A2	3.36974646781326	0.18135896737532722	21.017522898840042	8.867345473725718e-5	0.07373844539142015	StrainPWK-GenotypeAPP-PS1	H
ENSMUSG00000033880	Lgals3bp	Lgals3bp	19039	lectin, galactoside-binding, soluble, 3 binding protein	1.738143908778969	6.076689197722892	24.569418545900827	9.025513511801732e-5	0.07373844539142015	StrainPWK-GenotypeAPP-PS1	H
ENSMUSG00000039904	Gpr37	Gpr37	14763	G protein-coupled receptor 37	1.4810933370063506	3.7754753986724885	21.475383011643	1.1382669034614169e-4	0.08876929664857969	StrainPWK-GenotypeAPP-PS1	H
ENSMUSG00000025810	Nrp1	Nrp1	18186	neuropilin 1	1.3435804312147728	5.895551516739826	21.306081159359483	1.2641641184596916e-4	0.09430114687136056	StrainPWK-GenotypeAPP-PS1	H
ENSMUSG00000070667	Rpl31-ps10	NA	NA	NA	6.837222761701897	-0.6348179369247735	19.39289695436214	1.4465801244755659e-4	0.10341239664844701	StrainPWK-GenotypeAPP-PS1	H
ENSMUSG00000027533	Fabp5	Fabp5	16592	fatty acid binding protein 5, epidermal	-1.2978304254421866	1.506208854945297	19.032617910737375	1.6164633353815122e-4	0.11093464578056242	StrainPWK-GenotypeAPP-PS1	H
ENSMUSG00000074151	Nlrc5	Nlrc5	434341	NLR family, CARD domain containing 5	2.159772591531248	0.29702722587401087	18.676486958978636	1.8056679453113317e-4	0.11575145821157094	StrainPWK-GenotypeAPP-PS1	H
ENSMUSG00000025351	Cd63	Cd63	12512	CD63 antigen	0.6385708799146104	7.908464738597185	18.610651587689095	1.843186137922218e-4	0.11575145821157094	StrainPWK-GenotypeAPP-PS1	H
ENSMUSG00000032690	Oas2	Oas2	246728	2'-5' oligoadenylate synthetase 2	3.207216119747751	-0.7378673091532282	18.97203316530586	1.8890486856233527e-4	0.11575145821157094	StrainPWK-GenotypeAPP-PS1	H
ENSMUSG00000030905	Crym	Crym	12971	crystallin, mu	-5.272663910610053	-0.3886607851143403	18.987524117370803	2.0256753102435493e-4	0.1198431424063744	StrainPWK-GenotypeAPP-PS1	H
ENSMUSG00000044676	Zfp612	Zfp612	234725	zinc finger protein 612	-5.8886946600818515	0.2616890723026726	18.309731219066084	2.308577787312394e-4	0.1320275636563958	StrainPWK-GenotypeAPP-PS1	H
ENSMUSG00000030107	Usp18	Usp18	24110	ubiquitin specific peptidase 18	1.7282940231205866	2.0623538278605498	18.18801766365783	2.3930287033141498e-4	0.13244255955729314	StrainPWK-GenotypeAPP-PS1	H
