ENSMUSG	Orig_Symbol	Symbol	Entrezid	Genename	logFC	logCPM	F	PValue	FDR	coef	cluster
ENSMUSG00000027533	Fabp5	Fabp5	16592	fatty acid binding protein 5, epidermal	-2.1308912606437644	1.506208854945297	27.136542767223702	1.625016388774372e-5	0.278804061822019	StrainWSB-GenotypeAPP-PS1	H
ENSMUSG00000050370	Ch25h	Ch25h	12642	cholesterol 25-hydroxylase	-3.0779382469648393	2.213835477193163	22.975419527747864	6.547337112393222e-5	0.5424477367579648	StrainWSB-GenotypeAPP-PS1	H
ENSMUSG00000084319	Tpt1-ps3	NA	NA	NA	-4.604079988705438	-0.10433144865044483	20.790408477759616	9.485010259800049e-5	0.5424477367579648	StrainWSB-GenotypeAPP-PS1	H
ENSMUSG00000070858	Gm1673	Gm1673	381633	predicted gene 1673	-1.4016128200091473	1.198979429890105	16.020293622602463	4.25245536859822e-4	1	StrainWSB-GenotypeAPP-PS1	H
ENSMUSG00000030905	Crym	Crym	12971	crystallin, mu	-4.57710658520419	-0.3886607851143403	16.069707287999695	4.95407695393363e-4	1	StrainWSB-GenotypeAPP-PS1	H
ENSMUSG00000070873	Lilra5	Lilra5	232801	leukocyte immunoglobulin-like receptor, subfamily A (with TM domain), member 5	1.4764470731655774	3.056566417186292	14.070760719730249	8.284568179556192e-4	1	StrainWSB-GenotypeAPP-PS1	H
ENSMUSG00000022265	Ank	Ank	11732	progressive ankylosis	-0.657716375529849	4.737114942202647	13.89795273152369	9.043278593641754e-4	1	StrainWSB-GenotypeAPP-PS1	H
ENSMUSG00000018927	Ccl6	Ccl6	20305	chemokine (C-C motif) ligand 6	-0.5332346837585535	8.358442696669751	13.613627131650928	9.82635055400371e-4	1	StrainWSB-GenotypeAPP-PS1	H
ENSMUSG00000041012	Cmtm8	Cmtm8	70031	CKLF-like MARVEL transmembrane domain containing 8	0.671543453509337	5.062312028103544	13.452262222540128	0.0011288706121794743	1	StrainWSB-GenotypeAPP-PS1	H
ENSMUSG00000028937	Acot7	Acot7	70025	acyl-CoA thioesterase 7	0.7947122024139277	2.3133688612562215	12.250197517579704	0.0015966505837908154	1	StrainWSB-GenotypeAPP-PS1	H
ENSMUSG00000104524	Gm37333	NA	NA	NA	1.1043200402431494	2.277103387660299	12.091506289494017	0.0016934398252343285	1	StrainWSB-GenotypeAPP-PS1	H
ENSMUSG00000068129	Cst7	Cst7	13011	cystatin F (leukocystatin)	-1.8342490039529522	4.721877240463603	13.272173957827649	0.001724851703003954	1	StrainWSB-GenotypeAPP-PS1	H
ENSMUSG00000047757	Fancb	Fancb	237211	Fanconi anemia, complementation group B	-1.2126383830388094	0.7012463559871813	11.9594397538056	0.0017788290804160124	1	StrainWSB-GenotypeAPP-PS1	H
ENSMUSG00000024598	Fbn2	Fbn2	14119	fibrillin 2	-4.671560651499614	-1.4398200426185286	12.527994793533042	0.0017827425222282651	1	StrainWSB-GenotypeAPP-PS1	H
ENSMUSG00000022565	Plec	Plec	18810	plectin	1.1043982374753625	2.61626702594583	11.949539793969326	0.0017854149517899434	1	StrainWSB-GenotypeAPP-PS1	H
ENSMUSG00000070939	Tgfbrap1	Tgfbrap1	73122	transforming growth factor, beta receptor associated protein 1	0.31545999523935175	5.6944188157862605	11.762401128069286	0.001914996914358599	1	StrainWSB-GenotypeAPP-PS1	H
ENSMUSG00000032443	Zcwpw2	NA	NA	NA	-0.7812044911153667	1.994445059407815	11.504330634803898	0.002110650478132284	1	StrainWSB-GenotypeAPP-PS1	H
