ENSMUSG	Orig_Symbol	Symbol	Entrezid	Genename	logFC	logCPM	F	PValue	FDR	coef	cluster
ENSMUSG00000079110	Capn3	Capn3	12335	calpain 3	-4.736217464331902	6.023714082946006	1909.8875335070263	4.756258141010433e-27	7.028003832169955e-23	StrainWSB	H
ENSMUSG00000027014	Cwc22	Cwc22	80744	CWC22 spliceosome-associated protein	5.444006667174376	7.992717479836665	1903.0537067787245	8.19257892658385e-27	7.028003832169955e-23	StrainWSB	H
ENSMUSG00000062609	Kcnj15	Kcnj15	16516	potassium inwardly-rectifying channel, subfamily J, member 15	11.80255022672886	4.990483375208415	2439.502418328958	3.7048114280796513e-26	2.1187816557187526e-22	StrainWSB	H
ENSMUSG00000020415	Pttg1	Pttg1	30939	pituitary tumor-transforming gene 1	-4.81079463981606	3.8468274408317895	1597.8222842106004	5.390640934493262e-26	2.3121806628275226e-22	StrainWSB	H
ENSMUSG00000038763	Alpk3	Alpk3	116904	alpha-kinase 3	10.697446424416729	5.103614982915702	1901.6199985490694	3.3345098179519546e-25	1.1442036989320337e-21	StrainWSB	H
ENSMUSG00000030246	Ldhb	Ldhb	16832	lactate dehydrogenase B	-3.235217417389185	8.732457656541033	1288.0798396597506	1.0023618286780333e-24	2.8662536491048362e-21	StrainWSB	H
ENSMUSG00000057596	Trim30d	Trim30d	209387	tripartite motif-containing 30D	-6.63536673675619	4.799570139755429	1217.9414894654012	2.1378934353080067e-24	5.2399768099399246e-21	StrainWSB	H
ENSMUSG00000078994	Zfp429	Zfp429	72807	zinc finger protein 429	-9.116692785043401	3.3479781631955925	1074.2813139730283	1.1639439809646482e-23	2.496223360176309e-20	StrainWSB	H
ENSMUSG00000027315	Spint1	Spint1	20732	serine protease inhibitor, Kunitz type 1	-10.372311506318724	6.332405738153737	1733.15042859442	1.5134328896227133e-23	2.8851075652507656e-20	StrainWSB	H
ENSMUSG00000097705	Gm26740	NA	NA	NA	-13.476602193961988	4.585723177810436	1876.9060719563397	2.818889799857662e-23	4.8363692296157914e-20	StrainWSB	H
ENSMUSG00000024084	Qpct	Qpct	70536	glutaminyl-peptide cyclotransferase (glutaminyl cyclase)	6.065520196153395	5.5329072926682	1289.702607960854	3.60866244338735e-23	5.628529231017888e-20	StrainWSB	H
ENSMUSG00000059751	Rps3a3	NA	NA	NA	9.927779906274806	8.578796028038525	1735.5457264075687	5.086760339739335e-23	7.272795595742315e-20	StrainWSB	H
ENSMUSG00000035258	Abi3bp	Abi3bp	320712	ABI gene family, member 3 (NESH) binding protein	6.360908166870578	4.8079414999183525	956.5200634311116	5.555804727280182e-23	7.33238013122662e-20	StrainWSB	H
ENSMUSG00000022665	Ccdc80	Ccdc80	67896	coiled-coil domain containing 80	4.944543240780769	4.221890396879977	923.7296713574619	8.877309217501426e-23	1.0879142446047996e-19	StrainWSB	H
ENSMUSG00000070873	Lilra5	Lilra5	232801	leukocyte immunoglobulin-like receptor, subfamily A (with TM domain), member 5	-6.7896252600975835	3.056566417186292	891.4477723825794	1.4309967096368557e-22	1.6367740364826355e-19	StrainWSB	H
ENSMUSG00000037443	Cep85	Cep85	70012	centrosomal protein 85	-6.999833454284325	7.224306117776441	1454.6506431632176	1.7812701573098115e-22	1.9100782555602773e-19	StrainWSB	H
ENSMUSG00000030494	Rhpn2	Rhpn2	52428	rhophilin, Rho GTPase binding protein 2	4.444190784360288	3.989907020994152	852.4356926660561	2.6072452680811875e-22	2.631323944968761e-19	StrainWSB	H
ENSMUSG00000027199	Gatm	Gatm	67092	glycine amidinotransferase (L-arginine:glycine amidinotransferase)	3.1276325367753883	9.02136553542585	806.0979967425432	5.509441089892232e-22	5.251415598848945e-19	StrainWSB	H
ENSMUSG00000090257	Gm4524	NA	NA	NA	-5.8765244417266365	4.873663245049885	837.0898809613204	1.6197338921383215e-21	1.4626197046009043e-18	StrainWSB	H
ENSMUSG00000031851	Ntpcr	Ntpcr	66566	nucleoside-triphosphatase, cancer-related	-1.855180495151322	6.625943724249983	738.5330835328632	1.7735006845736135e-21	1.5213975622614743e-18	StrainWSB	H
ENSMUSG00000028871	Rspo1	Rspo1	192199	R-spondin 1	3.8556776690801313	4.253705308796082	734.1518454787848	1.919934681184458e-21	1.5685866345277022e-18	StrainWSB	H
ENSMUSG00000049436	Upk1b	Upk1b	22268	uroplakin 1B	-4.473726168870506	5.052382890882523	852.346137594564	2.2758555132731333e-21	1.7748569564194158e-18	StrainWSB	H
ENSMUSG00000062661	Ncs1	Ncs1	14299	neuronal calcium sensor 1	-6.911414395078557	3.7872820153194664	714.3131224781772	2.7658452835245312e-21	1.997744281690443e-18	StrainWSB	H
ENSMUSG00000066000	2610305D13Rik	Zfp979	112422	zinc finger protein 979	4.823132843672479	3.5028910333576078	713.7598729337653	2.794536501752674e-21	1.997744281690443e-18	StrainWSB	H
ENSMUSG00000029163	Emilin1	Emilin1	100952	elastin microfibril interfacer 1	4.964938119657831	3.93160954678348	715.2093508010282	3.337793548301836e-21	2.290660956328584e-18	StrainWSB	H
ENSMUSG00000045092	S1pr1	S1pr1	13609	sphingosine-1-phosphate receptor 1	-7.396416119430182	3.2918368418486326	689.9606028151421	4.3888310581143966e-21	2.896122094771873e-18	StrainWSB	H
ENSMUSG00000020787	P2rx1	P2rx1	18436	purinergic receptor P2X, ligand-gated ion channel, 1	2.9509412406728783	5.157859122762576	658.4749235995267	8.164939519345507e-21	5.09819901325758e-18	StrainWSB	H
ENSMUSG00000029070	Mxra8	Mxra8	74761	matrix-remodelling associated 8	5.510847087634668	2.9041798799886425	657.54150500064	8.320194228082546e-21	5.09819901325758e-18	StrainWSB	H
ENSMUSG00000027611	Procr	Procr	19124	protein C receptor, endothelial	4.150161796279175	5.07213436194272	761.8875510348997	8.619242484077584e-21	5.0993221827351416e-18	StrainWSB	H
ENSMUSG00000039137	Whrn	Whrn	73750	whirlin	-4.090672333120686	5.071013320065932	740.9285928396888	1.172797685651584e-20	6.707229964241409e-18	StrainWSB	H
ENSMUSG00000009418	Nav1	Nav1	215690	neuron navigator 1	-3.4514269615074853	3.9729435103181916	631.9420153570472	1.409122384244498e-20	7.798810563381565e-18	StrainWSB	H
ENSMUSG00000055862	Izumo4	Izumo4	71564	IZUMO family member 4	-4.647952087914368	3.761761837725547	626.6131470289214	1.576510787675779e-20	8.452561120047919e-18	StrainWSB	H
ENSMUSG00000018927	Ccl6	Ccl6	20305	chemokine (C-C motif) ligand 6	2.737648942457716	8.358442696669751	634.0719775647618	1.7289074769672818e-20	8.988747146159895e-18	StrainWSB	H
ENSMUSG00000063760	Rnf217	Rnf217	268291	ring finger protein 217	9.447261332077668	2.8983368991278815	818.5839502916015	2.0364030022636462e-20	1.0276048914658053e-17	StrainWSB	H
ENSMUSG00000030793	Pycard	Pycard	66824	PYD and CARD domain containing	-1.592700190212098	8.644690559141635	608.7806261231328	2.310839145105987e-20	1.1327733489309548e-17	StrainWSB	H
ENSMUSG00000015852	Fcrls	Fcrls	80891	Fc receptor-like S, scavenger receptor	-3.7729477832693226	10.386802546638355	766.9608087861812	2.539456026154726e-20	1.2102624177982398e-17	StrainWSB	H
ENSMUSG00000004707	Ly9	Ly9	17085	lymphocyte antigen 9	-3.0502721253336835	4.09633942990848	587.0526847804376	3.7371172770243797e-20	1.73291138167317e-17	StrainWSB	H
ENSMUSG00000052760	A630001G21Rik	A630001G21Rik	319997	RIKEN cDNA A630001G21 gene	-2.8483040264235653	4.502477979883622	579.6403691576947	4.4202891675070175e-20	1.9361567537535284e-17	StrainWSB	H
ENSMUSG00000027864	Ptgfrn	Ptgfrn	19221	prostaglandin F2 receptor negative regulator	-6.484522173450431	2.335118350693555	579.4665849662712	4.4378319099150373e-20	1.9361567537535284e-17	StrainWSB	H
ENSMUSG00000072115	Ang	Ang	11727	angiogenin, ribonuclease, RNase A family, 5	-1.7460797113787645	7.3514710722815675	578.7207292386719	4.5139750626648676e-20	1.9361567537535284e-17	StrainWSB	H
ENSMUSG00000038523	1700003F12Rik	1700003F12Rik	75480	RIKEN cDNA 1700003F12 gene	-5.931639458731533	2.8646726033756504	569.5400166411451	5.575126112070691e-20	2.3329863098730936e-17	StrainWSB	H
ENSMUSG00000039774	Galnt12	Galnt12	230145	polypeptide N-acetylgalactosaminyltransferase 12	-2.450531105395919	5.138951647997466	563.2271680298412	6.458467843747578e-20	2.6382841141708854e-17	StrainWSB	H
ENSMUSG00000037847	Nmrk1	Nmrk1	225994	nicotinamide riboside kinase 1	-2.1061927422780222	5.36821036035305	559.3696266883308	7.071284916186849e-20	2.821442681558553e-17	StrainWSB	H
