ENSMUSG	Orig_Symbol	Symbol	Entrezid	Genename	logFC	logCPM	F	PValue	FDR	coef	cluster
ENSMUSG00000048758	Rpl29	Rpl29	19944	ribosomal protein L29	7.781793412113725	9.35427243594753	780.2679614799172	1.3990470897170514e-29	1.4379405988111853e-25	StrainB6	11
ENSMUSG00000069892	9930111J21Rik2	9930111J21Rik2	245240	RIKEN cDNA 9930111J21 gene 2	4.795251343376916	7.1218836484995975	602.5810956995059	2.901938007757207e-27	1.39071881994974e-23	StrainB6	11
ENSMUSG00000072692	Rpl37rt	Rpl37rt	100502825	ribosomal protein L37, retrotransposed	6.001749930439292	8.617938371599964	649.1834969069649	4.059307705632633e-27	1.39071881994974e-23	StrainB6	11
ENSMUSG00000022817	Itgb5	Itgb5	16419	integrin beta 5	4.2329298781577975	9.24577058176921	581.2422432737861	6.067387768664512e-27	1.5590152871583462e-23	StrainB6	11
ENSMUSG00000074516	Gm10709	NA	NA	NA	-8.874092919827676	7.274580457905794	576.7271491403884	7.318184054964728e-26	1.5043259143385493e-22	StrainB6	11
ENSMUSG00000082926	Gm8172	NA	NA	NA	-8.396684098268967	7.439179661851064	550.2690328511565	6.041181439824172e-25	1.0348543806418807e-21	StrainB6	11
ENSMUSG00000026458	Ppfia4	Ppfia4	68507	protein tyrosine phosphatase, receptor type, f polypeptide (PTPRF), interacting protein (liprin), alpha 4	4.44062648987614	7.515830191397936	440.77597109900876	1.6308268727493035e-24	2.3945197997310487e-21	StrainB6	11
ENSMUSG00000097554	Gm26825	NA	NA	NA	-10.53110564827396	7.099023104352005	490.68441506225025	2.795715882322905e-23	3.591795979814352e-20	StrainB6	11
ENSMUSG00000101776	Gm28268	NA	NA	NA	3.8248108370432456	7.883839185115054	369.1578885837073	5.488582726886052e-23	6.267961474103871e-20	StrainB6	11
ENSMUSG00000064345	mt-Nd2	ND2	17717	NADH dehydrogenase subunit 2	3.142405279330683	10.481274229903097	332.1554880548672	4.326200942312431e-22	4.446469328508717e-19	StrainB6	11
ENSMUSG00000054702	Ap1s3	Ap1s3	252903	adaptor-related protein complex AP-1, sigma 3	3.1564267799694163	9.52670368238675	317.10785718956095	1.0625389763576816e-21	9.530500303419725e-19	StrainB6	11
ENSMUSG00000031851	Ntpcr	Ntpcr	66566	nucleoside-triphosphatase, cancer-related	4.567123654077899	6.463292997698408	316.351501169033	1.1127262467506976e-21	9.530500303419725e-19	StrainB6	11
ENSMUSG00000020717	Pecam1	Pecam1	18613	platelet/endothelial cell adhesion molecule 1	-3.6865803888106377	6.733964309494792	302.0286828722128	2.717254891863045e-21	2.1483035214283366e-18	StrainB6	11
ENSMUSG00000022587	Ly6e	Ly6e	17069	lymphocyte antigen 6 complex, locus E	2.8825022856019955	10.361582000438752	283.5144849514389	9.118744431100026e-21	6.69446109020329e-18	StrainB6	11
ENSMUSG00000030124	Lag3	Lag3	16768	lymphocyte-activation gene 3	3.2159940050522167	6.9715577451322135	261.95385282442027	4.0855767515694615e-20	2.7994371901753954e-17	StrainB6	11
ENSMUSG00000093674	Rpl41	Rpl41	67945	ribosomal protein L41	4.178264492934608	10.662079993661386	362.82381508114776	5.011556119291932e-20	3.219298362130155e-17	StrainB6	11
ENSMUSG00000062210	Tnfaip8	Tnfaip8	106869	tumor necrosis factor, alpha-induced protein 8	3.2157496324561388	6.5894360570851545	254.45431212508493	7.057771217511013e-20	4.2670454455045997e-17	StrainB6	11
