ENSMUSG	Orig_Symbol	Symbol	Entrezid	Genename	logFC	logCPM	F	PValue	FDR	coef	cluster
ENSMUSG00000048758	Rpl29	Rpl29	19944	ribosomal protein L29	-7.033333902676292	9.839949593897623	251.4499694062718	1.4042539004936222e-22	1.2683221229258395e-18	StrainWSB-GenotypeAPP-PS1	6
ENSMUSG00000020695	Mrc2	Mrc2	17534	mannose receptor, C type 2	-3.1600202606599135	6.309204520005494	40.10262825242668	4.2487465652764863e-8	1.9187339488788613e-4	StrainWSB-GenotypeAPP-PS1	6
ENSMUSG00000032554	Trf	Trf	22041	transferrin	-1.2838153061260866	9.888671224768029	36.52869245306457	1.212449061054515e-7	3.6502799731481263e-4	StrainWSB-GenotypeAPP-PS1	6
ENSMUSG00000064023	Klk8	Klk8	259277	kallikrein related-peptidase 8	1.3321941110580036	7.76583417292081	34.04636343240357	2.6639072409156794e-7	6.015102549987604e-4	StrainWSB-GenotypeAPP-PS1	6
ENSMUSG00000046245	Pilra	Pilra	231805	paired immunoglobin-like type 2 receptor alpha	-1.6114797760805126	6.448300091781402	31.87848818145995	5.398805557259634e-7	8.411723200064529e-4	StrainWSB-GenotypeAPP-PS1	6
ENSMUSG00000000290	Itgb2	Itgb2	16414	integrin beta 2	-1.3315815764172367	8.270863966139473	31.77423314255773	5.58794720996315e-7	8.411723200064529e-4	StrainWSB-GenotypeAPP-PS1	6
ENSMUSG00000051504	Siglech	Siglech	233274	sialic acid binding Ig-like lectin H	-1.298237967991845	9.798325786759083	30.51221455292526	8.507296534841897e-7	0.001097684318609886	StrainWSB-GenotypeAPP-PS1	6
ENSMUSG00000026177	Slc11a1	Slc11a1	18173	solute carrier family 11 (proton-coupled divalent metal ion transporters), member 1	-1.2864300214281241	7.837184938971107	29.978948856053975	1.0180699815276142e-6	0.0011494010091446763	StrainWSB-GenotypeAPP-PS1	6
ENSMUSG00000020077	Srgn	Srgn	19073	serglycin	-1.2542028992422507	8.193839788652769	29.61200641706402	1.1527649489177294e-6	0.0011568636687361035	StrainWSB-GenotypeAPP-PS1	6
ENSMUSG00000035258	Abi3bp	Abi3bp	320712	ABI gene family, member 3 (NESH) binding protein	2.03744661074063	4.4632256428384185	28.744193800254482	1.9140383544333978e-6	0.001728759441724245	StrainWSB-GenotypeAPP-PS1	6
ENSMUSG00000040528	Milr1	Milr1	380732	mast cell immunoglobulin like receptor 1	-1.8009480993263034	6.2873824933382565	25.394707066483736	5.016741948622984e-6	0.003585100304673303	StrainWSB-GenotypeAPP-PS1	6
ENSMUSG00000059326	Csf2ra	Csf2ra	12982	colony stimulating factor 2 receptor, alpha, low-affinity (granulocyte-macrophage)	-1.3484078860704063	7.3596507464751895	25.392038029792175	5.021543523234543e-6	0.003585100304673303	StrainWSB-GenotypeAPP-PS1	6
ENSMUSG00000032018	Sc5d	Sc5d	235293	sterol-C5-desaturase	-4.6902421541936175	4.73041467780433	25.571753307721004	5.160131085114365e-6	0.003585100304673303	StrainWSB-GenotypeAPP-PS1	6
ENSMUSG00000024640	Psat1	Psat1	107272	phosphoserine aminotransferase 1	-9.74101882537446	5.480752014624502	24.38355103558584	7.956219403997855e-6	0.005132898118350616	StrainWSB-GenotypeAPP-PS1	6
ENSMUSG00000032436	Cmtm7	Cmtm7	102545	CKLF-like MARVEL transmembrane domain containing 7	1.264049273224922	7.196927807132549	23.9541812718981	9.741962805043332e-6	0.005462945361056881	StrainWSB-GenotypeAPP-PS1	6
ENSMUSG00000062609	Kcnj15	Kcnj15	16516	potassium inwardly-rectifying channel, subfamily J, member 15	-2.542018187602552	5.469734589523042	23.89601469054794	1.0132665011705024e-5	0.005462945361056881	StrainWSB-GenotypeAPP-PS1	6
ENSMUSG00000023367	Tmem176a	Tmem176a	66058	transmembrane protein 176A	-1.20251937254508	9.076547827260319	23.925253632762843	1.0504350715353377e-5	0.005462945361056881	StrainWSB-GenotypeAPP-PS1	6
ENSMUSG00000029810	Tmem176b	Tmem176b	65963	transmembrane protein 176B	-1.1646068829805325	9.311820797301044	23.331417057235747	1.088718074612753e-5	0.005462945361056881	StrainWSB-GenotypeAPP-PS1	6
ENSMUSG00000039221	Rpl22l1	Rpl22l1	68028	ribosomal protein L22 like 1	-1.3323873785201652	8.294835743995211	24.057754929115298	1.6558662911151787e-5	0.007871465442816996	StrainWSB-GenotypeAPP-PS1	6
ENSMUSG00000050777	Tmem37	Tmem37	170706	transmembrane protein 37	0.9923140017502515	6.987262316867612	21.51833795315775	2.0900968406122033e-5	0.00943887733220471	StrainWSB-GenotypeAPP-PS1	6
ENSMUSG00000016427	Ndufa1	Ndufa1	54405	NADH:ubiquinone oxidoreductase subunit A1	-1.094219061051316	7.470738681610128	20.255178138609033	3.385362758658411e-5	0.014560284017239413	StrainWSB-GenotypeAPP-PS1	6
ENSMUSG00000030124	Lag3	Lag3	16768	lymphocyte-activation gene 3	1.4573678675265624	7.517551539531557	20.58221686119227	3.655951035950524e-5	0.014837753229535488	StrainWSB-GenotypeAPP-PS1	6
ENSMUSG00000064339	mt-Rnr2	NA	NA	NA	-1.148341737719261	11.9555050820109	20.937074831211987	3.778435831259037e-5	0.014837753229535488	StrainWSB-GenotypeAPP-PS1	6
ENSMUSG00000004709	Cd244	Cd244a	18106	CD244 molecule A	-2.2604600056691613	4.983016403132091	19.095332113595944	5.3138325766566424e-5	0.019997723263484497	StrainWSB-GenotypeAPP-PS1	6
ENSMUSG00000025026	Add3	Add3	27360	adducin 3 (gamma)	-2.767489953383759	5.216597004339595	18.98682228020001	5.545018377639242e-5	0.02003304239473505	StrainWSB-GenotypeAPP-PS1	6
ENSMUSG00000087590	Epb41l4aos	Epb41l4aos	69749	erythrocyte membrane protein band 4.1 like 4a, opposite strand	-3.177262239149886	4.8569029579260254	18.620695745335908	6.405248958768818e-5	0.022159425959997665	StrainWSB-GenotypeAPP-PS1	6
ENSMUSG00000022263	Trio	Trio	223435	triple functional domain (PTPRF interacting)	-2.2661261950962195	5.542694742498087	18.535633274238275	6.624274810893898e-5	0.022159425959997665	StrainWSB-GenotypeAPP-PS1	6
ENSMUSG00000049658	Bdp1	Bdp1	544971	B double prime 1, subunit of RNA polymerase III transcription initiation factor IIIB	-2.2397051070643705	5.3459296134312995	18.27446664580683	7.346702957566808e-5	0.023698364683122645	StrainWSB-GenotypeAPP-PS1	6
ENSMUSG00000027195	Hsd17b12	Hsd17b12	56348	hydroxysteroid (17-beta) dehydrogenase 12	-1.1466187824713403	6.717536631432989	18.177230822911476	7.636182954061844e-5	0.02378276015209882	StrainWSB-GenotypeAPP-PS1	6
ENSMUSG00000036905	C1qb	C1qb	12260	complement component 1, q subcomponent, beta polypeptide	0.8047741249319229	12.74772672035206	17.98805464109342	8.233856890929265e-5	0.024311502530421674	StrainWSB-GenotypeAPP-PS1	6
ENSMUSG00000064337	mt-Rnr1	NA	NA	NA	-1.1277640081640052	9.114951513712247	18.631817652226495	8.344293384002124e-5	0.024311502530421674	StrainWSB-GenotypeAPP-PS1	6
ENSMUSG00000108442	RP23-473E20.3	NA	NA	NA	2.6473855453010082	6.892578153257294	19.6165572034313	1.4189714034533376e-4	0.040050467862470455	StrainWSB-GenotypeAPP-PS1	6
ENSMUSG00000097582	Gm26527	NA	NA	NA	-1.0127868300781513	7.834752385032677	16.488698150369107	1.5083603628211217e-4	0.04128336605151627	StrainWSB-GenotypeAPP-PS1	6
ENSMUSG00000079484	Phyhd1	Phyhd1	227696	phytanoyl-CoA dioxygenase domain containing 1	0.9215843791817802	7.26792397734806	16.324041032040217	1.6134957246623056e-4	0.04286203936808807	StrainWSB-GenotypeAPP-PS1	6
ENSMUSG00000029925	Tbxas1	Tbxas1	21391	thromboxane A synthase 1, platelet	-0.9054025010979108	7.945795643547841	15.737581261504703	2.0542058108658263e-4	0.053010248239257554	StrainWSB-GenotypeAPP-PS1	6
ENSMUSG00000009292	Trpm2	Trpm2	28240	transient receptor potential cation channel, subfamily M, member 2	-1.139432188617851	6.68964120465734	15.525912534073191	2.2425910069609606e-4	0.05626411659686499	StrainWSB-GenotypeAPP-PS1	6
ENSMUSG00000022895	Ets2	Ets2	23872	E26 avian leukemia oncogene 2, 3' domain	-2.999390119250078	4.660162348871112	15.315596092132505	2.4476435611520066e-4	0.05851174196292833	StrainWSB-GenotypeAPP-PS1	6
ENSMUSG00000033066	Gas7	Gas7	14457	growth arrest specific 7	-2.1083628602044477	4.684196112308666	15.375861082007336	2.461742908094859e-4	0.05851174196292833	StrainWSB-GenotypeAPP-PS1	6
ENSMUSG00000027962	Vcam1	Vcam1	22329	vascular cell adhesion molecule 1	2.1695355746598737	3.5372721490874324	15.501889661420165	2.860981936344354e-4	0.06596183510440883	StrainWSB-GenotypeAPP-PS1	6
ENSMUSG00000025950	Idh1	Idh1	15926	isocitrate dehydrogenase 1 (NADP+), soluble	-8.7316152664174	4.4618739670569045	15.000421994339904	2.921250447493748e-4	0.06596183510440883	StrainWSB-GenotypeAPP-PS1	6
ENSMUSG00000055322	Tns1	Tns1	21961	tensin 1	1.0802920542657175	5.951370037007569	14.86892224048605	3.038090431228621e-4	0.06603763036158201	StrainWSB-GenotypeAPP-PS1	6
ENSMUSG00000032002	Dcun1d5	Dcun1d5	76863	DCN1, defective in cullin neddylation 1, domain containing 5 (S. cerevisiae)	1.2061720336733899	5.644291368146291	14.735358939410755	3.120988001036876e-4	0.06603763036158201	StrainWSB-GenotypeAPP-PS1	6
ENSMUSG00000018819	Lsp1	Lsp1	16985	lymphocyte specific 1	-1.7155738846801138	6.774425507951748	15.392252566043126	3.1997759526033423e-4	0.06603763036158201	StrainWSB-GenotypeAPP-PS1	6
ENSMUSG00000037601	Nme1	Nme1	18102	NME/NM23 nucleoside diphosphate kinase 1	-1.1819580119489508	6.695776483559037	14.663372507611587	3.2170679095544827e-4	0.06603763036158201	StrainWSB-GenotypeAPP-PS1	6
ENSMUSG00000079298	Klrb1b	Klrb1b	80782	killer cell lectin-like receptor subfamily B member 1B	-4.488088689472371	3.7327478227363167	15.0169371115302	3.4258985351549447e-4	0.06876159015448768	StrainWSB-GenotypeAPP-PS1	6
ENSMUSG00000097148	Gm3839	NA	NA	NA	-8.752724193417357	4.038396713728183	14.336781237057385	3.85177524176723e-4	0.06924108020037457	StrainWSB-GenotypeAPP-PS1	6
ENSMUSG00000031604	Msmo1	Msmo1	66234	methylsterol monoxygenase 1	-1.6000591947299359	5.8726821223712795	14.286933832986174	3.873552145920458e-4	0.06924108020037457	StrainWSB-GenotypeAPP-PS1	6
ENSMUSG00000035376	Hacd2	Hacd2	70757	3-hydroxyacyl-CoA dehydratase 2	-1.2641530483434253	6.369705048988857	14.205349015367442	3.905117759203188e-4	0.06924108020037457	StrainWSB-GenotypeAPP-PS1	6
ENSMUSG00000064341	mt-Nd1	ND1	17716	NADH dehydrogenase subunit 1	-0.9022761805659177	11.387070359994919	14.295717990011152	3.9066984792192984e-4	0.06924108020037457	StrainWSB-GenotypeAPP-PS1	6
ENSMUSG00000021508	Cxcl14	Cxcl14	57266	chemokine (C-X-C motif) ligand 14	-4.410135714533462	6.506924859510761	19.60797307949091	3.990890938057733e-4	0.06924108020037457	StrainWSB-GenotypeAPP-PS1	6
ENSMUSG00000033335	Dnm2	Dnm2	13430	dynamin 2	-1.127817369216474	6.773116541768084	14.131585730912713	4.02952425926999e-4	0.06924108020037457	StrainWSB-GenotypeAPP-PS1	6
ENSMUSG00000037905	Bri3bp	Bri3bp	76809	Bri3 binding protein	-1.5343114586634172	5.466232847703412	14.124161737319383	4.042271949361802e-4	0.06924108020037457	StrainWSB-GenotypeAPP-PS1	6
ENSMUSG00000044303	Cdkn2a	Cdkn2a	12578	cyclin dependent kinase inhibitor 2A	-3.1220883509333985	4.1290659773550455	14.091484439222025	4.098883376863392e-4	0.06924108020037457	StrainWSB-GenotypeAPP-PS1	6
ENSMUSG00000057666	Gapdh	Gapdh	14433	glyceraldehyde-3-phosphate dehydrogenase	-1.0645241592162058	9.991079705306436	14.78232413312719	4.1397457161428553e-4	0.06924108020037457	StrainWSB-GenotypeAPP-PS1	6
ENSMUSG00000020841	Cpd	Cpd	12874	carboxypeptidase D	-1.1087672406230682	7.045902797219704	13.823663825852947	4.5951766538052455e-4	0.07546115552212541	StrainWSB-GenotypeAPP-PS1	6
ENSMUSG00000043832	Clec4a3	Clec4a3	73149	C-type lectin domain family 4, member a3	1.4539809672243018	5.786123016316834	13.469278498722081	5.349969508803987e-4	0.08505158929321685	StrainWSB-GenotypeAPP-PS1	6
ENSMUSG00000000682	Cd52	Cd52	23833	CD52 antigen	-0.9652292027114383	10.118135911057417	13.766741112356664	5.391206792554496e-4	0.08505158929321685	StrainWSB-GenotypeAPP-PS1	6
ENSMUSG00000030816	Rnf40	Rnf40	233900	ring finger protein 40	-8.617001977764573	3.840621015227394	13.473813180343088	5.546512140665685e-4	0.08505158929321685	StrainWSB-GenotypeAPP-PS1	6
ENSMUSG00000027848	Olfml3	Olfml3	99543	olfactomedin-like 3	-1.1198506834362094	10.658257179150262	14.683990809833757	5.5558500534763e-4	0.08505158929321685	StrainWSB-GenotypeAPP-PS1	6
ENSMUSG00000010307	Tmem86a	Tmem86a	67893	transmembrane protein 86A	0.7694224116669224	7.686812582958259	13.012280164318451	6.518663733897195e-4	0.09469808054823538	StrainWSB-GenotypeAPP-PS1	6
ENSMUSG00000053332	Gas5	Gas5	14455	growth arrest specific 5	-0.8377565772405264	8.09561842864402	12.99898683535482	6.556399792700453e-4	0.09469808054823538	StrainWSB-GenotypeAPP-PS1	6
