ENSMUSG	Orig_Symbol	Symbol	Entrezid	Genename	logFC	logCPM	F	PValue	FDR	coef	cluster
ENSMUSG00000048758	Rpl29	Rpl29	19944	ribosomal protein L29	-6.363954481253391	9.255068330526026	379.57793459910323	1.544340662788824e-22	1.6353023278270857e-18	StrainB6-GenotypeAPP-PS1	7
ENSMUSG00000025498	Irf7	Irf7	54123	interferon regulatory factor 7	-2.3532161035593533	7.090076199934437	68.69914371104065	6.354421238865076e-11	3.364348324917114e-7	StrainB6-GenotypeAPP-PS1	7
ENSMUSG00000030157	Clec2d	Clec2d	93694	C-type lectin domain family 2, member d	-2.1417030430265265	6.509578779287015	42.985336821402996	1.7016301864462286e-8	4.768896652792932e-5	StrainB6-GenotypeAPP-PS1	7
ENSMUSG00000020077	Srgn	Srgn	19073	serglycin	-1.5849048571691704	7.990002482355412	46.03393861054865	1.801453074999691e-8	4.768896652792932e-5	StrainB6-GenotypeAPP-PS1	7
ENSMUSG00000079419	Ms4a6c	Ms4a6c	73656	membrane-spanning 4-domains, subfamily A, member 6C	-1.3406614931542054	7.784084327318296	37.91379275259904	5.576740516675245e-8	1.1810421066214835e-4	StrainB6-GenotypeAPP-PS1	7
ENSMUSG00000030579	Tyrobp	Tyrobp	22177	TYRO protein tyrosine kinase binding protein	-0.9185440221462642	11.723461976164868	36.500102652631654	8.805860593177591e-8	1.5540876303526252e-4	StrainB6-GenotypeAPP-PS1	7
ENSMUSG00000027698	Nceh1	Nceh1	320024	neutral cholesterol ester hydrolase 1	-1.9852438772482204	5.480433325600701	34.462150903108196	1.7222312974661072e-7	2.60524388698123e-4	StrainB6-GenotypeAPP-PS1	7
ENSMUSG00000041736	Tspo	Tspo	12257	translocator protein	-1.838075501227997	7.652112679312097	43.940307064925115	1.9867481076462516e-7	2.6297094639832696e-4	StrainB6-GenotypeAPP-PS1	7
ENSMUSG00000054203	Ifi205	Ifi205	226695	interferon activated gene 205	-4.55298526919121	3.305167594790179	33.027915961562705	3.1651668822509083e-7	3.723994679572764e-4	StrainB6-GenotypeAPP-PS1	7
ENSMUSG00000016494	Cd34	Cd34	12490	CD34 antigen	-1.223299732231441	7.672750073681789	29.9704490245185	7.976720720979497e-7	7.67936894893937e-4	StrainB6-GenotypeAPP-PS1	7
ENSMUSG00000035692	Isg15	Isg15	100038882	ISG15 ubiquitin-like modifier	-2.432780309201981	7.54308849391729	47.88389309214948	7.977434926653421e-7	7.67936894893937e-4	StrainB6-GenotypeAPP-PS1	7
ENSMUSG00000030342	Cd9	Cd9	12527	CD9 antigen	-0.903533274475033	10.001391347703688	29.062480868860067	1.0980087689826175e-6	9.689012378964113e-4	StrainB6-GenotypeAPP-PS1	7
ENSMUSG00000041827	Oasl1	Oasl1	231655	2'-5' oligoadenylate synthetase-like 1	-1.9491731819758091	5.493709594118814	29.356512778185312	1.4121745195894881e-6	0.001101334853395248	StrainB6-GenotypeAPP-PS1	7
ENSMUSG00000089929	Bcl2a1b	Bcl2a1b	12045	B cell leukemia/lymphoma 2 related protein A1b	-1.2279429436559803	7.666058552388046	28.268473657715724	1.4561042541820258e-6	0.001101334853395248	StrainB6-GenotypeAPP-PS1	7
ENSMUSG00000032076	Cadm1	Cadm1	54725	cell adhesion molecule 1	-1.4970435358292788	7.1090756348992334	28.158013684946315	2.2607222424705927e-6	0.0015959191883680736	StrainB6-GenotypeAPP-PS1	7
ENSMUSG00000064368	mt-Nd6	ND6	17722	NADH dehydrogenase subunit 6	-0.9220161736772057	9.35085909426589	26.71334211007124	2.5509293305034517e-6	0.0016882369175438155	StrainB6-GenotypeAPP-PS1	7
ENSMUSG00000025492	Ifitm3	Ifitm3	66141	interferon induced transmembrane protein 3	-1.692460900049447	8.930247925286649	37.55386431827178	3.0992987092813606e-6	0.0019304984725047251	StrainB6-GenotypeAPP-PS1	7
ENSMUSG00000057666	Gapdh	Gapdh	14433	glyceraldehyde-3-phosphate dehydrogenase	-0.954868138058028	9.186637764288651	25.674393732007534	4.1984991221732255e-06	0.002429061222040787	StrainB6-GenotypeAPP-PS1	7
ENSMUSG00000039236	Isg20	Isg20	57444	interferon-stimulated protein	-2.7150903117167666	5.236781771482613	28.35900584696809	4.358500634505143e-6	0.002429061222040787	StrainB6-GenotypeAPP-PS1	7
ENSMUSG00000028270	Gbp2	Gbp2	14469	guanylate binding protein 2	-1.7968406643205235	5.2275110410227725	24.036064299378655	6.870863454931683e-6	0.00363777865621358	StrainB6-GenotypeAPP-PS1	7
ENSMUSG00000008668	Rps18	Rps18	20084	ribosomal protein S18	-0.8374794779321472	10.006460077675204	23.207899360483264	9.39964334862801e-6	0.004739658258029619	StrainB6-GenotypeAPP-PS1	7
ENSMUSG00000057135	Scimp	Scimp	327957	SLP adaptor and CSK interacting membrane protein	-1.6421370054482538	4.881127159630389	22.700400397822843	1.14088425534181e-5	0.005491283354461102	StrainB6-GenotypeAPP-PS1	7
ENSMUSG00000016427	Ndufa1	Ndufa1	54405	NADH:ubiquinone oxidoreductase subunit A1	-1.3587921540062178	6.615700535463489	23.152966296947536	1.463723764524367e-5	0.006400707324325874	StrainB6-GenotypeAPP-PS1	7
ENSMUSG00000057841	Rpl32	Rpl32	19951	ribosomal protein L32	-0.739905858512885	10.538191864570283	21.985590124056035	1.502098868878586e-5	0.006400707324325874	StrainB6-GenotypeAPP-PS1	7
ENSMUSG00000033880	Lgals3bp	Lgals3bp	19039	lectin, galactoside-binding, soluble, 3 binding protein	-0.9468769154882952	8.004675663571287	21.97002112092504	1.5111689782618456e-5	0.006400707324325874	StrainB6-GenotypeAPP-PS1	7
ENSMUSG00000000682	Cd52	Cd52	23833	CD52 antigen	-1.6887662260683474	9.211097347409794	31.346759286066835	1.8134729164157733e-5	0.007239211660884696	StrainB6-GenotypeAPP-PS1	7
ENSMUSG00000037242	Clic4	Clic4	29876	chloride intracellular channel 4 (mitochondrial)	-3.203737044472356	3.895672012218034	21.45446429458888	1.845865661005636e-5	0.007239211660884696	StrainB6-GenotypeAPP-PS1	7
ENSMUSG00000046879	Irgm1	Irgm1	15944	immunity-related GTPase family M member 1	-1.3419648765342749	6.36522643336559	21.005525659244743	2.3690441422029533e-5	0.008959217293495383	StrainB6-GenotypeAPP-PS1	7
ENSMUSG00000059089	Fcgr4	Fcgr4	246256	Fc receptor, IgG, low affinity IV	-2.1484958391965217	4.922492272960816	20.602977095243812	2.5765465759140604e-5	0.008960294740377616	StrainB6-GenotypeAPP-PS1	7
ENSMUSG00000025743	Sdc3	Sdc3	20970	syndecan 3	-2.2545881710042717	4.938813541157855	20.57193304187302	2.608258092208053e-5	0.008960294740377616	StrainB6-GenotypeAPP-PS1	7
ENSMUSG00000079110	Capn3	Capn3	12335	calpain 3	-1.5058397073680845	6.2840579018586	20.48974908388027	2.6941742607504872e-5	0.008960294740377616	StrainB6-GenotypeAPP-PS1	7
ENSMUSG00000022971	Ifnar2	Ifnar2	15976	interferon (alpha and beta) receptor 2	-0.8239020681420244	8.100508776750278	20.476960569706655	2.7078046245356852e-5	0.008960294740377616	StrainB6-GenotypeAPP-PS1	7
ENSMUSG00000005054	Cstb	Cstb	13014	cystatin B	-1.201457863960699	6.891973683039404	21.77794726717649	2.906909379112934e-5	0.00932765558043238	StrainB6-GenotypeAPP-PS1	7
ENSMUSG00000024675	Ms4a4c	Ms4a4c	64380	membrane-spanning 4-domains, subfamily A, member 4C	-2.152681129019328	6.645330839554748	28.013951707034206	3.427147982608432e-5	0.010673549996423731	StrainB6-GenotypeAPP-PS1	7
ENSMUSG00000047676	Rpsa-ps10	NA	NA	NA	-2.636838944085332	8.096236618128842	29.380836332726687	3.571053289622825e-5	0.010803966652518884	StrainB6-GenotypeAPP-PS1	7
ENSMUSG00000041571	Sepw1	Selenow	20364	selenoprotein W	-1.2062331456896123	6.537436773819135	19.58246196035205	3.862639562584588e-5	0.011361525091168945	StrainB6-GenotypeAPP-PS1	7
ENSMUSG00000026193	Fn1	Fn1	14268	fibronectin 1	-3.1407465179822966	3.7492066932703674	19.520388417196674	3.995213354850867e-5	0.0114338687066259	StrainB6-GenotypeAPP-PS1	7
ENSMUSG00000029304	Spp1	Spp1	20750	secreted phosphoprotein 1	-5.798989050338154	3.286216368573848	20.951510699853912	4.232698329833515e-5	0.011716637921287269	StrainB6-GenotypeAPP-PS1	7
ENSMUSG00000030789	Itgax	Itgax	16411	integrin alpha X	-2.23126484413684	4.320086466345708	19.246025270649586	4.4626644390065324e-5	0.011716637921287269	StrainB6-GenotypeAPP-PS1	7
ENSMUSG00000033307	Mif	Mif	17319	macrophage migration inhibitory factor (glycosylation-inhibiting factor)	-1.2296759806575412	6.5652588805492424	19.5707813820508	4.54497490754687e-5	0.011716637921287269	StrainB6-GenotypeAPP-PS1	7
ENSMUSG00000034459	Ifit1	Ifit1	15957	interferon-induced protein with tetratricopeptide repeats 1	-1.82438463243293	7.32302168889525	26.289108925904515	4.646216937012008e-5	0.011716637921287269	StrainB6-GenotypeAPP-PS1	7
ENSMUSG00000039899	Fgl2	Fgl2	14190	fibrinogen-like protein 2	-1.4321180279340475	6.703145800065043	19.222344292004745	4.647264073038675e-5	0.011716637921287269	StrainB6-GenotypeAPP-PS1	7
ENSMUSG00000064337	mt-Rnr1	NA	NA	NA	-1.3730656665388763	8.944371821132032	24.93161584491841	5.0212078080291276e-5	0.01236501615795824	StrainB6-GenotypeAPP-PS1	7
ENSMUSG00000079017	Ifi27l2a	Ifi27l2a	76933	interferon, alpha-inducible protein 27 like 2A	-1.3903605872706315	8.96347485904928	26.84772932437539	5.482502647299919e-5	0.013194141030058828	StrainB6-GenotypeAPP-PS1	7
ENSMUSG00000028692	Akr1a1	Akr1a1	58810	aldo-keto reductase family 1, member A1 (aldehyde reductase)	-0.7507802685602034	8.338997245723066	18.584378325293038	5.7720678866278984e-5	0.013582317078111736	StrainB6-GenotypeAPP-PS1	7
ENSMUSG00000100755	Rps23-ps1	NA	NA	NA	-0.7037967666386129	10.483118938396451	18.489957013674214	5.9974183478892885e-5	0.013805796279521668	StrainB6-GenotypeAPP-PS1	7
ENSMUSG00000036067	Slc2a6	Slc2a6	227659	solute carrier family 2 (facilitated glucose transporter), member 6	-3.7051398045692587	3.3131466945353867	18.01217262805899	7.285850198771846e-5	0.01641486547974363	StrainB6-GenotypeAPP-PS1	7
ENSMUSG00000021508	Cxcl14	Cxcl14	57266	chemokine (C-X-C motif) ligand 14	-6.330919234932935	4.688126557839718	20.116204465039672	7.806156043172533e-5	0.017220705487740406	StrainB6-GenotypeAPP-PS1	7
ENSMUSG00000074129	Rpl13a	Rpl13a	22121	ribosomal protein L13A	-0.6288655334448506	10.79898792087803	17.245669770627718	9.984257723132247e-5	0.021357176413836755	StrainB6-GenotypeAPP-PS1	7
ENSMUSG00000021242	Npc2	Npc2	67963	NPC intracellular cholesterol transporter 2	-0.6628328015044239	9.791411588654789	17.21298218088195	1.0120126637422923e-4	0.021357176413836755	StrainB6-GenotypeAPP-PS1	7
ENSMUSG00000060519	Tor3a	Tor3a	30935	torsin family 3, member A	-0.9841792441453471	7.354331609444889	17.20289509958527	1.0768496839532165e-4	0.021357176413836755	StrainB6-GenotypeAPP-PS1	7
ENSMUSG00000027514	Zbp1	Zbp1	58203	Z-DNA binding protein 1	-1.3728206990559069	6.004440748461219	18.08220658923702	1.0804283129068499e-4	0.021357176413836755	StrainB6-GenotypeAPP-PS1	7
ENSMUSG00000054404	Slfn5	Slfn5	327978	schlafen 5	-1.38783174121701	6.290122488133344	17.539296569709986	1.0950648849480157e-4	0.021357176413836755	StrainB6-GenotypeAPP-PS1	7
ENSMUSG00000098274	Rpl24	Rpl24	68193	ribosomal protein L24	-0.8057496064987446	8.99015930912052	17.19389537704831	1.1040846816281459e-4	0.021357176413836755	StrainB6-GenotypeAPP-PS1	7
ENSMUSG00000030107	Usp18	Usp18	24110	ubiquitin specific peptidase 18	-1.7800795389577033	6.809975156418448	21.52846026295976	1.1093065471347828e-4	0.021357176413836755	StrainB6-GenotypeAPP-PS1	7
ENSMUSG00000060802	B2m	B2m	12010	beta-2 microglobulin	-0.6912560488763914	10.67489873360366	16.901837167586415	1.1587768953660665e-4	0.02163985610834949	StrainB6-GenotypeAPP-PS1	7
ENSMUSG00000066861	Oas1g	Oas1g	23960	2'-5' oligoadenylate synthetase 1G	-1.6738526499201187	6.233430447360454	19.32446307332559	1.1772985880791374e-4	0.02163985610834949	StrainB6-GenotypeAPP-PS1	7
ENSMUSG00000044703	Phf11a	Phf11a	219131	PHD finger protein 11A	-2.775759540311222	4.340050996531207	16.811559719562567	1.1953941822828425e-4	0.02163985610834949	StrainB6-GenotypeAPP-PS1	7
ENSMUSG00000044533	Rps2	Rps2	16898	ribosomal protein S2	-0.6693396786814058	10.044227389906853	16.790866326361748	1.2057337901526302e-4	0.02163985610834949	StrainB6-GenotypeAPP-PS1	7
ENSMUSG00000018819	Lsp1	Lsp1	16985	lymphocyte specific 1	-1.4406147864391845	6.461864070884263	16.58469811105376	1.3139546910050052e-4	0.023189110371753332	StrainB6-GenotypeAPP-PS1	7
ENSMUSG00000040751	Lat2	Lat2	56743	linker for activation of T cells family, member 2	-0.8923630817975297	6.787593939287186	16.539542927272006	1.338973286769552e-4	0.023243259235414405	StrainB6-GenotypeAPP-PS1	7
ENSMUSG00000029561	Oasl2	Oasl2	23962	2'-5' oligoadenylate synthetase-like 2	-1.3105814999305643	7.132329497728161	18.59907733608886	1.3649307228501937e-4	0.023311695845581775	StrainB6-GenotypeAPP-PS1	7
ENSMUSG00000040952	Rps19	Rps19	20085	ribosomal protein S19	-0.6557987396764059	10.334477876643845	16.41533041266875	1.4103741780009712e-4	0.023705479636273466	StrainB6-GenotypeAPP-PS1	7
ENSMUSG00000062647	Rpl7a	Rpl7a	27176	ribosomal protein L7A	-0.6722448703328631	9.2968178703441815	16.22032232158572	1.5305355745718512e-4	0.02532057610332457	StrainB6-GenotypeAPP-PS1	7
ENSMUSG00000074578	Zfos1	Zfas1	68949	zinc finger, NFX1-type containing 1, antisense RNA 1	-1.0035355216091524	6.699988311410851	16.18365580819903	1.5542897787478485e-4	0.02532057610332457	StrainB6-GenotypeAPP-PS1	7
ENSMUSG00000020415	Pttg1	Pttg1	30939	pituitary tumor-transforming gene 1	-1.8330463842237819	5.034924859260736	16.08076013774974	1.623013451595859e-4	0.026039529452952348	StrainB6-GenotypeAPP-PS1	7
ENSMUSG00000016256	Ctsz	Ctsz	64138	cathepsin Z	-0.6557946236356897	10.952115196848554	15.816899524531289	1.8140292201198374e-4	0.02866978419678949	StrainB6-GenotypeAPP-PS1	7
ENSMUSG00000040528	Milr1	Milr1	380732	mast cell immunoglobulin like receptor 1	-1.2149015081524408	5.7500874710116365	15.754607281927651	1.862435667390383e-4	0.029001957767642302	StrainB6-GenotypeAPP-PS1	7
ENSMUSG00000029915	Clec5a	Clec5a	23845	C-type lectin domain family 5, member a	-1.2850312709275717	6.465238103895833	15.660038615571331	1.9384995325198666e-4	0.029339822302638364	StrainB6-GenotypeAPP-PS1	7
ENSMUSG00000049313	Sorl1	Sorl1	20660	sortilin-related receptor, LDLR class A repeats-containing	-1.458163329454947	5.3472525454971285	15.658761918359879	1.9395481737507654e-4	0.029339822302638364	StrainB6-GenotypeAPP-PS1	7
ENSMUSG00000039001	Rps21	Rps21	66481	ribosomal protein S21	-0.9113141049765003	10.440371340596847	17.775660460800655	2.1311701988170688e-4	0.0317844524440478	StrainB6-GenotypeAPP-PS1	7
ENSMUSG00000032554	Trf	Trf	22041	transferrin	-0.6786997409392396	9.76727451996564	15.386343902879572	2.1773335591000918e-4	0.032021923690709546	StrainB6-GenotypeAPP-PS1	7
ENSMUSG00000091649	Phf11b	Phf11b	236451	PHD finger protein 11B	-1.0568569683972338	6.993560448172104	16.082688874755863	2.481019429457813e-4	0.03598837635414901	StrainB6-GenotypeAPP-PS1	7
ENSMUSG00000037742	Eef1a1	Eef1a1	13627	eukaryotic translation elongation factor 1 alpha 1	-0.5676485856535465	11.623124367733515	14.936786387510892	2.638064789736395e-4	0.03774928116016039	StrainB6-GenotypeAPP-PS1	7
ENSMUSG00000049517	Rps23	Rps23	66475	ribosomal protein S23	-0.8469146655812135	8.185324796794427	15.288212355855093	2.7161658427116245e-4	0.03834864014463119	StrainB6-GenotypeAPP-PS1	7
ENSMUSG00000053113	Socs3	Socs3	12702	suppressor of cytokine signaling 3	-1.5447325452657885	5.11612683495522	14.84351370283932	2.940865411104021e-4	0.0409747682081322	StrainB6-GenotypeAPP-PS1	7
ENSMUSG00000060586	H2-Eb1	H2-Eb1	14969	histocompatibility 2, class II antigen E beta	-2.8825167300098773	4.305596825304551	17.137870540510303	3.5263837715678975e-4	0.04849464643783437	StrainB6-GenotypeAPP-PS1	7
ENSMUSG00000016252	Atp5e	Atp5e	67126	ATP synthase, H+ transporting, mitochondrial F1 complex, epsilon subunit	-0.7181980897112042	8.223810525288208	14.121195455252211	3.750402925388756e-4	0.05091412381659171	StrainB6-GenotypeAPP-PS1	7
ENSMUSG00000045932	Ifit2	Ifit2	15958	interferon-induced protein with tetratricopeptide repeats 2	-1.7726555453818387	7.471343205271988	18.67931649600072	3.8290668647950385e-4	0.05093990690744758	StrainB6-GenotypeAPP-PS1	7
ENSMUSG00000015355	Cd48	Cd48	12506	CD48 antigen	-0.9276130866311751	6.999173593462809	14.061758909504794	3.8485150180336255e-4	0.05093990690744758	StrainB6-GenotypeAPP-PS1	7
ENSMUSG00000047881	Rell1	Rell1	100532	RELT-like 1	-2.4154139612189907	3.3295768362407476	13.981846332550269	4.0729474822170486e-4	0.05267982352726539	StrainB6-GenotypeAPP-PS1	7
ENSMUSG00000036427	Gpi1	Gpi1	14751	glucose phosphate isomerase 1	-0.8781275248981395	7.035288087822316	13.96121661268058	4.079465038469886e-4	0.05267982352726539	StrainB6-GenotypeAPP-PS1	7
ENSMUSG00000030124	Lag3	Lag3	16768	lymphocyte-activation gene 3	-1.0361391110030946	7.4873661639233795	13.765314775043276	4.3792201906062345e-4	0.055288611672983254	StrainB6-GenotypeAPP-PS1	7
ENSMUSG00000097224	Gm26716	NA	NA	NA	-1.7630893473383038	4.793164861780299	13.734361143466115	4.438855892293433e-4	0.055288611672983254	StrainB6-GenotypeAPP-PS1	7
ENSMUSG00000050721	Plekho2	Plekho2	102595	pleckstrin homology domain containing, family O member 2	-2.033659973540635	4.438118515712586	13.712545026569874	4.4813934019756414e-4	0.055288611672983254	StrainB6-GenotypeAPP-PS1	7
ENSMUSG00000041992	Rapgef5	Rapgef5	217944	Rap guanine nucleotide exchange factor (GEF) 5	0.8082173596213726	7.480568938802532	13.774126886308537	4.490339601356653e-4	0.055288611672983254	StrainB6-GenotypeAPP-PS1	7
ENSMUSG00000038543	BC028528	BC028528	229600	cDNA sequence BC028528	-0.9100445384501465	6.3549435157518745	13.541211836792137	4.830540853469425e-4	0.058315293572229435	StrainB6-GenotypeAPP-PS1	7
ENSMUSG00000028691	Prdx1	Prdx1	18477	peroxiredoxin 1	-0.7501558564707399	7.90531946819178	13.533785451767251	4.8462988330873457e-4	0.058315293572229435	StrainB6-GenotypeAPP-PS1	7
ENSMUSG00000006930	Hap1	Hap1	15114	huntingtin-associated protein 1	-3.2451809824968594	3.7327304052343075	13.485118285081786	4.950895689245433e-4	0.05890453309373021	StrainB6-GenotypeAPP-PS1	7
ENSMUSG00000038037	Socs1	Socs1	12703	suppressor of cytokine signaling 1	-2.115056551838624	4.403647990710172	13.44455729521664	5.039861508228755e-4	0.05929677056737142	StrainB6-GenotypeAPP-PS1	7
ENSMUSG00000012848	Rps5	Rps5	20103	ribosomal protein S5	-0.5722165206641843	9.989229951694396	13.270358744266234	5.441250441117561e-4	0.06298434327125385	StrainB6-GenotypeAPP-PS1	7
ENSMUSG00000057322	Rpl38	Rpl38	67671	ribosomal protein L38	-0.953134223422266	8.442629943709102	15.104263116127138	5.518089092480747e-4	0.06298434327125385	StrainB6-GenotypeAPP-PS1	7
ENSMUSG00000048852	Gm12185	Gm12185	620913	predicted gene 12185	-2.3053178678229025	3.6837431282261943	13.209716359124052	5.588659532177537e-4	0.06298434327125385	StrainB6-GenotypeAPP-PS1	7
ENSMUSG00000040998	Npnt	Npnt	114249	nephronectin	-1.0598572786443505	6.498471271579025	13.301444606036881	5.655294091044304e-4	0.06298434327125385	StrainB6-GenotypeAPP-PS1	7
ENSMUSG00000042444	Fam63b	Mindy2	235461	MINDY lysine 48 deubiquitinase 2	0.8241828131000604	6.804098236037455	13.171404939821604	5.683920210487472e-4	0.06298434327125385	StrainB6-GenotypeAPP-PS1	7
ENSMUSG00000096727	Psmb9	Psmb9	16912	proteasome (prosome, macropain) subunit, beta type 9 (large multifunctional peptidase 2)	-0.8039719805269526	6.977444017141739	13.142417349982212	5.75711776107344e-4	0.06298434327125385	StrainB6-GenotypeAPP-PS1	7
ENSMUSG00000017652	Cd40	Cd40	21939	CD40 antigen	-3.0756440965905263	3.2329906212423043	13.137493175444982	5.769648972812941e-4	0.06298434327125385	StrainB6-GenotypeAPP-PS1	7
ENSMUSG00000057278	Snrpg	Snrpg	68011	small nuclear ribonucleoprotein polypeptide G	-0.7379760039764284	7.360386827979038	13.05410396033173	5.986219847921877e-4	0.0640438666496649	StrainB6-GenotypeAPP-PS1	7
ENSMUSG00000066415	Msl2	Msl2	77853	MSL complex subunit 2	1.0025252675160392	5.912240036486903	13.05355656045759	5.987669088976131e-4	0.0640438666496649	StrainB6-GenotypeAPP-PS1	7
ENSMUSG00000058729	Lin9	Lin9	72568	lin-9 homolog (C. elegans)	1.7243457830562459	4.481071745739253	13.015940300557434	6.088136785411227e-4	0.06446728042071949	StrainB6-GenotypeAPP-PS1	7
ENSMUSG00000064339	mt-Rnr2	NA	NA	NA	-1.3420244282680611	11.84019236608225	17.001503929889644	6.183260818767141e-4	0.06482628595042104	StrainB6-GenotypeAPP-PS1	7
ENSMUSG00000016477	E2f3	E2f3	13557	E2F transcription factor 3	1.8396538333188888	4.465091739344809	13.035903273099093	6.24832049394431e-4	0.06486614285331009	StrainB6-GenotypeAPP-PS1	7
ENSMUSG00000028643	Svbp	Svbp	69216	small vasohibin binding protein	-1.0487064244638358	6.20547666183996	12.911727816968023	6.375728579651349e-4	0.06554620381546421	StrainB6-GenotypeAPP-PS1	7
ENSMUSG00000025967	Eef1b2	Eef1b2	55949	eukaryotic translation elongation factor 1 beta 2	-0.6026532341104217	9.324473914194115	12.803351252232074	6.689828303072257e-4	0.06757499622092711	StrainB6-GenotypeAPP-PS1	7
ENSMUSG00000000594	Gm2a	Gm2a	14667	GM2 ganglioside activator protein	-0.7860808935887936	7.4038111539128115	12.799694357842943	6.700703185567424e-4	0.06757499622092711	StrainB6-GenotypeAPP-PS1	7
ENSMUSG00000025351	Cd63	Cd63	12512	CD63 antigen	-1.6571597263079156	8.459894237212822	16.61540985268166	6.856679133434759e-4	0.06849563711692515	StrainB6-GenotypeAPP-PS1	7
ENSMUSG00000025746	Il6	Il6	16193	interleukin 6	-5.382280716444457	4.697282288976079	12.755785743373279	7.031708008856942e-4	0.06935846436394477	StrainB6-GenotypeAPP-PS1	7
ENSMUSG00000038717	Atp5l	Atp5l	27425	ATP synthase, H+ transporting, mitochondrial F0 complex, subunit G	-1.0664209231178106	6.919850073807651	13.690563621503678	7.113612826066566e-4	0.06935846436394477	StrainB6-GenotypeAPP-PS1	7
ENSMUSG00000004952	Rasa4	Rasa4	54153	RAS p21 protein activator 4	-0.9573492414433548	6.650224326535415	12.645283900907414	7.177073582052268e-4	0.06935846436394477	StrainB6-GenotypeAPP-PS1	7
ENSMUSG00000023367	Tmem176a	Tmem176a	66058	transmembrane protein 176A	-0.8671155487064338	8.329120861642311	13.91540921706487	7.205053432839669e-4	0.06935846436394477	StrainB6-GenotypeAPP-PS1	7
ENSMUSG00000011148	Adssl1	Adssl1	11565	adenylosuccinate synthetase like 1	-2.5286972748417753	3.8197031144615186	12.639949062324996	7.400503495034837e-4	0.07059813649452602	StrainB6-GenotypeAPP-PS1	7
ENSMUSG00000018920	Cxcl16	Cxcl16	66102	chemokine (C-X-C motif) ligand 16	-0.8338518668364904	6.688760805185257	12.53377825801035	7.542881723402063e-4	0.07131390586527184	StrainB6-GenotypeAPP-PS1	7
ENSMUSG00000032870	Smap2	Smap2	69780	small ArfGAP 2	0.5883987659138147	9.092591896751117	12.498504522889098	7.662596556084701e-4	0.07180463268352293	StrainB6-GenotypeAPP-PS1	7
