ENSMUSG	Orig_Symbol	Symbol	Entrezid	Genename	logFC	logCPM	F	PValue	FDR	coef	cluster
ENSMUSG00000048758	Rpl29	Rpl29	19944	ribosomal protein L29	7.5483864045827005	10.005426654776375	486.74478718962246	6.216881480160278e-28	2.4376392283708452e-24	GenotypeAPP-PS1	9
ENSMUSG00000000682	Cd52	Cd52	23833	CD52 antigen	1.9371167540724226	9.382981370060426	71.35416246812896	4.586754270306773e-10	8.992331746936428e-7	GenotypeAPP-PS1	9
ENSMUSG00000090625	Gm20721	NA	NA	NA	1.158826274153134	9.885681977384793	43.35920728982836	2.349185108807356e-8	3.070384937211214e-5	GenotypeAPP-PS1	9
ENSMUSG00000030579	Tyrobp	Tyrobp	22177	TYRO protein tyrosine kinase binding protein	0.8234581523183083	12.59679717096618	36.92703809236864	1.4957306061435706e-7	1.466189926672235e-4	GenotypeAPP-PS1	9
ENSMUSG00000064370	mt-Cytb	CYTB	17711	cytochrome b	0.9610414761969313	12.803337580561735	35.94886206589101	2.006681308515561e-7	1.573639482137903e-4	GenotypeAPP-PS1	9
ENSMUSG00000064337	mt-Rnr1	NA	NA	NA	1.26586950362619	9.691653521239468	35.34756559840052	6.603697614374863e-7	4.3155163909939733e-4	GenotypeAPP-PS1	9
ENSMUSG00000038600	Atp6v0a4	Atp6v0a4	140494	ATPase, H+ transporting, lysosomal V0 subunit A4	2.4105523546855827	5.109559046134964	34.75796972858225	9.984640465065618e-7	5.592825037646041e-4	GenotypeAPP-PS1	9
ENSMUSG00000100862	Gm10925	NA	NA	NA	0.8945444603160885	13.305660731887292	29.58983312489436	1.482551407290979e-6	7.096837094298906e-4	GenotypeAPP-PS1	9
ENSMUSG00000102070	Gm28661	NA	NA	NA	0.8902290476220501	13.001890711830349	29.302838795875935	1.628960312386895e-6	7.096837094298906e-4	GenotypeAPP-PS1	9
ENSMUSG00000064341	mt-Nd1	ND1	17716	NADH dehydrogenase subunit 1	0.9951595199141212	12.043448562172063	29.289307431648506	2.3151772030216233e-6	9.077809813047786e-4	GenotypeAPP-PS1	9
ENSMUSG00000064368	mt-Nd6	ND6	17722	NADH dehydrogenase subunit 6	0.8881582734491403	9.897657190073787	27.707233400406178	2.768247754058812e-6	9.867544948786002e-4	GenotypeAPP-PS1	9
ENSMUSG00000057666	Gapdh	Gapdh	14433	glyceraldehyde-3-phosphate dehydrogenase	0.9098686525571462	9.612988097932169	26.91463202422213	3.6180751876048874e-6	0.0011807616285482493	GenotypeAPP-PS1	9
ENSMUSG00000068129	Cst7	Cst7	13011	cystatin F (leukocystatin)	3.432845537517683	6.9655949521650085	41.62814323900694	3.91479244354176e-6	0.0011807616285482493	GenotypeAPP-PS1	9
ENSMUSG00000018927	Ccl6	Ccl6	20305	chemokine (C-C motif) ligand 6	1.3073067552747089	9.134503200568467	25.894758458132312	6.232268663310549e-6	0.001745480387774333	GenotypeAPP-PS1	9
ENSMUSG00000007877	Tcap	Tcap	21393	titin-cap	3.6846828989412708	4.277166878022306	27.39823035490189	7.554375525959976e-6	0.0019747137624859376	GenotypeAPP-PS1	9
ENSMUSG00000079017	Ifi27l2a	Ifi27l2a	76933	interferon, alpha-inducible protein 27 like 2A	3.243772270880246	7.479128505531816	42.58354025084969	1.0698929680137705e-5	0.0025008268267861624	GenotypeAPP-PS1	9
ENSMUSG00000020077	Srgn	Srgn	19073	serglycin	1.5066298938492517	7.975339729985903	24.338117090333515	1.1459541837814181e-5	0.0025008268267861624	GenotypeAPP-PS1	9
ENSMUSG00000032436	Cmtm7	Cmtm7	102545	CKLF-like MARVEL transmembrane domain containing 7	-1.1606691700249758	7.7911774773511295	23.594134247758973	1.1480459801619719e-5	0.0025008268267861624	GenotypeAPP-PS1	9
ENSMUSG00000064351	mt-Co1	COX1	17708	cytochrome c oxidase subunit I	0.8826368499852251	11.413225788206546	23.687033383237768	1.2598583592056667e-5	0.002599949803392326	GenotypeAPP-PS1	9
ENSMUSG00000064339	mt-Rnr2	NA	NA	NA	1.0923673902493642	12.640806387470871	25.291128790494447	2.771104059101197e-5	0.005432749507867897	GenotypeAPP-PS1	9
ENSMUSG00000057113	Npm1	Npm1	18148	nucleophosmin 1	0.7831281186472938	8.7481057305626	20.593943249624466	3.425161077768317e-5	0.006117189492969334	GenotypeAPP-PS1	9
ENSMUSG00000026548	Slamf9	Slamf9	98365	SLAM family member 9	1.779552101504573	6.579821713048668	20.58840487452229	3.4322409804979686e-5	0.006117189492969334	GenotypeAPP-PS1	9
ENSMUSG00000032549	Rab6b	Rab6b	270192	RAB6B, member RAS oncogene family	6.03380091346009	4.8436359325832266	20.696443108025456	3.842028560135613e-5	0.006549823471431191	GenotypeAPP-PS1	9
ENSMUSG00000004837	Grap	Grap	71520	GRB2-related adaptor protein	-3.1896780565534297	6.359881872990894	19.413017457028708	5.341852129872857e-5	0.00854113964540358	GenotypeAPP-PS1	9
ENSMUSG00000101111	Gm28437	NA	NA	NA	0.9612381407513872	13.366948658692454	22.237379132231926	5.445766160037987e-5	0.00854113964540358	GenotypeAPP-PS1	9
ENSMUSG00000042228	Lyn	Lyn	17096	LYN proto-oncogene, Src family tyrosine kinase	-0.853337439994637	8.26929439183567	19.10118334398869	6.0155080397564964e-5	0.00907184885534047	GenotypeAPP-PS1	9
ENSMUSG00000101939	Gm28438	NA	NA	NA	1.2508296141347424	10.56521403136005	23.143500813462794	6.859382686481879e-5	0.00996134796803535	GenotypeAPP-PS1	9
ENSMUSG00000051504	Siglech	Siglech	233274	sialic acid binding Ig-like lectin H	0.7133814231137912	9.40576174538947	17.780014860731367	1.0017633181559088e-4	0.014028264180318994	GenotypeAPP-PS1	9
ENSMUSG00000053332	Gas5	Gas5	14455	growth arrest specific 5	0.8531643998962166	7.967874621858455	17.11364960160956	1.301240458411528e-4	0.017593668404936556	GenotypeAPP-PS1	9
ENSMUSG00000030785	Cox6a2	Cox6a2	12862	cytochrome c oxidase subunit 6A2	0.856536744461996	7.178166673666807	16.566322120654373	1.61672238638129e-4	0.02113056159000346	GenotypeAPP-PS1	9
ENSMUSG00000037742	Eef1a1	Eef1a1	13627	eukaryotic translation elongation factor 1 alpha 1	0.6286734029998405	12.348983444269493	16.198498050537818	1.8728418823391355e-4	0.023688429098876616	GenotypeAPP-PS1	9
ENSMUSG00000032554	Trf	Trf	22041	transferrin	0.6778878704459911	10.226570014913229	15.849716339287001	2.154988086454904e-4	0.026405338396842743	GenotypeAPP-PS1	9
ENSMUSG00000029810	Tmem176b	Tmem176b	65963	transmembrane protein 176B	0.9888292621514111	8.804244473238336	17.069094482498215	2.620202974674743e-4	0.031132775344544443	GenotypeAPP-PS1	9
ENSMUSG00000030342	Cd9	Cd9	12527	CD9 antigen	0.6937518661165881	10.037022655241644	15.0329303104343	3.003767707634972e-4	0.034640509357755075	GenotypeAPP-PS1	9
ENSMUSG00000057841	Rpl32	Rpl32	19951	ribosomal protein L32	0.5755062295876451	11.410782457255666	14.7199169375623	3.415920380433403e-4	0.038268068033369636	GenotypeAPP-PS1	9
