ENSMUSG	Orig_Symbol	Symbol	Entrezid	Genename	logFC	logCPM	F	PValue	FDR	coef	cluster
ENSMUSG00000048758	Rpl29	Rpl29	19944	ribosomal protein L29	-7.320584559460532	10.005426654776375	288.3179203521996	9.070897162287116e-23	3.5566987773327784e-19	StrainPWK-GenotypeAPP-PS1	9
ENSMUSG00000064337	mt-Rnr1	NA	NA	NA	-1.6521781969399065	9.691653521239468	28.143424282278215	5.011613439606888e-6	0.009825268148349303	StrainPWK-GenotypeAPP-PS1	9
ENSMUSG00000000682	Cd52	Cd52	23833	CD52 antigen	-1.4688696958432583	9.382981370060426	19.7390939771779	8.12176636686329e-5	0.07490748204895083	StrainPWK-GenotypeAPP-PS1	9
ENSMUSG00000031450	Grk1	Grk1	24013	G protein-coupled receptor kinase 1	6.995168582239696	4.174249552704426	17.528038735209353	1.1843195380183296e-4	0.07490748204895083	StrainPWK-GenotypeAPP-PS1	9
ENSMUSG00000038055	Dexi	Dexi	58239	dexamethasone-induced transcript	-2.4550788460001534	5.635923026056949	17.163734230674464	1.275777232196663e-4	0.07490748204895083	StrainPWK-GenotypeAPP-PS1	9
ENSMUSG00000064339	mt-Rnr2	NA	NA	NA	-1.4480850481709955	12.640806387470871	19.677032910267684	1.3692833127609377e-4	0.07490748204895083	StrainPWK-GenotypeAPP-PS1	9
ENSMUSG00000064341	mt-Nd1	ND1	17716	NADH dehydrogenase subunit 1	-1.1299168962622739	12.043448562172063	16.617962836352383	1.8394181814567192e-4	0.07490748204895083	StrainPWK-GenotypeAPP-PS1	9
ENSMUSG00000102070	Gm28661	NA	NA	NA	-0.998367986107333	13.001890711830349	16.23937186369176	1.8423991539755655e-4	0.07490748204895083	StrainPWK-GenotypeAPP-PS1	9
ENSMUSG00000026548	Slamf9	Slamf9	98365	SLAM family member 9	-1.9513947897974262	6.579821713048668	16.015071281118857	2.0160662438758477e-4	0.07490748204895083	StrainPWK-GenotypeAPP-PS1	9
ENSMUSG00000030579	Tyrobp	Tyrobp	22177	TYRO protein tyrosine kinase binding protein	-0.8133574087511002	12.59679717096618	15.955431691545558	2.0650614087261944e-4	0.07490748204895083	StrainPWK-GenotypeAPP-PS1	9
