ENSMUSG	Orig_Symbol	Symbol	Entrezid	Genename	logFC	logCPM	F	PValue	FDR	coef	cluster
ENSMUSG00000048758	Rpl29	Rpl29	19944	ribosomal protein L29	7.055226635999411	9.121476639041644	1261.4604777143923	1.6187382143986812e-21	2.7772691544438175e-17	GenotypeAPP-PS1	H
ENSMUSG00000080746	Rpsa-ps12	NA	NA	NA	5.131289419424357	0.8612290432845457	148.33705627851677	1.2677299635264074e-12	1.0875221492111285e-8	GenotypeAPP-PS1	H
ENSMUSG00000060586	H2-Eb1	H2-Eb1	14969	histocompatibility 2, class II antigen E beta	2.628333754691283	2.1969259961883427	125.51015095397116	8.757313532741574e-12	5.008307609374906e-8	GenotypeAPP-PS1	H
ENSMUSG00000079037	Prnp	Prnp	19122	prion protein	2.569585611144112	2.8167343016501114	110.34336455278255	5.897264434602931e-11	2.5294841476120624e-7	GenotypeAPP-PS1	H
ENSMUSG00000032528	Vipr1	Vipr1	22354	vasoactive intestinal peptide receptor 1	2.6531755658209235	1.2879142328953792	102.73864346014483	8.244745761777437e-11	2.8291020606963097e-7	GenotypeAPP-PS1	H
ENSMUSG00000068129	Cst7	Cst7	13011	cystatin F (leukocystatin)	3.435900632996755	4.721877255153571	134.72903509757631	4.412016022335823e-10	1.2616159815869286e-6	GenotypeAPP-PS1	H
ENSMUSG00000020077	Srgn	Srgn	19073	serglycin	1.104535517517947	7.666407139014544	84.69335646492628	1.0139620516538551e-9	2.485220988603599e-6	GenotypeAPP-PS1	H
ENSMUSG00000032076	Cadm1	Cadm1	54725	cell adhesion molecule 1	0.7778848929753411	6.936484431090191	65.76827053120377	8.701194240422188e-9	1.8660798697865435e-5	GenotypeAPP-PS1	H
ENSMUSG00000021508	Cxcl14	Cxcl14	57266	chemokine (C-X-C motif) ligand 14	4.528582091189974	0.8169688104437682	76.69650422123414	1.2284810530001663e-8	2.3418943807026505e-5	GenotypeAPP-PS1	H
ENSMUSG00000029816	Gpnmb	Gpnmb	93695	glycoprotein (transmembrane) nmb	9.04951306538061	-1.6306816033092504	90.14051756800464	1.4413979635016161e-8	2.473006485979723e-5	GenotypeAPP-PS1	H
ENSMUSG00000028583	Pdpn	Pdpn	14726	podoplanin	4.156511024182265	-1.5634392537517268	69.53629441722615	2.3661674354262774e-8	3.690575880873513e-5	GenotypeAPP-PS1	H
ENSMUSG00000057596	Trim30d	Trim30d	209387	tripartite motif-containing 30D	1.2400256120238657	4.799570141859624	57.53810445298514	3.1714243853124884e-8	4.5343440149005306e-5	GenotypeAPP-PS1	H
