ENSMUSG	Orig_Symbol	Symbol	Entrezid	Genename	logFC	logCPM	F	PValue	FDR	coef	cluster
ENSMUSG00000027669	Gnb4	Gnb4	14696	guanine nucleotide binding protein (G protein), beta 4	-7.665819976899861	6.039661463627314	3568.240532267478	9.23322438733746e-31	1.584144308135488e-26	StrainB6	H
ENSMUSG00000031851	Ntpcr	Ntpcr	66566	nucleoside-triphosphatase, cancer-related	4.4197094616060575	6.6259437264359216	3250.211168168823	3.3201417972661315e-30	2.848183640784751e-26	StrainB6	H
ENSMUSG00000026458	Ppfia4	Ppfia4	68507	protein tyrosine phosphatase, receptor type, f polypeptide (PTPRF), interacting protein (liprin), alpha 4	4.46858387604082	7.594194880261402	2335.410232680509	3.057714402857106e-28	1.748706866993979e-24	StrainB6	H
ENSMUSG00000044626	Liph	Liph	239759	lipase, member H	6.717891004119055	5.132631933714654	2215.636937851254	6.275441539562291e-28	2.6916937623567557e-24	StrainB6	H
ENSMUSG00000069892	9930111J21Rik2	9930111J21Rik2	245240	RIKEN cDNA 9930111J21 gene 2	4.894387607079267	7.327203301327899	1960.6644635269765	3.3263048378124e-27	1.141388242046947e-23	StrainB6	H
ENSMUSG00000002104	Rapsn	Rapsn	19400	receptor-associated protein of the synapse	7.3386319264480875	4.346801090158404	1897.1105835138244	5.2118012823070205e-27	1.4903145766756926e-23	StrainB6	H
ENSMUSG00000042249	Adrbk2	Grk3	320129	G protein-coupled receptor kinase 3	4.842587790796894	4.836707167264293	1774.5682928710414	1.2939684738081244e-26	3.1715167293037126e-23	StrainB6	H
ENSMUSG00000079671	2610203C22Rik	2610203C22Rik	72481	RIKEN cDNA 2610203C22 gene	6.31499379831175	5.273673135694807	1746.2144106080596	1.6111267966034082e-26	3.455262806165584e-23	StrainB6	H
ENSMUSG00000001020	S100a4	S100a4	20198	S100 calcium binding protein A4	-4.662393767057335	4.688787936237645	1688.525892460986	2.5446442982251998e-26	4.850940247183306e-23	StrainB6	H
ENSMUSG00000035258	Abi3bp	Abi3bp	320712	ABI gene family, member 3 (NESH) binding protein	-7.6445104614128905	4.807941498018724	1525.1558674766009	1.0144726854332159e-25	1.7405307863977685e-22	StrainB6	H
ENSMUSG00000022817	Itgb5	Itgb5	16419	integrin beta 5	4.37253696211557	9.397859744939785	1496.1740176285525	1.3163270614630932e-25	2.0531112175929355e-22	StrainB6	H
ENSMUSG00000020415	Pttg1	Pttg1	30939	pituitary tumor-transforming gene 1	4.009564507903509	3.8468274549951094	1486.3864467693486	1.4389775506131874e-25	2.0573781529892046e-22	StrainB6	H
ENSMUSG00000094403	Mir692-2	Mir692-2	735288	microRNA 692-2	-12.687280804846184	3.720593545048176	2143.990842342053	1.7880324325510281e-25	2.3597901880983067e-22	StrainB6	H
ENSMUSG00000022106	Rcbtb2	Rcbtb2	105670	regulator of chromosome condensation (RCC1) and BTB (POZ) domain containing protein 2	2.6405552571084887	6.834165097345423	1447.5277042740647	2.0614467277641558e-25	2.4630765227797675e-22	StrainB6	H
ENSMUSG00000054702	Ap1s3	Ap1s3	252903	adaptor-related protein complex AP-1, sigma 3	3.4417591764714213	9.801871006572165	1440.218647439865	2.2079852514545295e-25	2.4630765227797675e-22	StrainB6	H
ENSMUSG00000043943	Naalad2	Naalad2	72560	N-acetylated alpha-linked acidic dipeptidase 2	5.497893043025624	5.28891364458727	1427.369048692281	2.493389172970133e-25	2.4630765227797675e-22	StrainB6	H
ENSMUSG00000052760	A630001G21Rik	A630001G21Rik	319997	RIKEN cDNA A630001G21 gene	5.201253705707571	4.5024779912012844	1425.9111460736915	2.5281885437919097e-25	2.4630765227797675e-22	StrainB6	H
ENSMUSG00000034413	Neurl1b	Neurl1b	240055	neuralized E3 ubiquitin protein ligase 1B	-5.925971459588329	4.216451466912594	1418.1140829358706	2.7233589554435358e-25	2.4630765227797675e-22	StrainB6	H
ENSMUSG00000063253	Scoc	Scoc	56367	short coiled-coil protein	3.276612569221515	8.38185466479017	1417.9490937416726	2.727659493665302e-25	2.4630765227797675e-22	StrainB6	H
ENSMUSG00000079110	Capn3	Capn3	12335	calpain 3	3.480384437581044	6.023714083053635	1392.8115816304035	3.4763335279968557e-25	2.982172716992103e-22	StrainB6	H
ENSMUSG00000029059	Fam213b	Prxl2b	66469	peroxiredoxin like 2B	12.432799130018596	4.715199820911169	2746.7720855723624	3.9478522281627744e-25	3.225395270408987e-22	StrainB6	H
ENSMUSG00000040272	Accs	Accs	329470	1-aminocyclopropane-1-carboxylate synthase (non-functional)	3.068097256723596	5.402591549100658	1371.3026658680803	4.292791084231825e-25	3.3477916650984287e-22	StrainB6	H
ENSMUSG00000029915	Clec5a	Clec5a	23845	C-type lectin domain family 5, member a	2.687700251966376	6.449006647734838	1334.6334652111364	6.197744367012069e-25	4.579057885905877e-22	StrainB6	H
