ENSMUSG	Orig_Symbol	Symbol	Entrezid	Genename	logFC	logCPM	F	PValue	FDR	coef	cluster
ENSMUSG00000027669	Gnb4	Gnb4	14696	guanine nucleotide binding protein (G protein), beta 4	-7.3264105913621185	6.039661463627314	3363.995703494103	2.0717457140945527e-30	3.554494121672024e-26	StrainWSB	H
ENSMUSG00000028184	Adgrl2	Adgrl2	99633	adhesion G protein-coupled receptor L2	10.62215509112898	5.420868493628332	2372.983380785284	2.458670655087463e-28	1.3925891657160706e-24	StrainWSB	H
ENSMUSG00000019055	Plod1	Plod1	18822	procollagen-lysine, 2-oxoglutarate 5-dioxygenase 1	3.0338278971055077	7.379916091942744	2341.1585725152613	2.956732591906748e-28	1.3925891657160706e-24	StrainWSB	H
ENSMUSG00000026458	Ppfia4	Ppfia4	68507	protein tyrosine phosphatase, receptor type, f polypeptide (PTPRF), interacting protein (liprin), alpha 4	4.456592873443057	7.594194880261402	2323.7682242870383	3.2737419369885604e-28	1.3925891657160706e-24	StrainWSB	H
ENSMUSG00000044626	Liph	Liph	239759	lipase, member H	6.823383391520257	5.132631933714654	2287.5014310590204	4.058370244553449e-28	1.3925891657160706e-24	StrainWSB	H
ENSMUSG00000029915	Clec5a	Clec5a	23845	C-type lectin domain family 5, member a	3.446187460889109	6.449006647734838	2109.5047470210848	1.2262985112433087e-27	3.506600592900241e-24	StrainWSB	H
ENSMUSG00000030246	Ldhb	Ldhb	16832	lactate dehydrogenase B	-4.2656893604875235	8.732457656744172	2054.7085840966856	1.756002193882103e-27	4.303961377205035e-24	StrainWSB	H
ENSMUSG00000043943	Naalad2	Naalad2	72560	N-acetylated alpha-linked acidic dipeptidase 2	6.469426084750419	5.28891364458727	2002.0532137662153	2.5019521989014917e-27	5.365749234569112e-24	StrainWSB	H
ENSMUSG00000030148	Clec4a2	Clec4a2	26888	C-type lectin domain family 4, member a2	-4.160365436527851	7.117685382942364	1762.1010201712907	1.424295379506074e-26	2.715181758465079e-23	StrainWSB	H
ENSMUSG00000042249	Adrbk2	Grk3	320129	G protein-coupled receptor kinase 3	4.806558821129041	4.836707167264293	1741.126862582662	1.6763842454561225e-26	2.8761724499290697e-23	StrainWSB	H
ENSMUSG00000028080	Lrba	Lrba	80877	LPS-responsive beige-like anchor	3.275225971736892	7.3600759587425735	1716.5653183733555	2.0338894129837907e-26	3.1723127871420817e-23	StrainWSB	H
ENSMUSG00000034413	Neurl1b	Neurl1b	240055	neuralized E3 ubiquitin protein ligase 1B	-10.271048427172058	4.216451466912594	1682.4381074589246	2.6727751698971345e-26	3.821400299160428e-23	StrainWSB	H
ENSMUSG00000021087	Rtn1	Rtn1	104001	reticulon 1	2.9331879997457495	6.3100061072709615	1653.213711205486	3.391972602969179e-26	4.4766210730109384e-23	StrainWSB	H
ENSMUSG00000040272	Accs	Accs	329470	1-aminocyclopropane-1-carboxylate synthase (non-functional)	3.3628282226938215	5.402591549100658	1632.747734265854	4.017948228195803e-26	4.9239955536539566e-23	StrainWSB	H
ENSMUSG00000038763	Alpk3	Alpk3	116904	alpha-kinase 3	11.51940091341607	5.103614986315465	2189.3917795851903	5.797071410311152e-26	6.466187460114717e-23	StrainWSB	H
ENSMUSG00000022817	Itgb5	Itgb5	16419	integrin beta 5	4.533466030182418	9.397859744939785	1584.695206975935	6.030133436022351e-26	6.466187460114717e-23	StrainWSB	H
ENSMUSG00000025576	Rbfox3	Rbfox3	52897	RNA binding protein, fox-1 homolog (C. elegans) 3	-9.538905505263944	5.137192836962865	1563.3169082837092	7.252180121457318e-26	7.31915613787313e-23	StrainWSB	H
ENSMUSG00000001020	S100a4	S100a4	20198	S100 calcium binding protein A4	-4.278654477284464	4.688787936237645	1493.0894515043287	1.3537241627574683e-25	1.2787610636702508e-22	StrainWSB	H
ENSMUSG00000079671	2610203C22Rik	2610203C22Rik	72481	RIKEN cDNA 2610203C22 gene	5.85804433188727	5.273673135694807	1488.1405579393308	1.416125208937155e-25	1.2787610636702508e-22	StrainWSB	H
ENSMUSG00000002190	Clgn	Clgn	12745	calmegin	5.609821366219996	4.648578195659367	1471.3100243959786	1.6525075386125097e-25	1.4176035919987414e-22	StrainWSB	H
ENSMUSG00000024049	Myom1	Myom1	17929	myomesin 1	-7.332948214693601	4.070541805740553	1457.2377099623366	1.8826910939481482e-25	1.538158623755637e-22	StrainWSB	H
ENSMUSG00000054702	Ap1s3	Ap1s3	252903	adaptor-related protein complex AP-1, sigma 3	3.419362382134505	9.801871006572165	1424.1844121568383	2.570079868345023e-25	2.0043118318725252e-22	StrainWSB	H
ENSMUSG00000002104	Rapsn	Rapsn	19400	receptor-associated protein of the synapse	6.522927391905762	4.346801090158404	1410.9437701416384	2.9171484248222398e-25	2.176065892377181e-22	StrainWSB	H
ENSMUSG00000094403	Mir692-2	Mir692-2	735288	microRNA 692-2	-10.241591768574295	3.720593545048176	1991.7603146773342	4.383950786388116e-25	3.1339768184192044e-22	StrainWSB	H
ENSMUSG00000024084	Qpct	Qpct	70536	glutaminyl-peptide cyclotransferase (glutaminyl cyclase)	8.805375451199989	5.532907293304018	1815.0510383291817	5.205945518508404e-25	3.572736290441947e-22	StrainWSB	H
ENSMUSG00000027014	Cwc22	Cwc22	80744	CWC22 spliceosome-associated protein	4.319308721258886	7.992717479730883	1380.0547663986115	6.16585573124615e-25	4.068753337730392e-22	StrainWSB	H
ENSMUSG00000068566	Myadm	Myadm	50918	myeloid-associated differentiation marker	5.266966770195563	5.826741036571335	1395.5250443657233	6.606547611128223e-25	4.198093976449145e-22	StrainWSB	H
ENSMUSG00000024340	Btnl2	Btnl2	547431	butyrophilin-like 2	-10.413450531017888	4.0771351360835055	1270.4607887112888	1.2077636855750423e-24	7.36394773201399e-22	StrainWSB	H
ENSMUSG00000069892	9930111J21Rik2	9930111J21Rik2	245240	RIKEN cDNA 9930111J21 gene 2	3.781491784127999	7.327203301327899	1267.635165925232	1.2447076075561327e-24	7.36394773201399e-22	StrainWSB	H
ENSMUSG00000078153	Psme2b	Psme2b	621823	protease (prosome, macropain) activator subunit 2B	7.847633258993612	4.611297102822312	1251.5214495677433	2.2069416114291075e-24	1.2621499075763065e-21	StrainWSB	H
ENSMUSG00000031851	Ntpcr	Ntpcr	66566	nucleoside-triphosphatase, cancer-related	2.5645289665367734	6.6259437264359216	1193.4320906967118	2.8140354056339836e-24	1.5574324340149116e-21	StrainWSB	H
ENSMUSG00000029059	Fam213b	Prxl2b	66469	peroxiredoxin like 2B	11.881701275346915	4.715199820911169	2285.6781131080998	3.1027440874437026e-24	1.6635556346334876e-21	StrainWSB	H
ENSMUSG00000100280	Gm28417	NA	NA	NA	2.8857527010970667	5.548526301561943	1162.2794296660136	4.022790812044625e-24	2.0914855140075645e-21	StrainWSB	H
ENSMUSG00000089797	Gm16118	Gm16118	102632420	predicted gene 16118	7.869041236242856	3.8988369493318533	1156.0791833152173	4.324152025863512e-24	2.1820434208158906e-21	StrainWSB	H
ENSMUSG00000030494	Rhpn2	Rhpn2	52428	rhophilin, Rho GTPase binding protein 2	5.281309241945352	3.9899070224865434	1131.3472357444791	5.790336652593949e-24	2.8384230271015536e-21	StrainWSB	H
ENSMUSG00000020898	Ctc1	Ctc1	68964	CTS telomere maintenance complex component 1	2.8232251235881187	6.8883375689303294	1122.6935602835542	6.422623639295913e-24	3.0609153827611105e-21	StrainWSB	H
