ENSMUSG	Orig_Symbol	Symbol	Entrezid	Genename	logFC	logCPM	F	PValue	FDR	coef	cluster
ENSMUSG00000033880	Lgals3bp	Lgals3bp	19039	lectin, galactoside-binding, soluble, 3 binding protein	-3.409137781969199	7.053127030330697	59.528933823258676	3.713815612676748e-9	3.8170596867091615e-5	StrainB6-GenotypeAPP-PS1	11
ENSMUSG00000026249	Serpine2	Serpine2	20720	serine (or cysteine) peptidase inhibitor, clade E, member 2	-2.329730317833352	7.967559759262726	44.82057358232975	3.249000196303831e-8	1.6696612008805387e-4	StrainB6-GenotypeAPP-PS1	11
ENSMUSG00000029561	Oasl2	Oasl2	23962	2'-5' oligoadenylate synthetase-like 2	-8.538284454874054	4.3504577963989925	34.434567088399056	1.0378572469747007e-6	0.0030158855863713432	StrainB6-GenotypeAPP-PS1	11
ENSMUSG00000025498	Irf7	Irf7	54123	interferon regulatory factor 7	-4.26074482589925	4.584893681224331	36.05996204057938	1.173724688216129e-6	0.0030158855863713432	StrainB6-GenotypeAPP-PS1	11
ENSMUSG00000024675	Ms4a4c	Ms4a4c	64380	membrane-spanning 4-domains, subfamily A, member 4C	-5.380508840095088	3.989881778115739	29.59826929590693	1.1848715835966475e-5	0.024356220272412684	StrainB6-GenotypeAPP-PS1	11
ENSMUSG00000001123	Lgals9	Lgals9	16859	lectin, galactose binding, soluble 9	-1.9673924044672453	6.90178783156873	20.93999891023428	3.874126219612289e-5	0.06636378214195851	StrainB6-GenotypeAPP-PS1	11
ENSMUSG00000081344	Gm14303	NA	NA	NA	-1.1220280558926137	8.669029840304946	19.49977751182622	6.48106234920253e-5	0.09516051260729086	StrainB6-GenotypeAPP-PS1	11
ENSMUSG00000037242	Clic4	Clic4	29876	chloride intracellular channel 4 (mitochondrial)	-3.0860534204704453	4.4164147038763035	16.638902015987828	1.875832460093809e-4	0.2409975753105521	StrainB6-GenotypeAPP-PS1	11
ENSMUSG00000081485	Gm12338	NA	NA	NA	-1.4929100977116516	6.1724672909343035	16.256368266771055	2.2356969886936883e-4	0.2553165961088192	StrainB6-GenotypeAPP-PS1	11
ENSMUSG00000045594	Glb1	Glb1	12091	galactosidase, beta 1	1.1881665973319508	6.599946080460535	15.28087792783932	3.1713060132711337e-4	0.3084608567486232	StrainB6-GenotypeAPP-PS1	11
