ENSMUSG	Orig_Symbol	Symbol	Entrezid	Genename	logFC	logCPM	F	PValue	FDR	coef	cluster
ENSMUSG00000017002	Slpi	Slpi	20568	secretory leukocyte peptidase inhibitor	-9.672462732783991	7.720359171998826	750.0266293915961	6.4284937218828885e-28	6.6072058473512326e-24	StrainWSB	11
ENSMUSG00000097554	Gm26825	NA	NA	NA	-11.084514862106795	7.099023104389196	550.6946543414593	3.634237803013008e-24	1.8676348069683848e-20	StrainWSB	11
ENSMUSG00000072692	Rpl37rt	Rpl37rt	100502825	ribosomal protein L37, retrotransposed	8.89111106085811	8.617938371587531	403.3446394715768	4.1096046157665844e-23	1.407950541361632e-19	StrainWSB	11
ENSMUSG00000027014	Cwc22	Cwc22	80744	CWC22 spliceosome-associated protein	5.6726100998710995	7.734546199960117	365.2694018964497	6.757941438557993e-23	1.7364530526374763e-19	StrainWSB	11
ENSMUSG00000064345	mt-Nd2	ND2	17717	NADH dehydrogenase subunit 2	3.6604031773447696	10.481274229901848	310.979019719598	1.54876813051193e-21	2.835089704634748e-18	StrainWSB	11
ENSMUSG00000019122	Ccl9	Ccl9	20308	chemokine (C-C motif) ligand 9	4.367989031486795	8.595750965046532	309.91038102389695	1.6550436104114116e-21	2.835089704634748e-18	StrainWSB	11
ENSMUSG00000073599	Ecscr	Ecscr	68545	endothelial cell surface expressed chemotaxis and apoptosis regulator	6.776036597982084	7.266184915564718	260.996576095587	4.377544126808767e-20	6.427485505048644e-17	StrainWSB	11
ENSMUSG00000027315	Spint1	Spint1	20732	serine protease inhibitor, Kunitz type 1	-10.412763331339294	5.862901170305478	329.35608882433155	1.163058882172573e-19	1.4942398988712132e-16	StrainWSB	11
ENSMUSG00000022671	Mzt2	Mzt2	72083	mitotic spindle organizing protein 2	-2.8854411257760986	7.713056411050532	238.9621906893699	2.283960230144033e-19	2.6082825828244856e-16	StrainWSB	11
ENSMUSG00000038400	Pmepa1	Pmepa1	65112	prostate transmembrane protein, androgen induced 1	2.792851119732023	10.044108516471074	237.2790073464509	2.6048515081497794e-19	2.6772663800763434e-16	StrainWSB	11
ENSMUSG00000054702	Ap1s3	Ap1s3	252903	adaptor-related protein complex AP-1, sigma 3	3.207480655810868	9.526703682392595	235.01159135211307	3.1134376105103793e-19	2.909082887347789e-16	StrainWSB	11
ENSMUSG00000030124	Lag3	Lag3	16768	lymphocyte-activation gene 3	7.197539620120293	6.971557745107551	227.29603983056688	5.776090363121929e-19	4.947221396013932e-16	StrainWSB	11
ENSMUSG00000064351	mt-Co1	COX1	17708	cytochrome c oxidase subunit I	-2.8348419679260264	10.878760986221613	224.98235061300957	6.97614240373738e-19	5.515445509662523e-16	StrainWSB	11
ENSMUSG00000027848	Olfml3	Olfml3	99543	olfactomedin-like 3	3.2679839125966748	10.687686213774947	225.12974560239948	8.915187819725673e-19	6.545021457938604e-16	StrainWSB	11
ENSMUSG00000018927	Ccl6	Ccl6	20305	chemokine (C-C motif) ligand 6	4.089295002203791	8.824482217130365	240.69753736777298	1.0600661127566134e-18	7.263573004608316e-16	StrainWSB	11
ENSMUSG00000026249	Serpine2	Serpine2	20720	serine (or cysteine) peptidase inhibitor, clade E, member 2	4.023263287136336	7.967559759262726	209.2926055712171	2.6241964894200168e-18	1.6857182198911832e-15	StrainWSB	11
ENSMUSG00000063328	Gm9396	NA	NA	NA	6.606547858453531	6.747782409956733	234.17486863359338	9.002215246248788e-18	5.442633429467356e-15	StrainWSB	11
ENSMUSG00000069892	9930111J21Rik2	9930111J21Rik2	245240	RIKEN cDNA 9930111J21 gene 2	4.017474392353766	7.12188364850468	194.70816746310254	9.703970663337957e-18	5.540967248765973e-15	StrainWSB	11
ENSMUSG00000043770	Gm12481	NA	NA	NA	6.818979931504397	7.721826290553273	217.25665191258196	1.0322882172393757e-17	5.584135945677001e-15	StrainWSB	11
ENSMUSG00000017707	Serinc3	Serinc3	26943	serine incorporator 3	2.2303763381313937	10.579482361961198	186.68869915677288	2.062141701092785e-17	1.0597346201915821e-14	StrainWSB	11
