ENSMUSG	Orig_Symbol	Symbol	Entrezid	Genename	logFC	logCPM	F	PValue	FDR	coef	cluster
ENSMUSG00000026249	Serpine2	Serpine2	20720	serine (or cysteine) peptidase inhibitor, clade E, member 2	-2.2881183149167645	8.61016739976725	31.99148591783273	9.801076672137764e-8	4.1048250923075727e-4	StrainCAST-GenotypeAPP-PS1	8
ENSMUSG00000048758	Rpl29	Rpl29	19944	ribosomal protein L29	5.368755091339283	6.769886295676878	37.245243896228466	1.4164337792641728e-7	4.1048250923075727e-4	StrainCAST-GenotypeAPP-PS1	8
ENSMUSG00000020077	Srgn	Srgn	19073	serglycin	1.966996467271453	8.32542444351563	22.361304812240387	7.028408652655576e-6	0.013578885516930574	StrainCAST-GenotypeAPP-PS1	8
ENSMUSG00000021360	Gcnt2	Gcnt2	14538	glucosaminyl (N-acetyl) transferase 2, I-branching enzyme	5.058457022900382	4.785231088620954	12.815333887532596	5.007437198428456e-4	0.5776339612047936	StrainCAST-GenotypeAPP-PS1	8
ENSMUSG00000032076	Cadm1	Cadm1	54725	cell adhesion molecule 1	1.6466138828225458	7.522870790765416	12.658082457031572	5.270576179896091e-4	0.5776339612047936	StrainCAST-GenotypeAPP-PS1	8
ENSMUSG00000041012	Cmtm8	Cmtm8	70031	CKLF-like MARVEL transmembrane domain containing 8	-2.8140707697271994	5.369333155409269	11.839271180432757	7.861189268669273e-4	0.5776339612047936	StrainCAST-GenotypeAPP-PS1	8
ENSMUSG00000048126	Col6a3	Col6a3	12835	collagen, type VI, alpha 3	-5.251669294294993	5.38550061942427	11.744409946600925	8.273473057725906e-4	0.5776339612047936	StrainCAST-GenotypeAPP-PS1	8
ENSMUSG00000105176	Gm43668	NA	NA	NA	2.2989397560290357	5.552151165964473	11.68728909056236	8.470474410585134e-4	0.5776339612047936	StrainCAST-GenotypeAPP-PS1	8
ENSMUSG00000064345	mt-Nd2	ND2	17717	NADH dehydrogenase subunit 2	-1.1084687305560654	11.454939619295331	11.61279294957852	8.969471447279403e-4	0.5776339612047936	StrainCAST-GenotypeAPP-PS1	8
ENSMUSG00000003882	Il7r	Il7r	16197	interleukin 7 receptor	-1.5708462444510913	7.432577793581682	11.21973703242032	0.0011420465048222514	0.6619301541949769	StrainCAST-GenotypeAPP-PS1	8
ENSMUSG00000043311	D17H6S53E	D17H6S53E	114585	DNA segment, Chr 17, human D6S53E	-2.7393557100017634	5.246054095945559	10.887748256380029	0.0012574573793512306	0.6625657246108847	StrainCAST-GenotypeAPP-PS1	8
ENSMUSG00000039615	Stub1	Stub1	56424	STIP1 homology and U-Box containing protein 1	-2.1527042990890655	5.775232296764589	10.532418136572607	0.0015008182769089883	0.7248952277470413	StrainCAST-GenotypeAPP-PS1	8
ENSMUSG00000081855	Rpl17-ps5	NA	NA	NA	1.792988508440134	6.897127374343307	11.139807697878592	0.0017223949415485001	0.7395350253046736	StrainCAST-GenotypeAPP-PS1	8
ENSMUSG00000028410	Dnaja1	Dnaja1	15502	DnaJ heat shock protein family (Hsp40) member A1	1.2508071314711724	7.6066163631701205	10.184330596226884	0.001786316486243173	0.7395350253046736	StrainCAST-GenotypeAPP-PS1	8
ENSMUSG00000051343	Rab11fip5	Rab11fip5	52055	RAB11 family interacting protein 5 (class I)	3.88382854926211	4.033653850069907	9.38278282372395	0.0026888048434180046	1	StrainCAST-GenotypeAPP-PS1	8
ENSMUSG00000093031	Gm22662	NA	NA	NA	-4.855040411630633	6.209897605026398	9.148385722355613	0.003023861399594994	1	StrainCAST-GenotypeAPP-PS1	8
ENSMUSG00000093445	Lrch4	Lrch4	231798	leucine-rich repeats and calponin homology (CH) domain containing 4	-2.423994555980949	5.346960946053614	8.837803111945412	0.003555637432190027	1	StrainCAST-GenotypeAPP-PS1	8
ENSMUSG00000071281	Zfp65	Zfp65	235907	zinc finger protein 65	-3.3510550591868964	4.705810431685647	8.334295410558775	0.004575995723694407	1	StrainCAST-GenotypeAPP-PS1	8
ENSMUSG00000087174	5530601H04Rik	5530601H04Rik	71445	RIKEN cDNA 5530601H04 gene	-1.913583002813406	5.634699670578092	8.22664513707937	0.004837583481806219	1	StrainCAST-GenotypeAPP-PS1	8
ENSMUSG00000101493	2810405F17Rik	NA	NA	NA	-2.783427900839319	5.015868666372659	7.970201925658886	0.00552486679538966	1	StrainCAST-GenotypeAPP-PS1	8
ENSMUSG00000002393	Nr2f6	Nr2f6	13864	nuclear receptor subfamily 2, group F, member 6	-2.267629647948499	5.1748630855233975	7.894112812631899	0.005747644496177909	1	StrainCAST-GenotypeAPP-PS1	8
ENSMUSG00000067575	Rpl35a-ps3	NA	NA	NA	1.8890416886258834	5.411387778884379	7.763271939028202	0.006152708306227124	1	StrainCAST-GenotypeAPP-PS1	8
ENSMUSG00000094664	Rpl35a-ps6	NA	NA	NA	1.8890416886258834	5.411387778884379	7.763271939028202	0.006152708306227124	1	StrainCAST-GenotypeAPP-PS1	8
ENSMUSG00000095526	Gm10243	NA	NA	NA	1.8890416886258834	5.411387778884379	7.763271939028202	0.006152708306227124	1	StrainCAST-GenotypeAPP-PS1	8
ENSMUSG00000083424	Rpl35a-ps4	NA	NA	NA	2.343800199060973	5.213519916712365	7.739931631733741	0.006228015992444691	1	StrainCAST-GenotypeAPP-PS1	8
ENSMUSG00000074342	I830077J02Rik	I830077J02Rik	433638	RIKEN cDNA I830077J02 gene	-1.925178483081236	5.924387562666935	7.726347256926947	0.0062722846227428256	1	StrainCAST-GenotypeAPP-PS1	8
ENSMUSG00000025534	Gusb	Gusb	110006	glucuronidase, beta	0.8771151385247558	8.627893339604931	7.6432611634627685	0.0065502270540374625	1	StrainCAST-GenotypeAPP-PS1	8
ENSMUSG00000045730	Adrb2	Adrb2	11555	adrenergic receptor, beta 2	-0.9648437644557338	8.32277122206165	7.619147935889145	0.006633255871830027	1	StrainCAST-GenotypeAPP-PS1	8
