ENSMUSG	Orig_Symbol	Symbol	Entrezid	Genename	logFC	logCPM	F	PValue	FDR	coef	cluster
ENSMUSG00000026249	Serpine2	Serpine2	20720	serine (or cysteine) peptidase inhibitor, clade E, member 2	1.3959683729501435	7.848881340130183	184.71627540873214	9.313812646360306e-14	1.5979708357360376e-9	GenotypeAPP-PS1	H
ENSMUSG00000001123	Lgals9	Lgals9	16859	lectin, galactose binding, soluble 9	1.1775702603990377	6.5052471668777025	97.50115064454482	1.4603899827553598e-10	1.2527955467066853e-6	GenotypeAPP-PS1	H
ENSMUSG00000024675	Ms4a4c	Ms4a4c	64380	membrane-spanning 4-domains, subfamily A, member 4C	2.5549061668285975	1.7063317844064931	87.99042855974375	4.400335295733219e-10	2.5165517556298276e-6	GenotypeAPP-PS1	H
ENSMUSG00000020407	Upp1	Upp1	22271	uridine phosphorylase 1	6.971295655920905	-1.2285769432426161	97.6353895261909	1.1269282707886353e-9	4.833677085480154e-6	GenotypeAPP-PS1	H
ENSMUSG00000079037	Prnp	Prnp	19122	prion protein	2.1884588655395754	2.8167343065479815	75.01125713495138	3.2343759699334936e-9	1.109843770322979e-5	GenotypeAPP-PS1	H
ENSMUSG00000018126	Baiap2l2	Baiap2l2	207495	BAI1-associated protein 2-like 2	6.143635995441893	-0.18755584034025594	74.6956954777292	6.310232857719461e-9	1.623590507261742e-5	GenotypeAPP-PS1	H
ENSMUSG00000025492	Ifitm3	Ifitm3	66141	interferon induced transmembrane protein 3	2.412499686694361	4.608981173840411	88.83765208268169	7.2375377014406615e-9	1.623590507261742e-5	GenotypeAPP-PS1	H
ENSMUSG00000073489	Ifi204	Ifi204	15951	interferon activated gene 204	2.670974875033514	2.899408577094793	70.2857026084594	8.830868626172025e-9	1.623590507261742e-5	GenotypeAPP-PS1	H
ENSMUSG00000029561	Oasl2	Oasl2	23962	2'-5' oligoadenylate synthetase-like 2	2.9994150334047243	2.1863917477809123	73.91425104593479	8.843952331783997e-9	1.623590507261742e-5	GenotypeAPP-PS1	H
ENSMUSG00000022303	Dcstamp	Dcstamp	75766	dendrocyte expressed seven transmembrane protein	5.098824350276885	1.0231357758499404	71.51951926619309	9.463137537225284e-9	1.623590507261742e-5	GenotypeAPP-PS1	H
ENSMUSG00000025351	Cd63	Cd63	12512	CD63 antigen	0.9149372035800304	7.908464740175452	63.83000972832543	1.1672858268003293e-8	1.8206475391284774e-5	GenotypeAPP-PS1	H
ENSMUSG00000023367	Tmem176a	Tmem176a	66058	transmembrane protein 176A	-1.0352860321902706	8.076193265080612	63.39437933937782	1.3880452582786235e-8	1.984557708023862e-5	GenotypeAPP-PS1	H
ENSMUSG00000068129	Cst7	Cst7	13011	cystatin F (leukocystatin)	3.6451452478260413	4.721877269919017	86.99594522370975	1.5642606295279057e-8	2.064463047754637e-5	GenotypeAPP-PS1	H
ENSMUSG00000041012	Cmtm8	Cmtm8	70031	CKLF-like MARVEL transmembrane domain containing 8	1.2476601446428817	5.062312032916272	63.44346078860812	2.190542619649787e-8	2.684509980380814e-5	GenotypeAPP-PS1	H
ENSMUSG00000062488	Ifit3b	Ifit3b	667370	interferon-induced protein with tetratricopeptide repeats 3B	2.3504146243976005	1.47153601904662	58.95230779294394	2.6253769264593525e-8	3.0029061284842073e-5	GenotypeAPP-PS1	H
ENSMUSG00000034459	Ifit1	Ifit1	15957	interferon-induced protein with tetratricopeptide repeats 1	2.549721841682122	1.2686526490242314	57.91185692647129	2.9824116618603706e-8	3.1980773051586485e-5	GenotypeAPP-PS1	H
ENSMUSG00000041827	Oasl1	Oasl1	231655	2'-5' oligoadenylate synthetase-like 1	2.957500614776572	-0.6110154398125998	61.71040872610857	3.626060860691817e-8	3.659548599228794e-5	GenotypeAPP-PS1	H
ENSMUSG00000023341	Mx2	Mx2	17858	MX dynamin-like GTPase 2	1.2232200333656746	4.075871476215065	53.56312384958097	7.724429097266348e-8	7.362668334544374e-5	GenotypeAPP-PS1	H
ENSMUSG00000026347	Tmem163	Tmem163	72160	transmembrane protein 163	2.978088078186014	-0.6159894220687732	51.9151573214666	8.277054193574923e-8	7.474179936798155e-5	GenotypeAPP-PS1	H
ENSMUSG00000000386	Mx1	Mx1	17857	MX dynamin-like GTPase 1	1.253963589344308	3.1451843546560143	48.9977136073243	1.3999022282524335e-7	1.2009061265063501e-4	GenotypeAPP-PS1	H
ENSMUSG00000033880	Lgals3bp	Lgals3bp	19039	lectin, galactoside-binding, soluble, 3 binding protein	2.2409762997592124	6.0766892043002265	63.09632779874372	2.0078104682004932e-7	1.640381152519803e-4	GenotypeAPP-PS1	H
ENSMUSG00000066456	Hmgn3	Hmgn3	94353	high mobility group nucleosomal binding domain 3	4.850731140402111	4.13402430684032	61.40351517176586	2.1989754458313492e-7	1.7149009874603845e-4	GenotypeAPP-PS1	H
ENSMUSG00000015852	Fcrls	Fcrls	80891	Fc receptor-like S, scavenger receptor	1.0631603855669847	10.386802546829411	49.20350675846363	2.3263232017988172e-7	1.7353359640548828e-4	GenotypeAPP-PS1	H
ENSMUSG00000030921	Trim30a	Trim30a	20128	tripartite motif-containing 30A	0.5553985315853249	6.478987258722225	43.38205214138064	4.089737099322759e-7	2.9236508088783576e-4	GenotypeAPP-PS1	H
ENSMUSG00000030107	Usp18	Usp18	24110	ubiquitin specific peptidase 18	2.1674404099323414	2.062353861166193	44.791276041996085	4.5274904864696754e-7	3.1071261710544085e-4	GenotypeAPP-PS1	H
ENSMUSG00000052776	Oas1a	Oas1a	246730	2'-5' oligoadenylate synthetase 1A	3.7616063714957253	1.8179534317572132	47.97366395871291	6.526348926187254e-7	4.3066372510228737e-4	GenotypeAPP-PS1	H
ENSMUSG00000078922	Tgtp1	Tgtp1	21822	T cell specific GTPase 1	3.806025644147621	-0.8614495221908901	42.64691930778467	8.264824665850332e-7	5.251836918222006e-4	GenotypeAPP-PS1	H
ENSMUSG00000105814	Mir703	Mir703	735265	microRNA 703	8.35078281465407	4.678120517331715	51.562522936298265	1.0059534614114556e-6	6.080672947804578e-4	GenotypeAPP-PS1	H
ENSMUSG00000052749	Trim30b	Trim30b	244183	tripartite motif-containing 30B	1.6595625654515478	1.7807727176285373	38.8948742279485	1.0277992392978537e-6	6.080672947804578e-4	GenotypeAPP-PS1	H
ENSMUSG00000032231	Anxa2	Anxa2	12306	annexin A2	3.9590652265291837	0.18135899402627503	38.53844831337165	1.1088889268454909e-6	6.341735772629362e-4	GenotypeAPP-PS1	H
ENSMUSG00000026104	Stat1	Stat1	20846	signal transducer and activator of transcription 1	0.7391270542517387	5.6261270733446445	38.29248772508584	1.1688376663282344e-6	6.468950916514038e-4	GenotypeAPP-PS1	H
ENSMUSG00000018927	Ccl6	Ccl6	20305	chemokine (C-C motif) ligand 6	0.7575819845803304	8.35844269685835	37.36819526521925	1.4756277115963971e-6	7.911670202456058e-4	GenotypeAPP-PS1	H
ENSMUSG00000025498	Irf7	Irf7	54123	interferon regulatory factor 7	2.5712766651260885	2.3069563030431905	42.5429008866754	1.7439366040684406e-6	9.066884944243101e-4	GenotypeAPP-PS1	H
ENSMUSG00000031765	Mt1	Mt1	17748	metallothionein 1	2.7856974269275416	6.134306930771205	47.15909131259983	1.8150070446720627e-6	9.158845842776053e-4	GenotypeAPP-PS1	H
ENSMUSG00000108608	RP23-412J12.1	NA	NA	NA	5.9336489692423875	1.4627583454282747	44.638511643470984	2.1279860214939094e-6	0.0010431387477363144	GenotypeAPP-PS1	H
ENSMUSG00000056290	Ms4a4b	Ms4a4b	60361	membrane-spanning 4-domains, subfamily A, member 4B	3.1360705437799665	0.3244160952150492	34.71446554670185	2.5751238074207642e-6	0.0012272610878866126	GenotypeAPP-PS1	H
