ENSMUSG	Orig_Symbol	Symbol	Entrezid	Genename	logFC	logCPM	F	PValue	FDR	coef	cluster
ENSMUSG00000048758	Rpl29	Rpl29	19944	ribosomal protein L29	6.917791167576424	9.1214766393264	690.1715830547325	1.367225396677301e-18	2.3457486130792453e-14	StrainCAST-GenotypeAPP-PS1	H
ENSMUSG00000026249	Serpine2	Serpine2	20720	serine (or cysteine) peptidase inhibitor, clade E, member 2	-1.3231473810587457	7.848881340130183	91.60496649821174	2.863462564156738e-10	2.4564213606618574e-6	StrainCAST-GenotypeAPP-PS1	H
ENSMUSG00000023367	Tmem176a	Tmem176a	66058	transmembrane protein 176A	1.353770600507936	8.076193265080612	60.39675494127486	2.2090288632340433e-8	1.2633436068835494e-4	StrainCAST-GenotypeAPP-PS1	H
ENSMUSG00000001123	Lgals9	Lgals9	16859	lectin, galactose binding, soluble 9	-1.1719136292107204	6.5052471668777025	56.239485783357914	3.9347630715400656e-8	1.6877182504603227e-4	StrainCAST-GenotypeAPP-PS1	H
ENSMUSG00000020077	Srgn	Srgn	19073	serglycin	1.0974236326540057	7.666407139391723	38.18056858013841	1.4593719390778744e-6	0.005007688871751818	StrainCAST-GenotypeAPP-PS1	H
ENSMUSG00000029810	Tmem176b	Tmem176b	65963	transmembrane protein 176B	1.0704772378694665	8.682766667104307	33.66421806474964	3.8899364233238515e-6	0.011123273202494554	StrainCAST-GenotypeAPP-PS1	H
ENSMUSG00000032691	Nlrp3	Nlrp3	216799	NLR family, pyrin domain containing 3	-1.3543782111942555	5.679072286736505	34.75267093540221	5.2457640050820356e-6	0.012857367576456068	StrainCAST-GenotypeAPP-PS1	H
ENSMUSG00000036617	Etl4	Etl4	208618	enhancer trap locus 4	4.536903344341606	0.9354198997857722	30.163284649441966	7.5530035414971156e-6	0.015669034860124536	StrainCAST-GenotypeAPP-PS1	H
ENSMUSG00000030921	Trim30a	Trim30a	20128	tripartite motif-containing 30A	-0.642294939710252	6.478987258722225	29.82073091811437	8.219462245213081e-6	0.015669034860124536	StrainCAST-GenotypeAPP-PS1	H
ENSMUSG00000066456	Hmgn3	Hmgn3	94353	high mobility group nucleosomal binding domain 3	-4.4288183734935975	4.13402430684032	35.55480271193777	9.516228279389435e-6	0.016326992858948456	StrainCAST-GenotypeAPP-PS1	H
ENSMUSG00000031765	Mt1	Mt1	17748	metallothionein 1	-3.1810332014842677	6.134306930771205	33.6043706727356	1.593177812839948e-5	0.023429553420658254	StrainCAST-GenotypeAPP-PS1	H
ENSMUSG00000041012	Cmtm8	Cmtm8	70031	CKLF-like MARVEL transmembrane domain containing 8	-1.121696767797399	5.062312032916272	28.02425715063256	1.6387167980876554e-5	0.023429553420658254	StrainCAST-GenotypeAPP-PS1	H
ENSMUSG00000023067	Cdkn1a	Cdkn1a	12575	cyclin-dependent kinase inhibitor 1A (P21)	-2.034432548586291	4.3218642388107815	28.482389471970603	2.719865646107037e-5	0.03589594991558341	StrainCAST-GenotypeAPP-PS1	H
