ENSMUSG	Orig_Symbol	Symbol	Entrezid	Genename	logFC	logCPM	F	PValue	FDR	coef	cluster
ENSMUSG00000073599	Ecscr	Ecscr	68545	endothelial cell surface expressed chemotaxis and apoptosis regulator	7.434652794820604	7.891313950648994	5532.213642132774	2.2381384210639324e-33	3.839974089019389e-29	StrainWSB	H
ENSMUSG00000035686	Thrsp	Thrsp	21835	thyroid hormone responsive	5.884135875385365	6.627564979922893	3020.840404207063	9.0488120648343e-30	7.762523429818105e-26	StrainWSB	H
ENSMUSG00000027669	Gnb4	Gnb4	14696	guanine nucleotide binding protein (G protein), beta 4	-6.715485788033876	6.0396614607121215	2635.3808777407917	5.861651914450006e-29	3.3522787298739582e-25	StrainWSB	H
ENSMUSG00000029915	Clec5a	Clec5a	23845	C-type lectin domain family 5, member a	4.131946589324645	6.449006649138321	2179.8373449389383	7.838219427918381e-28	3.3620082681198914e-24	StrainWSB	H
ENSMUSG00000079110	Capn3	Capn3	12335	calpain 3	-5.08663744697944	6.0237140831618214	2060.502073285682	1.6898426037985392e-27	5.798525910674307e-24	StrainWSB	H
ENSMUSG00000032878	Ccdc85a	Ccdc85a	216613	coiled-coil domain containing 85A	-11.551652931282117	4.827582151103235	1872.686404353962	6.218085780909072e-27	1.778061629050949e-23	StrainWSB	H
ENSMUSG00000024044	Epb41l3	Epb41l3	13823	erythrocyte membrane protein band 4.1 like 3	-5.779640235573587	4.6827840446368825	1807.9029827246554	1.0043652494400352e-26	2.4616992263775264e-23	StrainWSB	H
ENSMUSG00000022671	Mzt2	Mzt2	72083	mitotic spindle organizing protein 2	-2.9894056236574036	7.888881748647693	1771.9857623543044	1.319875943364917e-26	2.8306389450389854e-23	StrainWSB	H
ENSMUSG00000093190	Gm22875	NA	NA	NA	-8.385929647647153	3.741403400071617	1678.1467412588806	2.7672464775493524e-26	5.275294201701582e-23	StrainWSB	H
ENSMUSG00000025576	Rbfox3	Rbfox3	52897	RNA binding protein, fox-1 homolog (C. elegans) 3	-9.88298225096013	5.13719283055317	1632.1515385833666	4.0379475018723397e-26	6.927906528962374e-23	StrainWSB	H
ENSMUSG00000103653	Gm3934	NA	NA	NA	11.606750122699983	5.899956087383863	2060.339652963929	5.123375941973855e-26	7.991069185131403e-23	StrainWSB	H
ENSMUSG00000022332	Khdrbs3	Khdrbs3	13992	KH domain containing, RNA binding, signal transduction associated 3	8.167422810576323	5.8592733850255945	1608.2980190386786	9.325409753059418e-26	1.2710884005096214e-22	StrainWSB	H
ENSMUSG00000047963	Stbd1	Stbd1	52331	starch binding domain 1	-7.023563191090563	5.325801283438893	1632.1222806260705	9.631141345587853e-26	1.2710884005096214e-22	StrainWSB	H
ENSMUSG00000017002	Slpi	Slpi	20568	secretory leukocyte peptidase inhibitor	-13.753094525948022	7.69793466875782	2386.931875743594	1.3073977044340898e-25	1.602215886783977e-22	StrainWSB	H
ENSMUSG00000027014	Cwc22	Cwc22	80744	CWC22 spliceosome-associated protein	5.539850153987215	7.992717479624555	1536.886531984597	1.4538146815032981e-25	1.6628732327034724e-22	StrainWSB	H
ENSMUSG00000032717	Mdfi	Mdfi	17240	MyoD family inhibitor	11.748762915468376	4.739987983300475	1473.3383726320133	1.621900246983485e-25	1.6747851198782126e-22	StrainWSB	H
ENSMUSG00000093249	Gm24576	NA	NA	NA	-8.013825419916325	4.527914584860638	1470.8549628835763	1.6594595231059983e-25	1.6747851198782126e-22	StrainWSB	H
ENSMUSG00000030124	Lag3	Lag3	16768	lymphocyte-activation gene 3	6.945512522092328	7.368576414036776	1677.830397514106	2.5108924085125333e-25	2.3932989473805295e-22	StrainWSB	H
ENSMUSG00000029207	Apbb2	Apbb2	11787	amyloid beta (A4) precursor protein-binding, family B, member 2	6.0941861832163156	4.944231062035648	1408.6856336679766	2.9812008301548364e-25	2.6920243496298173e-22	StrainWSB	H
ENSMUSG00000042249	Adrbk2	Grk3	320129	G protein-coupled receptor kinase 3	4.802676107673572	4.836707172990603	1382.2539279257326	3.8540524268267747e-25	3.306198874353349e-22	StrainWSB	H
ENSMUSG00000062609	Kcnj15	Kcnj15	16516	potassium inwardly-rectifying channel, subfamily J, member 15	7.058244916042131	4.9904833784426685	1868.8860587391998	9.51348202760906e-25	7.772514816556603e-22	StrainWSB	H
ENSMUSG00000100783	2310047D07Rik	NA	NA	NA	-4.968586703393107	4.310305550844045	1268.3548608921478	1.2351845481150422e-24	9.201527618488279e-22	StrainWSB	H
ENSMUSG00000038763	Alpk3	Alpk3	116904	alpha-kinase 3	11.747344183579697	5.103614989732696	1708.9901502139553	1.2532202078250783e-24	9.201527618488279e-22	StrainWSB	H
ENSMUSG00000069892	9930111J21Rik2	9930111J21Rik2	245240	RIKEN cDNA 9930111J21 gene 2	4.461565663270771	7.327203302854307	1260.866642895553	1.3382240052784187e-24	9.201527618488279e-22	StrainWSB	H
ENSMUSG00000028871	Rspo1	Rspo1	192199	R-spondin 1	8.466550572649114	4.253705312482321	1260.6886069354732	1.340783298141907e-24	9.201527618488279e-22	StrainWSB	H
ENSMUSG00000027315	Spint1	Spint1	20732	serine protease inhibitor, Kunitz type 1	-11.338775936020728	6.332405737405076	2101.3417245923356	1.6120140671782816e-24	1.06374328271453e-21	StrainWSB	H
ENSMUSG00000002104	Rapsn	Rapsn	19400	receptor-associated protein of the synapse	7.599304050599534	4.3468011008478875	1218.2914602074607	2.1296131971764838e-24	1.3532508749613678e-21	StrainWSB	H
