ENSMUSG	Orig_Symbol	Symbol	Entrezid	Genename	logFC	logCPM	F	PValue	FDR	coef	cluster
ENSMUSG00000027014	Cwc22	Cwc22	80744	CWC22 spliceosome-associated protein	-4.81214978136359	7.734546199951901	442.1842276388365	1.5300458843793426e-24	1.5725811599650882e-20	StrainB6	11
ENSMUSG00000063328	Gm9396	NA	NA	NA	-7.54349348614678	6.747782409954238	369.57273503523004	4.275130393711005e-21	2.196989509328085e-17	StrainB6	11
ENSMUSG00000030246	Ldhb	Ldhb	16832	lactate dehydrogenase B	3.142783508896039	8.456798826986512	234.45855588062045	3.252583170299226e-19	1.1143349941445149e-15	StrainB6	11
ENSMUSG00000019122	Ccl9	Ccl9	20308	chemokine (C-C motif) ligand 9	-2.427198707556455	8.595750965058494	182.2933939826984	3.1523739751641063e-17	6.84288686733462e-14	StrainB6	11
ENSMUSG00000026473	Glul	Glul	14645	glutamate-ammonia ligase (glutamine synthetase)	-2.1748018298644176	9.511435131897679	181.73526290072414	3.328900013297636e-17	6.84288686733462e-14	StrainB6	11
ENSMUSG00000018927	Ccl6	Ccl6	20305	chemokine (C-C motif) ligand 6	-2.873566673106378	8.824482217146105	193.99420461369158	4.34622053252488e-17	7.445075772215119e-14	StrainB6	11
ENSMUSG00000027199	Gatm	Gatm	67092	glycine amidinotransferase (L-arginine:glycine amidinotransferase)	-2.4432827317468213	9.152245753522275	177.3386687951143	5.137939672349408e-17	7.54396342177246e-14	StrainB6	11
ENSMUSG00000058126	Tpm3-rs7	NA	NA	NA	-5.04607297176213	6.2548015015190614	174.35306502105075	6.933432219150969e-17	8.907727043554207e-14	StrainB6	11
ENSMUSG00000037443	Cep85	Cep85	70012	centrosomal protein 85	5.164546930222406	8.204509971946361	310.4608932055952	9.435633894552141e-17	1.0621281010568943e-13	StrainB6	11
ENSMUSG00000038900	Rpl12	Rpl12	269261	ribosomal protein L12	-3.5233877186391793	8.334873912365223	201.46619866936186	1.0333995923884943e-16	1.0621281010568943e-13	StrainB6	11
ENSMUSG00000027315	Spint1	Spint1	20732	serine protease inhibitor, Kunitz type 1	8.94721875364596	5.8629011702358715	176.28580770158814	2.0599733510383808e-15	1.9247641910884072e-12	StrainB6	11
ENSMUSG00000069682	Gm10275	NA	NA	NA	7.412901332777121	9.318110346751537	333.5119397607486	3.707759688793333e-15	2.9309024122547027e-12	StrainB6	11
ENSMUSG00000105263	Gm42427	NA	NA	NA	-2.973427207951913	8.144011546125055	141.75184575378952	3.771217193459491e-15	2.9309024122547027e-12	StrainB6	11
ENSMUSG00000106173	Gm42764	NA	NA	NA	-5.169553706736255	5.108133746783508	137.74270411059166	3.992278047437813e-15	2.9309024122547027e-12	StrainB6	11
ENSMUSG00000059751	Rps3a3	NA	NA	NA	-9.366258853345421	8.436216931460477	314.3543217436164	6.576783867277141e-15	4.5064123058582976e-12	StrainB6	11
ENSMUSG00000044103	Il1f9	Il1f9	215257	interleukin 1 family, member 9	-4.794318951746201	5.213585817719463	131.0469071778147	4.103805300790968e-14	2.6361819300955982e-11	StrainB6	11
ENSMUSG00000105987	AI506816	AI506816	433855	expressed sequence AI506816	4.166605324632725	5.7265369544312215	118.68648211848988	4.624958773464096e-14	2.7961956631567046e-11	StrainB6	11
ENSMUSG00000097705	Gm26740	NA	NA	NA	9.471155478561855	4.788309408937447	179.38020756172122	6.449620868243101e-14	3.682733515766811e-11	StrainB6	11
ENSMUSG00000082475	Gm7206	NA	NA	NA	6.210024304708318	7.850367915069239	199.43772414852805	1.165052681578574e-13	6.302321821718201e-11	StrainB6	11
ENSMUSG00000083282	Ctsf	Ctsf	56464	cathepsin F	-1.5958745326424726	8.127636782521707	104.4729873673594	3.501030284614876e-13	1.7991794632635848e-10	StrainB6	11
ENSMUSG00000100627	A830008E24Rik	NA	NA	NA	4.998158472819089	4.509460817639944	100.6281604984041	6.261442455371476e-13	3.064528836014668e-10	StrainB6	11
ENSMUSG00000062609	Kcnj15	Kcnj15	16516	potassium inwardly-rectifying channel, subfamily J, member 15	-8.833858435293916	5.170357434554417	114.61529113527514	7.714057617706997e-13	3.6038674633996596e-10	StrainB6	11
ENSMUSG00000003418	St8sia6	St8sia6	241230	ST8 alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 6	-2.6668287693412625	6.301319289512308	96.6283834321461	1.1658845590456012e-12	5.209983259943777e-10	StrainB6	11
ENSMUSG00000022665	Ccdc80	Ccdc80	67896	coiled-coil domain containing 80	-8.456453139321134	4.177912685831997	94.10267684702079	3.6683706037383054e-12	1.5709797110509293e-9	StrainB6	11
ENSMUSG00000073489	Ifi204	Ifi204	15951	interferon activated gene 204	5.728466314143482	4.595881356888026	87.36251404787863	5.803286899304356e-12	2.385847310042007e-9	StrainB6	11
ENSMUSG00000024677	Ms4a6b	Ms4a6b	69774	membrane-spanning 4-domains, subfamily A, member 6B	2.229538214907506	6.562491646361399	83.62283218845339	1.004001661257548e-11	3.872001537287611e-9	StrainB6	11
ENSMUSG00000029163	Emilin1	Emilin1	100952	elastin microfibril interfacer 1	-4.1308934806784166	4.439340980673963	86.15634584104515	1.017163275994994e-11	3.872001537287611e-9	StrainB6	11
ENSMUSG00000020841	Cpd	Cpd	12874	carboxypeptidase D	-1.8468048361777092	7.0403726757504	83.20917643726638	1.0790541621755664e-11	3.960899528157311e-9	StrainB6	11
ENSMUSG00000036896	C1qc	C1qc	12262	complement component 1, q subcomponent, C chain	1.3610509226303387	11.789346030674217	82.89341109075019	1.1402832090147276e-11	4.041320973190817e-9	StrainB6	11
ENSMUSG00000027611	Procr	Procr	19124	protein C receptor, endothelial	-4.141660614973799	4.802184270963665	77.90567924768429	2.7790695559213084e-11	9.521092298586404e-9	StrainB6	11
ENSMUSG00000079110	Capn3	Capn3	12335	calpain 3	3.9572170473241117	5.851848775437618	83.44202455336465	3.2023182191969044e-11	1.0554836227886747e-8	StrainB6	11
ENSMUSG00000042770	Hebp1	Hebp1	15199	heme binding protein 1	-1.8229143987155165	6.979636498099487	76.98978793945754	3.2861914700561966e-11	1.0554836227886747e-8	StrainB6	11
ENSMUSG00000025810	Nrp1	Nrp1	18186	neuropilin 1	2.5139876164771713	6.457401591902087	89.44850942398777	3.5383061989615395e-11	1.0916546305637992e-8	StrainB6	11
ENSMUSG00000038034	Igsf8	Igsf8	140559	immunoglobulin superfamily, member 8	-1.6546659309133418	6.91836986040199	76.47748040920672	3.6112334538985377e-11	1.0916546305637992e-8	StrainB6	11
ENSMUSG00000027175	Tcp11l1	Tcp11l1	320554	t-complex 11 like 1	-2.993253924733442	4.700279264715498	73.8473407302633	5.89917557503469e-11	1.7323350445773298e-8	StrainB6	11
ENSMUSG00000049436	Upk1b	Upk1b	22268	uroplakin 1B	4.250974720605301	4.7248872544110245	73.82714169499312	6.372695248745298e-11	1.8194044935167825e-8	StrainB6	11
ENSMUSG00000054942	Fam73a	Miga1	215708	mitoguardin 1	-2.002548434034072	8.285203857040933	88.16411335475642	8.172001398727297e-11	2.2700494696248424e-8	StrainB6	11
ENSMUSG00000015852	Fcrls	Fcrls	80891	Fc receptor-like S, scavenger receptor	2.2638380263338376	10.37357839973816	100.14678914807199	8.825289014343649e-11	2.3343673295879695e-8	StrainB6	11
ENSMUSG00000097582	Gm26527	NA	NA	NA	-1.382675472785165	7.832847102009447	71.71328001820311	8.857786130952599e-11	2.3343673295879695e-8	StrainB6	11
ENSMUSG00000056888	Glipr1	Glipr1	73690	GLI pathogenesis-related 1 (glioma)	-1.6278493867384884	6.6510482723471	71.48453038887662	9.256456712881426e-11	2.3784465523748823e-8	StrainB6	11
ENSMUSG00000082035	Rpl17-ps8	Rpl17-ps8	102632403	ribosomal protein L17, pseudogene 8	-8.61259175352814	8.019384917680153	194.23831041716704	1.383229786897083e-10	3.4675209145678584e-8	StrainB6	11
ENSMUSG00000025938	Slco5a1	Slco5a1	240726	solute carrier organic anion transporter family, member 5A1	-8.293519384635028	3.7917418462242813	87.0169539908498	1.7068399762874924e-10	4.176881256257821e-8	StrainB6	11
ENSMUSG00000039126	Prune2	Prune2	353211	prune homolog 2	3.455770725730026	4.363111924215206	67.40193624329673	2.0622767032798146e-10	4.9293209200720776e-8	StrainB6	11
ENSMUSG00000031851	Ntpcr	Ntpcr	66566	nucleoside-triphosphatase, cancer-related	1.7483260674644883	6.463292997710184	66.72494692378623	2.362083689405855e-10	5.5176127635712224e-8	StrainB6	11
ENSMUSG00000079139	Gm4204	NA	NA	NA	3.231464467515102	5.084509380563881	65.95543188759365	2.7589881443478267e-10	6.301528921690436e-8	StrainB6	11
ENSMUSG00000074361	C5ar2	C5ar2	319430	complement component 5a receptor 2	3.4517595166442843	4.92637782866845	65.58500027222749	2.9743620784133517e-10	6.645759443898354e-8	StrainB6	11
ENSMUSG00000032014	Oaf	Oaf	102644	out at first homolog	-2.2199105666130836	5.87178203862282	65.03728531232012	3.3255879111734903e-10	7.272423947030028e-8	StrainB6	11
ENSMUSG00000058603	Rpl28-ps1	NA	NA	NA	11.820424261010709	7.817369018070441	176.4733901569015	3.7984923612978953e-10	8.133521768629119e-8	StrainB6	11
ENSMUSG00000028391	Wdr31	Wdr31	71354	WD repeat domain 31	1.857630603849606	7.930150932108317	63.837811013904066	4.651664398047437e-10	9.757103404720725e-8	StrainB6	11
