ENSMUSG	Orig_Symbol	Symbol	Entrezid	Genename	logFC	logCPM	F	PValue	FDR	coef	cluster
ENSMUSG00000053318	Slamf8	Slamf8	74748	SLAM family member 8	-1.387189322707338	6.252514852350225	34.93337087852867	1.4728556268088856e-7	0.001559606823227929	StrainB6-GenotypeAPP-PS1	7
ENSMUSG00000028792	Ak2	Ak2	11637	adenylate kinase 2	-1.057799053638675	6.1557144397394	16.246906761349596	1.5135485899260803e-4	0.5039590583418192	StrainB6-GenotypeAPP-PS1	7
ENSMUSG00000028270	Gbp2	Gbp2	14469	guanylate binding protein 2	-1.4891997164585589	5.227511041038864	15.859477467367807	1.7816946871038503e-4	0.5039590583418192	StrainB6-GenotypeAPP-PS1	7
ENSMUSG00000073409	H2-Q6	H2-Q6	110557	histocompatibility 2, Q region locus 6	-1.9140617795134556	5.345337465503278	16.28984739679854	2.25842065667439e-4	0.5039590583418192	StrainB6-GenotypeAPP-PS1	7
ENSMUSG00000064281	Rpl19-ps1	NA	NA	NA	5.135294120291171	3.001695160963542	15.333827955798155	2.3796348018784549e-4	0.5039590583418192	StrainB6-GenotypeAPP-PS1	7
ENSMUSG00000018927	Ccl6	Ccl6	20305	chemokine (C-C motif) ligand 6	1.059323545862042	8.375541355742344	16.359246716381513	4.6231240014726644e-4	0.815904334193234	StrainB6-GenotypeAPP-PS1	7
ENSMUSG00000021500	Ddx46	Ddx46	212880	DEAD (Asp-Glu-Ala-Asp) box polypeptide 46	-1.0426820934390328	6.274257246044505	13.173245391399128	5.679305583347809e-4	0.8175256252662977	StrainB6-GenotypeAPP-PS1	7
ENSMUSG00000021831	Ero1l	Ero1l	50527	ERO1-like (S. cerevisiae)	2.037142232936428	4.2745534834851835	12.983416904881508	6.176414205430524e-4	0.8175256252662977	StrainB6-GenotypeAPP-PS1	7
ENSMUSG00000041491	Cep78	Cep78	208518	centrosomal protein 78	4.527617841128048	2.850164714276789	12.335968786781516	8.240301373832881e-4	0.9695172360835154	StrainB6-GenotypeAPP-PS1	7
ENSMUSG00000026019	Wdr12	Wdr12	57750	WD repeat domain 12	-1.1375871231057906	5.752784722769961	11.905490166884187	9.999939573363365e-4	0.9897313063066092	StrainB6-GenotypeAPP-PS1	7
ENSMUSG00000060183	Cxcl11	Cxcl11	56066	chemokine (C-X-C motif) ligand 11	-6.497194507525206	4.205881825189916	15.192310594688871	0.0010281466020750497	0.9897313063066092	StrainB6-GenotypeAPP-PS1	7
ENSMUSG00000040859	Bsdc1	Bsdc1	100383	BSD domain containing 1	1.2747864535811435	4.9007518536734205	11.488782947828234	0.0012078049371381566	1	StrainB6-GenotypeAPP-PS1	7
ENSMUSG00000102685	Gm37373	NA	NA	NA	3.4593125481621065	2.930002460021801	10.511614048573191	0.0018916451913219333	1	StrainB6-GenotypeAPP-PS1	7
