ENSMUSG	Orig_Symbol	Symbol	Entrezid	Genename	logFC	logCPM	F	PValue	FDR	coef	cluster
ENSMUSG00000048758	Rpl29	Rpl29	19944	ribosomal protein L29	6.4646740710494806	9.255068330487433	382.9192385312725	1.3095761626869367e-22	1.3867101986691973e-18	StrainCAST-GenotypeAPP-PS1	7
ENSMUSG00000030579	Tyrobp	Tyrobp	22177	TYRO protein tyrosine kinase binding protein	1.138958887199067	11.723461976160397	55.74658582500211	2.9337404299902954e-10	1.5532688706583618e-6	StrainCAST-GenotypeAPP-PS1	7
ENSMUSG00000016494	Cd34	Cd34	12490	CD34 antigen	1.6057242690465456	7.672750073644268	46.170552693750906	4.396162256050864e-9	1.5516987376440864e-5	StrainCAST-GenotypeAPP-PS1	7
ENSMUSG00000057666	Gapdh	Gapdh	14433	glyceraldehyde-3-phosphate dehydrogenase	1.287466066172059	9.186637764272229	44.48544048515283	9.432074532448582e-9	2.496905930602451e-5	StrainCAST-GenotypeAPP-PS1	7
ENSMUSG00000020077	Srgn	Srgn	19073	serglycin	1.6366938652396035	7.99000248234777	47.31082729318727	1.3011394083549108e-8	2.7555530390140302e-5	StrainCAST-GenotypeAPP-PS1	7
ENSMUSG00000025498	Irf7	Irf7	54123	interferon regulatory factor 7	2.1013248319241837	7.090076199880097	45.05342505635881	1.7567270947694006e-8	3.1003305344188635e-5	StrainCAST-GenotypeAPP-PS1	7
ENSMUSG00000027698	Nceh1	Nceh1	320024	neutral cholesterol ester hydrolase 1	2.7008509875453197	5.480433325599471	40.928229877979994	2.1525923473231536e-8	3.256257195114982e-5	StrainCAST-GenotypeAPP-PS1	7
ENSMUSG00000057841	Rpl32	Rpl32	19951	ribosomal protein L32	0.9646115254269703	10.538191864559499	36.44160667536121	8.975218631526923e-8	1.1879823761154823e-4	StrainCAST-GenotypeAPP-PS1	7
ENSMUSG00000041736	Tspo	Tspo	12257	translocator protein	1.9260426450538255	7.652112679296849	43.479806530337264	2.1914213724150515e-7	2.578328990278109e-4	StrainCAST-GenotypeAPP-PS1	7
ENSMUSG00000037742	Eef1a1	Eef1a1	13627	eukaryotic translation elongation factor 1 alpha 1	0.8407459582161341	11.62312436772916	32.67240387515101	3.142919193597215e-7	3.3280371341000913e-4	StrainCAST-GenotypeAPP-PS1	7
