ENSMUSG	Orig_Symbol	Symbol	Entrezid	Genename	logFC	logCPM	F	PValue	FDR	coef	cluster
ENSMUSG00000067288	Rps28	Rps28	54127	ribosomal protein S28	1.1438418052835215	9.981980038288661	19.960767262717948	4.34225266841587e-5	0.12274660600051439	StrainPWK-GenotypeAPP-PS1	9
ENSMUSG00000023341	Mx2	Mx2	17858	MX dynamin-like GTPase 2	6.057980492444616	4.807470004430203	18.655458607967272	7.697943582136787e-5	0.12274660600051439	StrainPWK-GenotypeAPP-PS1	9
ENSMUSG00000018927	Ccl6	Ccl6	20305	chemokine (C-C motif) ligand 6	1.3518042536329673	9.134503200161495	18.242841677398577	9.391477123222218e-5	0.12274660600051439	StrainPWK-GenotypeAPP-PS1	9
ENSMUSG00000031613	Hpgd	Hpgd	15446	hydroxyprostaglandin dehydrogenase 15 (NAD)	1.1392707489935878	8.152490420787366	16.691069262267852	1.5555293480300702e-4	0.15248076434064764	StrainPWK-GenotypeAPP-PS1	9
ENSMUSG00000105814	Mir703	Mir703	735265	microRNA 703	3.7684982104032474	5.7508269684312605	15.540639236404614	2.585585105317576e-4	0.20276158395900432	StrainPWK-GenotypeAPP-PS1	9
ENSMUSG00000025492	Ifitm3	Ifitm3	66141	interferon induced transmembrane protein 3	3.9545039014749106	6.19095100773343	18.152437784014502	3.4479254091000257e-4	0.22532192548468669	StrainPWK-GenotypeAPP-PS1	9
ENSMUSG00000026249	Serpine2	Serpine2	20720	serine (or cysteine) peptidase inhibitor, clade E, member 2	1.2306071779496282	7.629788379571374	13.804547453076792	4.996834405212535e-4	0.27720663597533163	StrainPWK-GenotypeAPP-PS1	9
ENSMUSG00000033880	Lgals3bp	Lgals3bp	19039	lectin, galactoside-binding, soluble, 3 binding protein	2.328051334794014	6.038021990234691	13.981661895227031	5.65583547003992e-4	0.27720663597533163	StrainPWK-GenotypeAPP-PS1	9
ENSMUSG00000069516	Lyz2	Lyz2	17105	lysozyme 2	1.8861568192508	10.054844666344058	12.683181463592687	8.849544068880345e-4	0.3855451366008871	StrainPWK-GenotypeAPP-PS1	9
ENSMUSG00000017778	Cox7c	Cox7c	12867	cytochrome c oxidase subunit 7C	0.9178500385018581	7.983162597637064	11.759880302762552	0.0011980926989501425	0.43275341181363614	StrainPWK-GenotypeAPP-PS1	9
ENSMUSG00000002985	Apoe	Apoe	11816	apolipoprotein E	3.089440240380466	10.058609099331015	14.610197439416542	0.001214049357294057	0.43275341181363614	StrainPWK-GenotypeAPP-PS1	9
ENSMUSG00000030342	Cd9	Cd9	12527	CD9 antigen	0.8277440773874306	10.037022655548803	11.183010703832494	0.0015436666143947705	0.5043930662534912	StrainPWK-GenotypeAPP-PS1	9
ENSMUSG00000066551	Hmgb1	Hmgb1	15289	high mobility group box 1	0.9458421720372729	7.828584530795766	10.894594415982024	0.0017614494437320262	0.5312802514517904	StrainPWK-GenotypeAPP-PS1	9
ENSMUSG00000034892	Rps29	Rps29	20090	ribosomal protein S29	0.8064156311253535	11.43550861489387	10.49229646746441	0.0020996935926693287	0.5880641840611741	StrainPWK-GenotypeAPP-PS1	9
ENSMUSG00000102037	Bcl2a1a	Bcl2a1a	12044	B cell leukemia/lymphoma 2 related protein A1a	1.9355865953305744	5.719236485577209	10.012371589139825	0.002612207503568026	0.6828310414326819	StrainPWK-GenotypeAPP-PS1	9
