ENSMUSG	Orig_Symbol	Symbol	Entrezid	Genename	logFC	logCPM	F	PValue	FDR	coef	cluster
ENSMUSG00000048758	Rpl29	Rpl29	19944	ribosomal protein L29	6.871210131943625	9.121476639742362	832.5778570792722	1.6984785768521494e-19	2.9140796943052327e-15	StrainCAST-GenotypeAPP-PS1	H
ENSMUSG00000032528	Vipr1	Vipr1	22354	vasoactive intestinal peptide receptor 1	2.912332756379003	1.287914287566778	66.26539384580387	8.07769491623331e-9	6.929450583890745e-5	StrainCAST-GenotypeAPP-PS1	H
ENSMUSG00000020077	Srgn	Srgn	19073	serglycin	1.0775136423128662	7.666407139942694	45.24131678312308	3.6039327716866283e-7	0.0020610891521275826	StrainCAST-GenotypeAPP-PS1	H
ENSMUSG00000032076	Cadm1	Cadm1	54725	cell adhesion molecule 1	0.7991449725270523	6.936484430673823	40.131417520891134	7.923111858668982e-7	0.0027852245608219464	StrainCAST-GenotypeAPP-PS1	H
ENSMUSG00000032549	Rab6b	Rab6b	270192	RAB6B, member RAS oncogene family	6.113778954393932	5.0789096378067065	53.2441652780986	8.116875213679391e-7	0.0027852245608219464	StrainCAST-GenotypeAPP-PS1	H
ENSMUSG00000080746	Rpsa-ps12	NA	NA	NA	4.602632263784918	0.8612291206982201	38.00472214335883	1.2434248793170275e-6	0.00355557344240704	StrainCAST-GenotypeAPP-PS1	H
ENSMUSG00000006673	Qrich1	Qrich1	69232	glutamine-rich 1	0.5477480468892113	5.709566914687817	30.142965313441664	7.590872424278044e-6	0.018605228311905486	StrainCAST-GenotypeAPP-PS1	H
ENSMUSG00000032436	Cmtm7	Cmtm7	102545	CKLF-like MARVEL transmembrane domain containing 7	-0.8168564430776784	7.848770977367701	28.371849024653265	1.2650351002658285e-5	0.027130259019076026	StrainCAST-GenotypeAPP-PS1	H
ENSMUSG00000032518	Rpsa	Rpsa	16785	ribosomal protein SA	-0.889432025875594	9.34192879812278	27.665342171934856	1.666343348126827e-5	0.03176605869312441	StrainCAST-GenotypeAPP-PS1	H
ENSMUSG00000027698	Nceh1	Nceh1	320024	neutral cholesterol ester hydrolase 1	0.8395194144203674	4.480416610411893	25.785330114570783	2.321348190271988e-5	0.03517250015834229	StrainCAST-GenotypeAPP-PS1	H
ENSMUSG00000036617	Etl4	Etl4	208618	enhancer trap locus 4	4.899993809977048	0.9354198839155309	25.63025796836449	2.4198105482537375e-5	0.03517250015834229	StrainCAST-GenotypeAPP-PS1	H
ENSMUSG00000020232	Hmg20b	Hmg20b	15353	high mobility group 20B	-0.43966940851331743	5.760460505466182	25.568831968155088	2.4600454735682667e-5	0.03517250015834229	StrainCAST-GenotypeAPP-PS1	H
ENSMUSG00000002658	Gtf2f1	Gtf2f1	98053	general transcription factor IIF, polypeptide 1	-0.49408947126566694	4.887679588056058	23.334588321085544	4.5458974975682265e-5	0.05999535643521389	StrainCAST-GenotypeAPP-PS1	H
ENSMUSG00000079260	Tmppe	Tmppe	100504715	transmembrane protein with metallophosphoesterase domain	0.6527327016473352	4.336454422709477	22.864780020886858	5.191458806219808e-5	0.06362132767022376	StrainCAST-GenotypeAPP-PS1	H
ENSMUSG00000032691	Nlrp3	Nlrp3	216799	NLR family, pyrin domain containing 3	-1.0157400570852695	5.679072285220495	23.660319922592894	6.556041388594281e-5	0.0717153410316876	StrainCAST-GenotypeAPP-PS1	H
ENSMUSG00000026483	Fam129a	Fam129a	63913	family with sequence similarity 129, member A	1.0409034347891082	4.189360803141731	21.981535881246327	6.687914300326406e-5	0.0717153410316876	StrainCAST-GenotypeAPP-PS1	H
ENSMUSG00000032435	Dync1li1	Dync1li1	235661	dynein cytoplasmic 1 light intermediate chain 1	-0.5386509205882329	5.7001333736584145	20.851850179698154	9.313475056346048e-5	0.09399487737748774	StrainCAST-GenotypeAPP-PS1	H
ENSMUSG00000031165	Was	Was	22376	Wiskott-Aldrich syndrome	-0.3697836280871629	6.949136534013895	19.760296518324804	1.2929495953318038e-4	0.11890597803477586	StrainCAST-GenotypeAPP-PS1	H
ENSMUSG00000032554	Trf	Trf	22041	transferrin	0.6801715179950534	9.895874010523864	19.70593872806256	1.3167882395877725e-4	0.11890597803477586	StrainCAST-GenotypeAPP-PS1	H
ENSMUSG00000038398	Upf3a	Upf3a	67031	UPF3 regulator of nonsense transcripts homolog A (yeast)	-0.7261431601734806	3.9787699532501	19.069700721383004	1.5980250609641476e-4	0.1370865798548094	StrainCAST-GenotypeAPP-PS1	H
ENSMUSG00000079110	Capn3	Capn3	12335	calpain 3	0.7351596657949697	6.023714083319853	18.80701884216542	1.7336889027906013e-4	0.14164238335799212	StrainCAST-GenotypeAPP-PS1	H
ENSMUSG00000021508	Cxcl14	Cxcl14	57266	chemokine (C-X-C motif) ligand 14	4.456108827149235	0.8169688983469217	19.747706357014284	2.0222935792487543e-4	0.1577113224507767	StrainCAST-GenotypeAPP-PS1	H
ENSMUSG00000068129	Cst7	Cst7	13011	cystatin F (leukocystatin)	2.3917494700473005	4.721877291488024	20.33246341855895	2.3890445182325664e-4	0.1758423332451905	StrainCAST-GenotypeAPP-PS1	H
ENSMUSG00000030411	Nova2	Nova2	384569	NOVA alternative splicing regulator 2	1.5608625610797295	0.055312397033143085	17.69767214558002	2.459763360660122e-4	0.1758423332451905	StrainCAST-GenotypeAPP-PS1	H
ENSMUSG00000032512	Wdr48	Wdr48	67561	WD repeat domain 48	-0.6031832320009113	4.36757303449694	17.316713663026654	2.7798224367851153e-4	0.19077365419168887	StrainCAST-GenotypeAPP-PS1	H
ENSMUSG00000061393	Acvr2b	Acvr2b	11481	activin receptor IIB	0.852561913833254	4.935546068828044	17.180212858873126	3.485499659517453e-4	0.22732963237146306	StrainCAST-GenotypeAPP-PS1	H
ENSMUSG00000053119	Chmp3	Chmp3	66700	charged multivesicular body protein 3	-0.36228129956654126	6.228889403016066	16.542251556060403	3.5774902803692384e-4	0.22732963237146306	StrainCAST-GenotypeAPP-PS1	H
ENSMUSG00000032570	Atp2c1	Atp2c1	235574	ATPase, Ca++-sequestering	0.6216639426096654	7.16623676115311	16.555755913659798	3.762214857111493e-4	0.23052971536950673	StrainCAST-GenotypeAPP-PS1	H
ENSMUSG00000023067	Cdkn1a	Cdkn1a	12575	cyclin-dependent kinase inhibitor 1A (P21)	-1.2875097646632006	4.321864228493109	17.74736548115431	3.908665637884273e-4	0.23124474603165682	StrainCAST-GenotypeAPP-PS1	H
ENSMUSG00000074141	Il4i1	Il4i1	14204	interleukin 4 induced 1	0.921682628513215	2.8947900590800275	16.06146040505586	4.194528750653299e-4	0.23988509924986215	StrainCAST-GenotypeAPP-PS1	H
ENSMUSG00000056962	Jmjd6	Jmjd6	107817	jumonji domain containing 6	0.49977801767300534	5.788505543401351	15.671615112809107	4.7791192101399947e-4	0.26450112351087707	StrainCAST-GenotypeAPP-PS1	H
ENSMUSG00000097164	Cep83os	NA	NA	NA	-0.9461195760943037	2.2787132428681947	15.476451600557203	5.104253432278882e-4	0.2692621080900804	StrainCAST-GenotypeAPP-PS1	H
ENSMUSG00000087371	Gm15541	NA	NA	NA	0.9047755376890535	4.514378531841641	15.746014495811913	5.349621252055022e-4	0.2692621080900804	StrainCAST-GenotypeAPP-PS1	H
ENSMUSG00000030124	Lag3	Lag3	16768	lymphocyte-activation gene 3	0.6383633282062482	7.368576416224245	15.488633289259568	5.454076977315164e-4	0.2692621080900804	StrainCAST-GenotypeAPP-PS1	H
ENSMUSG00000054871	Tmem158	Tmem158	72309	transmembrane protein 158	-1.1120898209728782	2.3043174519173997	15.26003166724693	5.492903061813146e-4	0.2692621080900804	StrainCAST-GenotypeAPP-PS1	H
ENSMUSG00000020364	Zfp354a	Zfp354a	21408	zinc finger protein 354A	0.6185155214695616	3.1262909239972942	15.10509581293816	5.790685679577357e-4	0.2731813972400952	StrainCAST-GenotypeAPP-PS1	H
ENSMUSG00000032786	Alas1	Alas1	11655	aminolevulinic acid synthase 1	0.4504183602911461	5.612040472806459	15.05255882611995	5.8955742997328e-4	0.2731813972400952	StrainCAST-GenotypeAPP-PS1	H
ENSMUSG00000025239	Limd1	Limd1	29806	LIM domains containing 1	-0.5838149193292778	4.292287288464686	14.914223057495713	6.181681097033008e-4	0.2731813972400952	StrainCAST-GenotypeAPP-PS1	H
ENSMUSG00000058392	Rrp1b	Rrp1b	72462	ribosomal RNA processing 1 homolog B (S. cerevisiae)	-0.5185706735898591	5.325050110551966	14.901023028077695	6.209753740376356e-4	0.2731813972400952	StrainCAST-GenotypeAPP-PS1	H
ENSMUSG00000032526	Deb1	Ss18l2	26901	SS18, nBAF chromatin remodeling complex subunit like 2	-0.7389630527200715	3.8565042750058884	14.670465066159991	6.722912975294313e-4	0.28038715023124877	StrainCAST-GenotypeAPP-PS1	H
ENSMUSG00000024044	Epb41l3	Epb41l3	13823	erythrocyte membrane protein band 4.1 like 3	-0.8063912739472813	4.682784033286333	14.612619870450265	6.858715125826857e-4	0.28038715023124877	StrainCAST-GenotypeAPP-PS1	H
ENSMUSG00000038775	Vill	Vill	22351	villin-like	3.7163378132119775	-0.9238847190973594	14.896620397417374	6.863822527080753e-4	0.28038715023124877	StrainCAST-GenotypeAPP-PS1	H
ENSMUSG00000002625	Akap8l	Akap8l	54194	A kinase (PRKA) anchor protein 8-like	-0.4134380519781764	6.975259358410772	14.392144336691528	7.404093400297777e-4	0.2831049107036867	StrainCAST-GenotypeAPP-PS1	H
ENSMUSG00000102744	5830444F18Rik	NA	NA	NA	1.1963360968203762	1.0024823996193746	14.351622812798713	7.509324642735693e-4	0.2831049107036867	StrainCAST-GenotypeAPP-PS1	H
ENSMUSG00000051212	Gpr183	Gpr183	321019	G protein-coupled receptor 183	0.6349945830804186	7.268669536543673	14.598237334731653	7.627923360425258e-4	0.2831049107036867	StrainCAST-GenotypeAPP-PS1	H
ENSMUSG00000017929	B4galt5	B4galt5	56336	UDP-Gal:betaGlcNAc beta 1,4-galactosyltransferase, polypeptide 5	0.678870008748723	4.135804638728253	14.266735812607015	7.735035994233216e-4	0.2831049107036867	StrainCAST-GenotypeAPP-PS1	H
ENSMUSG00000028538	St3gal3	St3gal3	20441	ST3 beta-galactoside alpha-2,3-sialyltransferase 3	-0.5225459007929127	3.7341936454047127	14.168608059552396	8.005110792977306e-4	0.2831049107036867	StrainCAST-GenotypeAPP-PS1	H
ENSMUSG00000064368	mt-Nd6	ND6	17722	NADH dehydrogenase subunit 6	0.5477458677736735	9.228363040500188	14.141836156921752	8.08054833751109e-4	0.2831049107036867	StrainCAST-GenotypeAPP-PS1	H
ENSMUSG00000096935	1700113A16Rik	1700113A16Rik	76642	RIKEN cDNA 1700113A16 gene	0.40042789953775954	5.619078507152172	14.1157211118656	8.154874335493211e-4	0.2831049107036867	StrainCAST-GenotypeAPP-PS1	H
ENSMUSG00000000682	Cd52	Cd52	23833	CD52 antigen	0.5437299815208813	8.170343281311604	14.082525042251836	8.250419965719144e-4	0.2831049107036867	StrainCAST-GenotypeAPP-PS1	H
ENSMUSG00000032536	Trak1	Trak1	67095	trafficking protein, kinesin binding 1	-0.7812434502874787	4.160181653410986	13.969821570501395	8.735082780616815e-4	0.29385846130792687	StrainCAST-GenotypeAPP-PS1	H
ENSMUSG00000054293	A630033H20Rik	P2ry10b	213438	purinergic receptor P2Y, G-protein coupled 10B	-0.4905386767632203	4.871846503402714	13.76644576043862	9.223118790160298e-4	0.30430970977457733	StrainCAST-GenotypeAPP-PS1	H
ENSMUSG00000020048	Hsp90b1	Hsp90b1	22027	heat shock protein 90, beta (Grp94), member 1	-0.45055969523992306	10.05275114225214	13.652092624425135	9.604932914714854e-4	0.3077556001000978	StrainCAST-GenotypeAPP-PS1	H
ENSMUSG00000033392	Clasp2	Clasp2	76499	CLIP associating protein 2	0.42648099032610093	5.632369307708231	13.521808588222653	0.001006083951083956	0.3077556001000978	StrainCAST-GenotypeAPP-PS1	H
ENSMUSG00000056735	A930024E05Rik	A930024E05Rik	109202	RIKEN cDNA A930024E05 gene	-0.7983636783028857	3.759104336112837	13.488757770567693	0.001018017272300635	0.3077556001000978	StrainCAST-GenotypeAPP-PS1	H
ENSMUSG00000031490	Eif4ebp1	Eif4ebp1	13685	eukaryotic translation initiation factor 4E binding protein 1	-0.6512166276760957	5.005308309380772	13.476315385788093	0.0010323700531475063	0.3077556001000978	StrainCAST-GenotypeAPP-PS1	H
ENSMUSG00000084319	Tpt1-ps3	NA	NA	NA	3.6710129863530208	-0.10433149591637758	13.442848897074766	0.0010348472763883356	0.3077556001000978	StrainCAST-GenotypeAPP-PS1	H
ENSMUSG00000108181	C030015A19Rik	NA	NA	NA	0.9556850842136259	2.180393541545903	13.37908377250643	0.001058723415539163	0.3077556001000978	StrainCAST-GenotypeAPP-PS1	H
ENSMUSG00000001794	Capns1	Capns1	12336	calpain, small subunit 1	-0.3791103675100503	6.50140108961197	13.313607317328506	0.001083860358707636	0.3077556001000978	StrainCAST-GenotypeAPP-PS1	H
ENSMUSG00000080810	Gm11737	NA	NA	NA	1.2191478483916671	1.2251555887573242	13.261238072330189	0.0011044290405295368	0.3077556001000978	StrainCAST-GenotypeAPP-PS1	H
ENSMUSG00000028820	Sfpq	Sfpq	71514	splicing factor proline/glutamine rich (polypyrimidine tract binding protein associated)	-0.42100432814683336	7.759735876843732	13.243393107297502	0.0011115338075827494	0.3077556001000978	StrainCAST-GenotypeAPP-PS1	H
ENSMUSG00000032000	Birc3	Birc3	11796	baculoviral IAP repeat-containing 3	0.4812398573060766	5.458397823680478	13.241896478539521	0.0011121319115350039	0.3077556001000978	StrainCAST-GenotypeAPP-PS1	H
ENSMUSG00000032497	Lrrfip2	Lrrfip2	71268	leucine rich repeat (in FLII) interacting protein 2	-0.41691369052865435	5.03447368836138	13.095948066199272	0.0011721608918091135	0.3138603181568865	StrainCAST-GenotypeAPP-PS1	H
ENSMUSG00000097277	2900076A07Rik	2900076A07Rik	100504421	RIKEN cDNA 2900076A07 gene	0.5864243561918789	3.2573640975560907	13.078872597983029	0.0011794094934425088	0.3138603181568865	StrainCAST-GenotypeAPP-PS1	H
ENSMUSG00000046753	Ccdc66	Ccdc66	320234	coiled-coil domain containing 66	-0.582188704618713	3.6852391403025755	13.00253026608357	0.001212414202889806	0.3138603181568865	StrainCAST-GenotypeAPP-PS1	H
ENSMUSG00000039599	Fam149b	Fam149b	105428	family with sequence similarity 149, member B	-0.49353514334417314	3.626603393561031	12.939831665394012	0.0012402664238463624	0.3138603181568865	StrainCAST-GenotypeAPP-PS1	H
ENSMUSG00000097617	Gm10687	NA	NA	NA	2.9172071414071117	-0.7129234841291936	12.936349102245602	0.0012418335829938885	0.3138603181568865	StrainCAST-GenotypeAPP-PS1	H
ENSMUSG00000042572	Ube2q1	Ube2q1	70093	ubiquitin-conjugating enzyme E2Q family member 1	-0.29904825808192753	6.380614473525787	12.931646843215912	0.001243953000796659	0.3138603181568865	StrainCAST-GenotypeAPP-PS1	H
ENSMUSG00000102326	Gm37788	NA	NA	NA	0.5655649956807205	4.079168665138278	12.818200356243437	0.0012962882643331151	0.322324894944395	StrainCAST-GenotypeAPP-PS1	H
ENSMUSG00000004151	Etv1	Etv1	14009	ets variant 1	-0.5317684575063218	4.925151819951167	12.768850325302909	0.0013197923426788542	0.3225837518783402	StrainCAST-GenotypeAPP-PS1	H
ENSMUSG00000103138	Gm2238	NA	NA	NA	-1.050868726473536	1.4175568853058875	12.737560360396316	0.001334933052594402	0.3225837518783402	StrainCAST-GenotypeAPP-PS1	H
ENSMUSG00000032565	Nudt16	Nudt16	75686	nudix (nucleoside diphosphate linked moiety X)-type motif 16	-0.43994193553592453	5.335523271534743	12.679317712758326	0.001363617659639674	0.32493872481163727	StrainCAST-GenotypeAPP-PS1	H
ENSMUSG00000043953	Ccrl2	Ccrl2	54199	chemokine (C-C motif) receptor-like 2	0.9694802321283822	3.52449412318796	12.627496075894681	0.0014440500078305842	0.33939131485410046	StrainCAST-GenotypeAPP-PS1	H
ENSMUSG00000017716	Birc5	Birc5	11799	baculoviral IAP repeat-containing 5	1.4606924125775866	0.3801093562032459	12.428851239269976	0.0014947856475417375	0.3441264414749078	StrainCAST-GenotypeAPP-PS1	H
ENSMUSG00000079293	Clec7a	Clec7a	56644	C-type lectin domain family 7, member a	2.1188209580256383	3.977523013767665	13.59081174179183	0.0015043121239504626	0.3441264414749078	StrainCAST-GenotypeAPP-PS1	H
ENSMUSG00000030435	U2af2	U2af2	22185	U2 small nuclear ribonucleoprotein auxiliary factor (U2AF) 2	-0.3521588657204915	5.986688465548203	12.31642420798704	0.0015580405260802225	0.3514058761185502	StrainCAST-GenotypeAPP-PS1	H
ENSMUSG00000087006	Gm13889	Gm13889	620695	predicted gene 13889	1.8028596373461607	4.27352210146145	12.591479132190859	0.0015770969552444112	0.3514058761185502	StrainCAST-GenotypeAPP-PS1	H
ENSMUSG00000080999	Gm11336	NA	NA	NA	0.6457057442403867	2.8094633054138636	12.180313507886007	0.0016385171751116317	0.36041075863320854	StrainCAST-GenotypeAPP-PS1	H
ENSMUSG00000024486	Hbegf	Hbegf	15200	heparin-binding EGF-like growth factor	-0.6678874463387708	2.690589640025733	12.123924188714112	0.001673164009857347	0.3633731002167405	StrainCAST-GenotypeAPP-PS1	H
ENSMUSG00000058173	Smco4	Smco4	170748	single-pass membrane protein with coiled-coil domains 4	-0.6646747561610962	3.4322843602444886	12.077129871898167	0.0017025167448386075	0.3651259973899499	StrainCAST-GenotypeAPP-PS1	H
ENSMUSG00000097090	Gm26724	NA	NA	NA	0.36712766230320654	5.670244577877807	12.008243838265829	0.0017467442800273227	0.36998631620282435	StrainCAST-GenotypeAPP-PS1	H
ENSMUSG00000053841	Txlna	Txlna	109658	taxilin alpha	-0.4384144999263385	5.2764179960269475	11.923535874823852	0.0018028399484527687	0.37721128043419694	StrainCAST-GenotypeAPP-PS1	H
ENSMUSG00000032590	Apeh	Apeh	235606	acylpeptide hydrolase	-0.5131021882608708	4.3008328156175	11.809891542043045	0.0018811775397785846	0.3855081034081657	StrainCAST-GenotypeAPP-PS1	H
ENSMUSG00000041075	Fzd7	Fzd7	14369	frizzled class receptor 7	-1.1254061738556065	2.240997574879364	11.77079124909452	0.001908974765429067	0.3855081034081657	StrainCAST-GenotypeAPP-PS1	H
ENSMUSG00000047676	Rpsa-ps10	NA	NA	NA	1.719305419951805	7.71747981579269	13.115993652787607	0.0019117426613890459	0.3855081034081657	StrainCAST-GenotypeAPP-PS1	H
ENSMUSG00000029402	Snrnp35	Snrnp35	76167	small nuclear ribonucleoprotein 35 (U11/U12)	-0.4422188264922376	3.873456080466435	11.738354982630876	0.001932371445654966	0.3855081034081657	StrainCAST-GenotypeAPP-PS1	H
ENSMUSG00000101939	Gm28438	NA	NA	NA	1.0327284006219437	9.5359459404933	12.718632325972834	0.001978309152370213	0.39013620835880164	StrainCAST-GenotypeAPP-PS1	H
ENSMUSG00000031232	Magt1	Magt1	67075	magnesium transporter 1	-0.3417969303957992	7.13060527235242	11.537840379956677	0.002084066829254449	0.406321983971802	StrainCAST-GenotypeAPP-PS1	H
ENSMUSG00000056121	Fez2	Fez2	225020	fasciculation and elongation protein zeta 2 (zygin II)	-0.30385463981741767	7.423896028143662	11.483071688124598	0.0021277058264444304	0.4101690883630011	StrainCAST-GenotypeAPP-PS1	H
ENSMUSG00000021585	Cast	Cast	12380	calpastatin	-0.4754503368138068	4.077836936628822	11.419617014236973	0.00217950512878533	0.4154863277174434	StrainCAST-GenotypeAPP-PS1	H
ENSMUSG00000017858	Ift52	Ift52	245866	intraflagellar transport 52	-0.35386443995338457	4.6090429114372835	11.26613796977057	0.0023105197162394415	0.435621832654067	StrainCAST-GenotypeAPP-PS1	H
ENSMUSG00000109209	RP23-229E19.4	NA	NA	NA	1.4228364300372969	0.8084397577581097	11.217072374883015	0.0023541815211768637	0.43902926476990706	StrainCAST-GenotypeAPP-PS1	H
ENSMUSG00000031154	Otud5	Otud5	54644	OTU domain containing 5	-0.3394202431139592	5.425492892093554	11.12508942585991	0.002438458440202957	0.4415611831610113	StrainCAST-GenotypeAPP-PS1	H
ENSMUSG00000028863	Meaf6	Meaf6	70088	MYST/Esa1-associated factor 6	-0.35334012983649427	5.471834176429742	11.104352300591536	0.002457905704392221	0.4415611831610113	StrainCAST-GenotypeAPP-PS1	H
ENSMUSG00000086329	Gm14233	NA	NA	NA	0.8703472578456447	1.8044740014531995	11.097054662219993	0.0024647892905222506	0.4415611831610113	StrainCAST-GenotypeAPP-PS1	H
ENSMUSG00000015396	Cd83	Cd83	12522	CD83 antigen	0.6719965710969106	5.837803191922229	11.429490933435597	0.0024879196217927222	0.4415611831610113	StrainCAST-GenotypeAPP-PS1	H
ENSMUSG00000038503	Mesdc2	Mesd	67943	mesoderm development LRP chaperone	-0.348119663553791	6.171829081240755	11.024180533752684	0.0025346844380534257	0.4415611831610113	StrainCAST-GenotypeAPP-PS1	H
ENSMUSG00000046792	Zfp787	Zfp787	67109	zinc finger protein 787	-0.40028453531677516	5.360598884242944	11.011757630151493	0.0025468120474036707	0.4415611831610113	StrainCAST-GenotypeAPP-PS1	H
ENSMUSG00000003198	Zfp959	Zfp959	224893	zinc finger protein 959	0.48302017983793016	3.6824560920161584	10.95628399771293	0.002601738578702981	0.4415611831610113	StrainCAST-GenotypeAPP-PS1	H
ENSMUSG00000056167	Cnot10	Cnot10	78893	CCR4-NOT transcription complex, subunit 10	-0.5067836910251842	3.9746294481123505	10.94513347453617	0.0026129331162464044	0.4415611831610113	StrainCAST-GenotypeAPP-PS1	H
ENSMUSG00000022391	Rangap1	Rangap1	19387	RAN GTPase activating protein 1	-0.42473928618296064	4.712348632848741	10.894970337337403	0.0026639430394547387	0.4415611831610113	StrainCAST-GenotypeAPP-PS1	H
ENSMUSG00000052688	Rab7b	Rab7b	226421	RAB7B, member RAS oncogene family	2.6588270739359467	-0.59360535027412	10.866080629745221	0.0026938087378552177	0.4415611831610113	StrainCAST-GenotypeAPP-PS1	H
ENSMUSG00000028868	Wasf2	Wasf2	242687	WAS protein family, member 2	-0.344289986535537	8.833574158649526	10.863764109846501	0.0026962191639680316	0.4415611831610113	StrainCAST-GenotypeAPP-PS1	H
ENSMUSG00000040724	Kcna2	Kcna2	16490	potassium voltage-gated channel, shaker-related subfamily, member 2	-6.386820934143475	-1.1914290733715975	11.022975710716702	0.0027041105875795033	0.4415611831610113	StrainCAST-GenotypeAPP-PS1	H
ENSMUSG00000026740	Dnajc1	Dnajc1	13418	DnaJ heat shock protein family (Hsp40) member C1	-0.3504404630842366	6.583883202886127	10.832823269664264	0.0027286390831394417	0.4415611831610113	StrainCAST-GenotypeAPP-PS1	H
ENSMUSG00000024544	Ldlrad4	Ldlrad4	52662	low density lipoprotein receptor class A domain containing 4	0.3395020714047086	6.062838401120704	10.821254416908056	0.0027408691368417323	0.4415611831610113	StrainCAST-GenotypeAPP-PS1	H
ENSMUSG00000021057	Akap5	Akap5	238276	A kinase (PRKA) anchor protein 5	0.514315940976064	4.797044574625426	10.805456180731856	0.002757666232904213	0.4415611831610113	StrainCAST-GenotypeAPP-PS1	H
ENSMUSG00000031627	Irf2	Irf2	16363	interferon regulatory factor 2	-0.40869887512035025	7.343617356609921	10.785036430012324	0.002779542331490891	0.4415611831610113	StrainCAST-GenotypeAPP-PS1	H
ENSMUSG00000100228	Gm29257	NA	NA	NA	-3.3342520159105518	0.9681332375522667	10.7212083929881	0.002849142735396214	0.445642439961532	StrainCAST-GenotypeAPP-PS1	H
ENSMUSG00000093826	Gm6900	NA	NA	NA	2.4247086307842896	-0.3419513244299406	10.662952366528256	0.0029143161057022656	0.445642439961532	StrainCAST-GenotypeAPP-PS1	H
ENSMUSG00000103596	Gm37354	NA	NA	NA	1.7963953113233335	0.5076493336832213	10.652925899171288	0.0029256950426433705	0.445642439961532	StrainCAST-GenotypeAPP-PS1	H
ENSMUSG00000026766	Mmadhc	Mmadhc	109129	methylmalonic aciduria (cobalamin deficiency) cblD type, with homocystinuria	-0.3830581146254363	4.836819326801468	10.640852444470557	0.0029394609625002853	0.445642439961532	StrainCAST-GenotypeAPP-PS1	H
ENSMUSG00000020315	Sptbn1	Sptbn1	20742	spectrin beta, non-erythrocytic 1	1.008519987096201	3.145111051131998	11.559316426155526	0.0029546713693755135	0.445642439961532	StrainCAST-GenotypeAPP-PS1	H
ENSMUSG00000043207	Zmpste24	Zmpste24	230709	zinc metallopeptidase, STE24	-0.38093299454196944	6.003848776346273	10.622014986508532	0.0029610793352925716	0.445642439961532	StrainCAST-GenotypeAPP-PS1	H
ENSMUSG00000064337	mt-Rnr1	NA	NA	NA	0.9720944749599327	8.875688724970422	11.453372230716415	0.0030050318408915114	0.4483246199493535	StrainCAST-GenotypeAPP-PS1	H
ENSMUSG00000029714	Gigyf1	Gigyf1	57330	GRB10 interacting GYF protein 1	0.27681525601997187	6.954543853277961	10.540620567986398	0.0030564888900737946	0.4486705525527324	StrainCAST-GenotypeAPP-PS1	H
ENSMUSG00000030062	Rpn1	Rpn1	103963	ribophorin I	-0.4368217279764645	6.871309415319363	10.523223073986273	0.003077310777345809	0.4486705525527324	StrainCAST-GenotypeAPP-PS1	H
ENSMUSG00000022295	Atp6v1c1	Atp6v1c1	66335	ATPase, H+ transporting, lysosomal V1 subunit C1	-0.25253855184079527	6.49142372995137	10.516163907304863	0.00308580318244579	0.4486705525527324	StrainCAST-GenotypeAPP-PS1	H
ENSMUSG00000034947	Tmem106a	Tmem106a	217203	transmembrane protein 106A	0.6582957934432488	4.536367050704547	10.539622432888269	0.003161643578746441	0.4529973501968203	StrainCAST-GenotypeAPP-PS1	H
ENSMUSG00000020941	Map3k14	Map3k14	53859	mitogen-activated protein kinase kinase kinase 14	0.48964490626043305	5.3510132031708055	10.448610770358297	0.003168367548150518	0.4529973501968203	StrainCAST-GenotypeAPP-PS1	H
ENSMUSG00000044749	Abca6	Abca6	76184	ATP-binding cassette, sub-family A (ABC1), member 6	3.844891306665664	-1.3613827978073565	10.423132265328178	0.003200126462962329	0.4537567745871461	StrainCAST-GenotypeAPP-PS1	H
ENSMUSG00000025040	Fundc1	Fundc1	72018	FUN14 domain containing 1	-0.3679141826818239	5.14872533450849	10.376639667590593	0.0032589716633552334	0.45644876635884657	StrainCAST-GenotypeAPP-PS1	H
ENSMUSG00000008036	Ap2s1	Ap2s1	232910	adaptor-related protein complex 2, sigma 1 subunit	-0.30090856953134903	6.234704352236953	10.366219707676663	0.003272320234431318	0.45644876635884657	StrainCAST-GenotypeAPP-PS1	H
