ENSMUSG	Orig_Symbol	Symbol	Entrezid	Genename	logFC	logCPM	F	PValue	FDR	coef	cluster
ENSMUSG00000026249	Serpine2	Serpine2	20720	serine (or cysteine) peptidase inhibitor, clade E, member 2	1.4006168026778045	7.848881341123371	114.36979107433977	2.50637137344994e-11	4.300181365428062e-7	StrainPWK-GenotypeAPP-PS1	H
ENSMUSG00000001123	Lgals9	Lgals9	16859	lectin, galactose binding, soluble 9	0.9767377509175788	6.50524716871679	43.57123937746764	3.9391364499121516e-7	0.003379188203557139	StrainPWK-GenotypeAPP-PS1	H
ENSMUSG00000066456	Hmgn3	Hmgn3	94353	high mobility group nucleosomal binding domain 3	4.779798593257642	4.1340243142720805	47.47607538045203	1.389371700942331e-6	0.00794581675768919	StrainPWK-GenotypeAPP-PS1	H
ENSMUSG00000023367	Tmem176a	Tmem176a	66058	transmembrane protein 176A	-0.9795080757509396	8.076193265742864	35.27025465605408	2.405565293276882e-6	0.010318070934187866	StrainPWK-GenotypeAPP-PS1	H
ENSMUSG00000025492	Ifitm3	Ifitm3	66141	interferon induced transmembrane protein 3	2.043551883746163	4.608981187024228	37.64460907304179	4.99625545988907e-6	0.017144150985063354	StrainPWK-GenotypeAPP-PS1	H
ENSMUSG00000026347	Tmem163	Tmem163	72160	transmembrane protein 163	3.4516145853307814	-0.6159894134262104	30.981313385964437	6.185010911010936e-6	0.017686038700035774	StrainPWK-GenotypeAPP-PS1	H
ENSMUSG00000078922	Tgtp1	Tgtp1	21822	T cell specific GTPase 1	4.154376230943682	-0.8614495165177473	31.118012674740285	8.854335963787745e-6	0.019978395238963068	StrainPWK-GenotypeAPP-PS1	H
ENSMUSG00000105814	Mir703	Mir703	735265	microRNA 703	8.086442274606497	4.678120527888912	36.7307376524224	9.31556576975605e-6	0.019978395238963068	StrainPWK-GenotypeAPP-PS1	H
ENSMUSG00000032436	Cmtm7	Cmtm7	102545	CKLF-like MARVEL transmembrane domain containing 7	-0.8424715483429633	7.848770977367701	27.887490071017762	1.4297189046220868e-5	0.027255208051779046	StrainPWK-GenotypeAPP-PS1	H
ENSMUSG00000025351	Cd63	Cd63	12512	CD63 antigen	0.7672532680646241	7.908464741331153	26.041334241694127	2.1680956775760743e-5	0.03442361288450167	StrainPWK-GenotypeAPP-PS1	H
ENSMUSG00000032202	Rab27a	Rab27a	11891	RAB27A, member RAS oncogene family	0.7708868305293405	4.222230375204201	25.974498665390342	2.2070276955733426e-5	0.03442361288450167	StrainPWK-GenotypeAPP-PS1	H
ENSMUSG00000032549	Rab6b	Rab6b	270192	RAB6B, member RAS oncogene family	4.507207893030185	5.0789096378067065	31.34421816089582	2.4571010368555714e-5	0.035130402074442534	StrainPWK-GenotypeAPP-PS1	H
ENSMUSG00000073489	Ifi204	Ifi204	15951	interferon activated gene 204	3.0241520455876554	2.8994086101730576	25.202877879630442	3.402266286232345e-5	0.044902063594529494	StrainPWK-GenotypeAPP-PS1	H
