ENSMUSG	Orig_Symbol	Symbol	Entrezid	Genename	CAST_vs_B6_logFC	CAST_vs_B6_FDR	PWK_vs_B6_logFC	PWK_vs_B6_FDR	WSB_vs_B6_logFC	WSB_vs_B6_FDR
ENSMUSG00000022817	Itgb5	Itgb5	16419	integrin beta 5	-4.507557706163759	3.1828696343409854e-34	-0.6046488226443165	0.0378821710929686	0.09905306906063649	0.8789291660289015
ENSMUSG00000064345	mt-Nd2	ND2	17717	NADH dehydrogenase subunit 2	-3.5654272576375243	8.734160937689078e-32	-4.737172086304398	4.493730830062457e-35	-0.4319603970706053	0.1524261590089668
ENSMUSG00000054702	Ap1s3	Ap1s3	252903	adaptor-related protein complex AP-1, sigma 3	-3.3173661756039534	1.2736754406404547e-28	-3.298709005208596	9.882465509855055e-25	-0.17945193116187136	0.7208241845709732
ENSMUSG00000108365	RP24-174G2.2	NA	NA	NA	-3.2976625803613175	5.834089803654517e-22	-0.2192673613936769	0.6313901604591867	0.3032392056194708	0.49307887784890403
ENSMUSG00000030124	Lag3	Lag3	16768	lymphocyte-activation gene 3	-3.2990783865943065	4.585288021674071e-21	-10.159283968901905	1.6021361016134582e-30	-0.238832311937511	0.6471830818837275
ENSMUSG00000064351	mt-Co1	COX1	17708	cytochrome c oxidase subunit I	2.3284771373054642	2.2354622093266998e-20	2.561736000583401	1.3198918545242118e-21	-0.39834728519839685	0.2340743804955001
ENSMUSG00000101776	Gm28268	NA	NA	NA	-3.310818662908339	5.128525405563094e-20	-3.0470154872490576	1.0580790998714113e-15	-0.3136912781893468	0.5183071328510117
ENSMUSG00000069892	9930111J21Rik2	9930111J21Rik2	245240	RIKEN cDNA 9930111J21 gene 2	-4.408547510604387	5.141397809442276e-19	-5.404635912046923	1.5951080056661528e-18	-1.399710778909963	1.563733152996314e-5
ENSMUSG00000069515	Lyz1	Lyz1	17110	lysozyme 1	6.221239768944613	5.55468909271585e-19	-3.5327705315983455	0.19526105754747697	2.0362065435534613	0.1357227513570137
ENSMUSG00000023087	Noct	Noct	12457	nocturnin	-3.7488396970743816	6.05575988817661e-19	-2.3748052759975256	1.0178016834044785e-9	-2.8995873166624087	1.5152649283303263e-16
ENSMUSG00000023764	Sfi1	Sfi1	78887	Sfi1 homolog, spindle assembly associated (yeast)	2.7100965510415547	2.4225086129563926e-18	2.988205464724655	4.4858480332194727e-20	1.0139257936755308	0.001683091346054087
ENSMUSG00000020717	Pecam1	Pecam1	18613	platelet/endothelial cell adhesion molecule 1	3.9055669020780597	4.7362301442979494e-18	2.6522732552054453	3.25468607740325e-8	1.3641404611059647	0.01724436946409621
ENSMUSG00000028391	Wdr31	Wdr31	71354	WD repeat domain 31	2.5361984104112936	1.476488051337058e-17	-1.3813745870069136	1.4503258968446908e-4	-2.0704212546805807	1.1600732954035862e-10
ENSMUSG00000096979	Gm26880	NA	NA	NA	5.086073269944297	2.1386946712642607e-17	0.773054461428068	0.6197331281741657	-3.7147236109667383	0.013695914652404233
ENSMUSG00000022587	Ly6e	Ly6e	17069	lymphocyte antigen 6 complex, locus E	-2.09969934841437	2.765533709899016e-17	0.46094472555250754	0.11091360406258384	0.4192599552860661	0.17309492235566032
ENSMUSG00000104022	Gm37214	NA	NA	NA	-5.487016702640673	2.277809601473433e-16	0.22565104105444841	0.7596970828912195	0.04522033869418423	0.9753407831894857
ENSMUSG00000027315	Spint1	Spint1	20732	serine protease inhibitor, Kunitz type 1	-8.754777752047302	7.859658998373411e-16	0.7797840241804268	0.0800750774395591	-8.07817824852483	1.1294608765639694e-19
ENSMUSG00000066315	Gm12918	NA	NA	NA	-4.47780364760989	2.7282032119199473e-15	-1.543019544390057	3.478272736306868e-4	0.5275594389988627	0.2957746095734198
ENSMUSG00000049436	Upk1b	Upk1b	22268	uroplakin 1B	-5.131744016413568	3.907167844340268e-15	-3.717684095668672	2.498274675683236e-10	-4.657591674453244	7.955574795283942e-18
ENSMUSG00000041992	Rapgef5	Rapgef5	217944	Rap guanine nucleotide exchange factor (GEF) 5	2.768895109161738	4.120190719497706e-15	1.2174922680743376	0.002629128825143948	0.4888018740914438	0.4388043544626833
ENSMUSG00000093674	Rpl41	Rpl41	67945	ribosomal protein L41	-3.01694045158373	6.380729151240687e-15	-0.030630040486615405	0.9699342616363325	-0.3219243076008969	0.5659905845309893
ENSMUSG00000104205	Gm37396	NA	NA	NA	-3.241572985139057	6.380729151240687e-15	-0.7683336244943438	0.052730155774268796	-0.8730536655966155	0.010310662371610055
ENSMUSG00000094724	Rnaset2b	Rnaset2b	68195	ribonuclease T2B	-1.7694235146077508	2.0852439885084893e-14	-1.4044427441904177	1.238796435408201e-8	-0.8514286605611635	2.0421391554505754e-4
ENSMUSG00000027669	Gnb4	Gnb4	14696	guanine nucleotide binding protein (G protein), beta 4	8.608904344257516	1.192360406203206e-13	7.996233307754057	4.3372540133832647e-10	1.4165191259298142	0.7986959408780467
ENSMUSG00000020077	Srgn	Srgn	19073	serglycin	-2.8471296614013526	1.192360406203206e-13	-0.5752128080081044	0.15927178693479968	0.3246133989837308	0.5493346449425466
ENSMUSG00000063253	Scoc	Scoc	56367	short coiled-coil protein	-3.122211426229629	1.3906446595453814e-13	-0.4102819511044434	0.4157447629026238	-0.18582905189670718	0.8007438899363014
ENSMUSG00000035352	Ccl12	Ccl12	20293	chemokine (C-C motif) ligand 12	-5.790866817900411	1.3136968614544875e-12	-8.223785453632404	1.2852824236615755e-12	-0.8021749169684282	0.18278708988551237
ENSMUSG00000015314	Slamf6	Slamf6	30925	SLAM family member 6	-4.840358409466817	1.5904234331257287e-12	-0.12693647039490683	0.8905511642606925	-1.9967977243423338	5.264377717994105e-6
ENSMUSG00000040899	Ccr6	Ccr6	12458	chemokine (C-C motif) receptor 6	8.44428181891111	1.8351430831195313e-12	8.197789682282465	5.4054648793847836e-11	7.516586995039372	2.1332417188822625e-8
ENSMUSG00000031613	Hpgd	Hpgd	15446	hydroxyprostaglandin dehydrogenase 15 (NAD)	-3.981356730698997	8.38056234122632e-12	-1.148982132321096	0.024338016698384365	-0.8942318790050767	0.06797304570658208
ENSMUSG00000056529	Ptafr	Ptafr	19204	platelet-activating factor receptor	-2.170914912494773	8.688648290800039e-12	-1.039237473991894	0.0015055707814394447	0.11754940421633983	0.8745416055919227
ENSMUSG00000032076	Cadm1	Cadm1	54725	cell adhesion molecule 1	-2.879888468076492	1.2024645957769507e-11	0.6680682478448843	0.0950381817542884	-0.5642624611135844	0.22823522190010095
ENSMUSG00000092036	Gm2244	Gm2244	100039452	predicted gene 2244	-7.96619217959999	1.4727853187865518e-11	-7.928396249286767	1.6273877980785624e-9	-0.6223644140873477	0.4143229386195473
ENSMUSG00000027199	Gatm	Gatm	67092	glycine amidinotransferase (L-arginine:glycine amidinotransferase)	2.6712483096076065	1.8891016487070884e-11	0.39052726017333494	0.6279014019900304	2.7128862121713144	5.336138026306529e-12
ENSMUSG00000009585	Apobec3	Apobec3	80287	apolipoprotein B mRNA editing enzyme, catalytic polypeptide 3	2.0194328841357065	2.8546090225419663e-11	-0.6583883658790528	0.13974031603617346	-0.5917444729399515	0.18725094019147845
ENSMUSG00000051212	Gpr183	Gpr183	321019	G protein-coupled receptor 183	-2.484038929715389	3.281935720786622e-11	-0.2672908959603533	0.6319177356513542	0.7067255366030237	0.04785520296553632
ENSMUSG00000033467	Crlf2	Crlf2	57914	cytokine receptor-like factor 2	-2.7104664908143796	9.055580879404852e-11	-3.270346559098652	1.324576576828465e-11	-0.8803342085711561	0.024036722067335183
ENSMUSG00000035258	Abi3bp	Abi3bp	320712	ABI gene family, member 3 (NESH) binding protein	8.106302790039038	9.851790668619143e-11	2.8033413737899626	0.4717490585000519	6.789639213288797	5.977978116173038e-6
ENSMUSG00000030148	Clec4a2	Clec4a2	26888	C-type lectin domain family 4, member a2	2.0499826667301875	1.0066674756590542e-10	-1.7591582456158366	9.762150091030025e-5	-2.2122419192423126	1.4759461225585798e-8
ENSMUSG00000026458	Ppfia4	Ppfia4	68507	protein tyrosine phosphatase, receptor type, f polypeptide (PTPRF), interacting protein (liprin), alpha 4	-3.618429221446189	1.106506346432075e-10	-0.9832626913274781	0.05875122159736973	0.16971512354271187	0.8646988149745112
ENSMUSG00000033386	Frrs1	Frrs1	20321	ferric-chelate reductase 1	-3.2994938318203126	1.106506346432075e-10	-0.2656303793639407	0.6979039225468144	-0.7488144139840944	0.12139513343786805
ENSMUSG00000026031	Cflar	Cflar	12633	CASP8 and FADD-like apoptosis regulator	-1.975980763124018	1.1251106099192989e-10	-0.6763011001409306	0.055998496723221707	0.24315143262901637	0.6492553104598078
ENSMUSG00000025810	Nrp1	Nrp1	18186	neuropilin 1	-3.30800809397843	1.3183495061014796e-10	-6.721889824081382	9.853516263723147e-15	-4.365609139203423	5.615730905222095e-17
ENSMUSG00000024030	Abcg1	Abcg1	11307	ATP binding cassette subfamily G member 1	-2.027118670682858	1.4499780327855196e-10	-0.03478642171424476	0.9632635513908778	-1.4324304344366758	7.037482162423437e-7
ENSMUSG00000078490	Cfap74	Cfap74	544678	cilia and flagella associated protein 74	2.8946284398430815	1.4623124496452058e-10	-0.33769541553093385	0.776305472088366	0.4145340512221919	0.7224255201741072
ENSMUSG00000029915	Clec5a	Clec5a	23845	C-type lectin domain family 5, member a	-3.290406722684867	1.7965086193737267e-10	-3.183287875418372	8.901084470561643e-9	0.7116685669959796	0.11634296706879046
