ENSMUSG	Orig_Symbol	Symbol	Entrezid	Genename	CAST_vs_B6_logFC	CAST_vs_B6_FDR	PWK_vs_B6_logFC	PWK_vs_B6_FDR	WSB_vs_B6_logFC	WSB_vs_B6_FDR
ENSMUSG00000027669	Gnb4	Gnb4	14696	guanine nucleotide binding protein (G protein), beta 4	7.6658199772213775	1.5841384193654766e-26	7.054895173627172	1.2914518498435088e-25	0.33940938578523894	0.3920924902658458
ENSMUSG00000031851	Ntpcr	Ntpcr	66566	nucleoside-triphosphatase, cancer-related	-4.4197094580174685	2.848166216574815e-26	-2.709732482978522	2.6598304572847203e-21	-1.855180495151322	1.5213975622614743e-18
ENSMUSG00000026458	Ppfia4	Ppfia4	68507	protein tyrosine phosphatase, receptor type, f polypeptide (PTPRF), interacting protein (liprin), alpha 4	-4.468583875769456	1.7487020649400126e-24	-1.3098759484266753	3.948363193227902e-13	-0.011991002568711523	0.9298671883164648
ENSMUSG00000044626	Liph	Liph	239759	lipase, member H	-6.717891004039881	2.6916819503718492e-24	-2.751687851270418	3.545475887839733e-18	0.1054923874748333	0.38949559430610214
ENSMUSG00000069892	9930111J21Rik2	9930111J21Rik2	245240	RIKEN cDNA 9930111J21 gene 2	-4.894387608304931	1.1413794666728791e-23	-5.574461459923158	2.500686430755644e-23	-1.1128958231578832	8.604008912982465e-11
ENSMUSG00000002104	Rapsn	Rapsn	19400	receptor-associated protein of the synapse	-7.338631926297451	1.4903084068250415e-23	-8.415008585085902	1.0670949569997054e-22	-0.8157045344999424	1.5136009964198828e-7
ENSMUSG00000042249	Adrbk2	Grk3	320129	G protein-coupled receptor kinase 3	-4.842587790907171	3.171504346522587e-23	-4.838705076880118	3.3453768125681973e-22	-0.036028969628336766	0.7926469834001073
ENSMUSG00000079671	2610203C22Rik	2610203C22Rik	72481	RIKEN cDNA 2610203C22 gene	-6.314993798296893	3.455247623869881e-23	-3.236011479458969	3.176119760552972e-18	-0.4569494664156809	6.903716035942284e-4
ENSMUSG00000001020	S100a4	S100a4	20198	S100 calcium binding protein A4	4.662393766960683	4.8509215770671523e-23	3.4024149554485783	1.6627854348261992e-19	0.38373928964461773	0.03599955381363197
ENSMUSG00000035258	Abi3bp	Abi3bp	320712	ABI gene family, member 3 (NESH) binding protein	7.644510461601403	1.7405232553871888e-22	0.6216817137733801	0.16683787045088488	6.360908166870578	7.33238013122662e-20
ENSMUSG00000022817	Itgb5	Itgb5	16419	integrin beta 5	-4.372536962359093	2.0530993992874784e-22	-0.5472446716866607	9.282987701996255e-5	0.16092906794272388	0.21455191803233736
ENSMUSG00000020415	Pttg1	Pttg1	30939	pituitary tumor-transforming gene 1	-4.0095645078198645	2.0573717012297858e-22	-3.927185716572209	3.3527725339813044e-21	-4.81079463981606	2.3121806628275226e-22
ENSMUSG00000094403	Mir692-2	Mir692-2	735288	microRNA 692-2	12.687280804702127	2.3597806018890114e-22	5.224101776945796	5.771715041098718e-6	2.445689036214652	0.21095779887903598
ENSMUSG00000022106	Rcbtb2	Rcbtb2	105670	regulator of chromosome condensation (RCC1) and BTB (POZ) domain containing protein 2	-2.6405552566317847	2.4630724858237913e-22	-0.6490822971483323	8.931583330082646e-9	-0.7515574574492085	1.8681240305383637e-10
ENSMUSG00000054702	Ap1s3	Ap1s3	252903	adaptor-related protein complex AP-1, sigma 3	-3.441759176550091	2.4630724858237913e-22	-3.3007894330963503	1.0326436063225038e-20	-0.022396794272755236	0.8702293705042496
ENSMUSG00000043943	Naalad2	Naalad2	72560	N-acetylated alpha-linked acidic dipeptidase 2	-5.497893043129508	2.4630724858237913e-22	-3.7011446776509134	4.655846009740586e-19	0.9715330416827255	4.383371537444584e-9
ENSMUSG00000052760	A630001G21Rik	A630001G21Rik	319997	RIKEN cDNA A630001G21 gene	-5.201253705656781	2.4630724858237913e-22	-4.778048363853928	1.3040752630530608e-20	-2.8483040264235653	1.9361567537535284e-17
ENSMUSG00000034413	Neurl1b	Neurl1b	240055	neuralized E3 ubiquitin protein ligase 1B	5.925971459828258	2.4630724858237913e-22	4.042927860839722	1.300521762767384e-17	-4.345076967389412	1.2749999560558714e-7
ENSMUSG00000063253	Scoc	Scoc	56367	short coiled-coil protein	-3.276612569363785	2.4630724858237913e-22	-0.9044747213931625	9.571741330176747e-10	-0.45651865279352766	3.460144730440164e-5
ENSMUSG00000079110	Capn3	Capn3	12335	calpain 3	-3.4803844378116473	2.9821644073010326e-22	0.3504199827477831	0.001268679837570178	-4.736217464331902	7.028003832169955e-23
ENSMUSG00000029059	Fam213b	Prxl2b	66469	peroxiredoxin like 2B	-12.432799130062888	3.225380200080791e-22	-0.6151553631596668	5.004884435194565e-6	-0.5510978547001761	1.5699904854054108e-5
ENSMUSG00000040272	Accs	Accs	329470	1-aminocyclopropane-1-carboxylate synthase (non-functional)	-3.068097256649272	3.347781122271311e-22	-2.1070810302947316	5.448761718371899e-18	0.29473096603011206	0.0018311887350013014
ENSMUSG00000029915	Clec5a	Clec5a	23845	C-type lectin domain family 5, member a	-2.687700252017648	4.579034236602978e-22	-3.373459380382529	1.7418119832615024e-22	0.7584872089486069	2.9128385354268437e-10
ENSMUSG00000028080	Lrba	Lrba	80877	LPS-responsive beige-like anchor	-2.8405662068880564	4.579034236602978e-22	-2.6183899279185443	4.009175558899669e-20	0.43465976505614295	1.667657441862705e-5
ENSMUSG00000002190	Clgn	Clgn	12745	calmegin	-5.31075210353481	5.54258832234115e-22	-1.4429902160378825	1.762443951537083e-11	0.29906926245814386	0.02050197261025856
