ENSMUSG	Orig_Symbol	Symbol	Entrezid	Genename	logFC	logCPM	F	PValue	FDR	coef	cluster
ENSMUSG00000059751	Rps3a3	NA	NA	NA	-10.31501442523445	8.629974952345606	1265.767741387264	2.9744316401997287e-42	3.149625663807493e-38	StrainB6	7
ENSMUSG00000054702	Ap1s3	Ap1s3	252903	adaptor-related protein complex AP-1, sigma 3	3.418184292859535	9.77247575340877	607.516713598806	3.2169118807046948e-34	1.7031939952391006e-30	StrainB6	7
ENSMUSG00000069892	9930111J21Rik2	9930111J21Rik2	245240	RIKEN cDNA 9930111J21 gene 2	5.948527652093961	7.904031590321661	558.8783084609361	3.521993275016699e-33	1.2431462263050609e-29	StrainB6	7
ENSMUSG00000022671	Mzt2	Mzt2	72083	mitotic spindle organizing protein 2	-2.9706551690459526	7.943165105448656	459.1652263126157	9.102951174901355e-31	2.4097787497757613e-27	StrainB6	7
ENSMUSG00000084416	Rpl10a-ps1	NA	NA	NA	12.20726629476985	8.43170033772412	663.3740737434546	4.158289025516096e-30	8.806424498237988e-27	StrainB6	7
ENSMUSG00000030124	Lag3	Lag3	16768	lymphocyte-activation gene 3	5.892665845604271	7.487366164149524	419.8003027576125	1.0998631753966928e-29	1.94107519404593e-26	StrainB6	7
ENSMUSG00000073599	Ecscr	Ecscr	68545	endothelial cell surface expressed chemotaxis and apoptosis regulator	7.50900501537139	7.5002149218794285	409.87192641325635	2.1292991948628296e-29	3.221021310628929e-26	StrainB6	7
ENSMUSG00000023764	Sfi1	Sfi1	78887	Sfi1 homolog, spindle assembly associated (yeast)	-2.6640213761219247	8.7385097617626	378.79407545340814	1.8490332362101705e-28	2.2346791427804697e-25	StrainB6	7
ENSMUSG00000072692	Rpl37rt	Rpl37rt	100502825	ribosomal protein L37, retrotransposed	9.87303466855403	8.644292455213117	652.4517430258179	1.8993400968008525e-28	2.2346791427804697e-25	StrainB6	7
ENSMUSG00000020100	Slc29a3	Slc29a3	71279	solute carrier family 29 (nucleoside transporters), member 3	-2.2038218979837954	9.29930757183165	341.54417654990993	3.0437358633576235e-27	3.2230119057093877e-24	StrainB6	7
ENSMUSG00000027848	Olfml3	Olfml3	99543	olfactomedin-like 3	3.4598303037358775	10.738221345762376	443.6629821016441	3.950396612546149e-27	3.802795430022834e-24	StrainB6	7
ENSMUSG00000101496	Gm8885	NA	NA	NA	-7.120281643195559	5.5791923251988615	307.4310500087786	5.0146311218220136e-26	4.424994079081108e-23	StrainB6	7
ENSMUSG00000060198	Gm11353	NA	NA	NA	-11.396964337264864	7.0640807935662275	665.8898248623415	1.127224666135019e-25	8.792475538536027e-23	StrainB6	7
