ENSMUSG	Orig_Symbol	Symbol	Entrezid	Genename	PWK_logFC	PWK_FDR	B6J_logFC	B6J_FDR	CAST_logFC	CAST_FDR
ENSMUSG00000017002	Slpi	Slpi	20568	secretory leukocyte peptidase inhibitor	9.672462732704565	6.6072062485039825e-24	-0.8729005784283134	0.8320945580062514	-3.1182156523966076	0.13286048517895602
ENSMUSG00000097554	Gm26825	NA	NA	NA	11.084514862500502	1.8676349466775726e-20	-0.14620299455997454	0.9636292439345059	10.384902653722529	2.3820619659218927e-20
ENSMUSG00000072692	Rpl37rt	Rpl37rt	100502825	ribosomal protein L37, retrotransposed	-8.891111060878071	1.4079507499760158e-19	0.5086520202251317	0.06065464709784423	-5.49309790983107	3.0022819511326004e-22
ENSMUSG00000027014	Cwc22	Cwc22	80744	CWC22 spliceosome-associated protein	-5.672610099775416	1.7364531619055877e-19	-4.81214978136359	1.5725811599650882e-20	-4.10624343908981	2.180914554333675e-21
ENSMUSG00000064345	mt-Nd2	ND2	17717	NADH dehydrogenase subunit 2	-3.6604031774914487	2.835090124920627e-18	0.1015502006847913	0.8208382599010177	-3.0408550785835238	8.028228829350286e-19
ENSMUSG00000019122	Ccl9	Ccl9	20308	chemokine (C-C motif) ligand 9	-4.367989031518492	2.835090124920627e-18	-2.427198707556455	6.84288686733462e-14	-0.40728290448972637	0.07388081640547317
ENSMUSG00000073599	Ecscr	Ecscr	68545	endothelial cell surface expressed chemotaxis and apoptosis regulator	-6.776036598446959	6.42748594924065e-17	-0.33562476525584084	0.27593808039928697	-1.4753249451863708	3.2800949032877074e-9
ENSMUSG00000027315	Spint1	Spint1	20732	serine protease inhibitor, Kunitz type 1	10.412763331328263	1.494239989074728e-16	8.94721875364596	1.9247641910884072e-12	-0.030924261654165057	1
ENSMUSG00000022671	Mzt2	Mzt2	72083	mitotic spindle organizing protein 2	2.8854411258516413	2.608282708649096e-16	-0.049399606256437086	0.9501321317596272	2.068179688615267	6.119695760338506e-13
ENSMUSG00000038400	Pmepa1	Pmepa1	65112	prostate transmembrane protein, androgen induced 1	-2.792851119738928	2.677266517556623e-16	-1.0622171253232011	8.989362631844358e-7	-0.8549479935166309	1.6827172112821374e-5
ENSMUSG00000054702	Ap1s3	Ap1s3	252903	adaptor-related protein complex AP-1, sigma 3	-3.207480655826419	2.9090831416964534e-16	-0.13640735058292505	0.7422828973133777	-3.2928341305886346	1.9423134497509083e-19
ENSMUSG00000030124	Lag3	Lag3	16768	lymphocyte-activation gene 3	-7.1975396200283965	4.947221696275835e-16	0.02612312916062172	0.9974516276917202	-3.189870875869795	3.2964970726350454e-17
ENSMUSG00000064351	mt-Co1	COX1	17708	cytochrome c oxidase subunit I	2.834841967884759	5.515445611452536e-16	0.2785758612131451	0.4275211828123304	2.524169215451297	1.538278083835511e-15
