ENSMUSG	Orig_Symbol	Symbol	Entrezid	Genename	logFC	logCPM	F	PValue	FDR	coef	cluster
ENSMUSG00000027014	Cwc22	Cwc22	80744	CWC22 spliceosome-associated protein	-6.023853792932033	7.879157763370071	643.0116350963366	3.5178564126700054e-34	3.25225825351342e-30	StrainPWK	10
ENSMUSG00000017002	Slpi	Slpi	20568	secretory leukocyte peptidase inhibitor	12.418547455124912	7.9596689082469565	1054.5989159616418	1.673056806866838e-32	7.733705089741959e-29	StrainPWK	10
ENSMUSG00000097554	Gm26825	NA	NA	NA	11.007424573549	7.236150409670518	632.3374119815983	6.302051471723276e-32	1.9420821952027227e-28	StrainPWK	10
ENSMUSG00000054702	Ap1s3	Ap1s3	252903	adaptor-related protein complex AP-1, sigma 3	-3.260330435613493	9.613783052092554	459.9408121786112	3.604436444570256e-30	8.330753732513004e-27	StrainPWK	10
ENSMUSG00000058603	Rpl28-ps1	NA	NA	NA	10.815918208100316	7.8027196906199325	506.05587023031205	1.7294168501471922e-29	3.1976917559221583e-26	StrainPWK	10
ENSMUSG00000060198	Gm11353	NA	NA	NA	8.29957212951642	6.619932245680116	426.81452808786815	1.7235444963820867e-28	2.6556948115087316e-25	StrainPWK	10
ENSMUSG00000073599	Ecscr	Ecscr	68545	endothelial cell surface expressed chemotaxis and apoptosis regulator	-8.577606761711234	7.49235987258471	405.49438269031305	6.756420501617828e-28	8.923301076779545e-25	StrainPWK	10
ENSMUSG00000020100	Slc29a3	Slc29a3	71279	solute carrier family 29 (nucleoside transporters), member 3	2.8429172795883484	8.934637033282348	372.64034388512863	1.001265890369546e-27	1.1570878945583067e-24	StrainPWK	10
ENSMUSG00000027199	Gatm	Gatm	67092	glycine amidinotransferase (L-arginine:glycine amidinotransferase)	-3.0422771062889713	8.95130316871205	301.01113377294513	2.5524283238091977e-25	2.6219110948462258e-22	StrainPWK	10
ENSMUSG00000001418	Glmp	Glmp	56700	glycosylated lysosomal membrane protein	-4.2592408163506175	7.546892688523451	292.47065867713417	5.312130998630598e-25	4.911065108233988e-22	StrainPWK	10
ENSMUSG00000038400	Pmepa1	Pmepa1	65112	prostate transmembrane protein, androgen induced 1	-2.5020829533525193	9.880215424329332	277.8709561632367	1.939655205801293e-24	1.6301920343302686e-21	StrainPWK	10
ENSMUSG00000022671	Mzt2	Mzt2	72083	mitotic spindle organizing protein 2	2.971651251783151	7.543344110731949	270.59163379829937	3.778445229002843e-24	2.91097717851094e-21	StrainPWK	10
ENSMUSG00000030124	Lag3	Lag3	16768	lymphocyte-activation gene 3	-5.402193711288603	7.533450922883755	299.8830824439461	1.1562871837324828e-23	8.222980779697542e-21	StrainPWK	10
ENSMUSG00000084416	Rpl10a-ps1	NA	NA	NA	-11.484763113799703	8.432687246808724	501.39654558750163	4.064385252219917e-22	2.6839458326266525e-19	StrainPWK	10
ENSMUSG00000035929	H2-Q4	H2-Q4	15015	histocompatibility 2, Q region locus 4	-4.226511797926394	7.804884181407447	223.0567435131486	4.379834916080133e-22	2.6994382532773887e-19	StrainPWK	10
ENSMUSG00000072692	Rpl37rt	Rpl37rt	100502825	ribosomal protein L37, retrotransposed	-7.723299473518859	8.403208204246331	422.70223578382667	1.6740646389205135e-21	9.672954741762592e-19	StrainPWK	10
