ENSMUSG	Orig_Symbol	Symbol	Entrezid	Genename	logFC	logCPM	F	PValue	FDR	coef	cluster
ENSMUSG00000048758	Rpl29	Rpl29	19944	ribosomal protein L29	6.838278210388022	9.121476638758343	820.2593096891387	2.0053594800815276e-19	3.440595259975877e-15	StrainCAST-GenotypeAPP-PS1	H
ENSMUSG00000080746	Rpsa-ps12	NA	NA	NA	5.5781444128593245	0.8612290119863462	135.5329310932666	3.6248229226779554e-12	3.109554344219284e-8	StrainCAST-GenotypeAPP-PS1	H
ENSMUSG00000032528	Vipr1	Vipr1	22354	vasoactive intestinal peptide receptor 1	2.928178219322623	1.2879142107918335	85.7880600022116	5.755712985612698e-10	2.614889696908052e-6	StrainCAST-GenotypeAPP-PS1	H
ENSMUSG00000060586	H2-Eb1	H2-Eb1	14969	histocompatibility 2, class II antigen E beta	2.8685831037917544	2.1969259633819314	85.32197688970854	6.096379779467394e-10	2.614889696908052e-6	StrainCAST-GenotypeAPP-PS1	H
ENSMUSG00000032076	Cadm1	Cadm1	54725	cell adhesion molecule 1	0.8436158572974669	6.936484431258528	44.82956601139645	3.0771323469279113e-7	0.0010558871935248434	StrainCAST-GenotypeAPP-PS1	H
ENSMUSG00000020077	Srgn	Srgn	19073	serglycin	1.0330781674894045	7.666407138639294	41.26326166691283	7.779330998553819e-7	0.00205530796144541	StrainCAST-GenotypeAPP-PS1	H
ENSMUSG00000032549	Rab6b	Rab6b	270192	RAB6B, member RAS oncogene family	5.973803700912934	5.07890961193515	52.4269051254537	9.030849984059408e-7	0.00205530796144541	StrainCAST-GenotypeAPP-PS1	H
ENSMUSG00000057596	Trim30d	Trim30d	209387	tripartite motif-containing 30D	1.2249008065921307	4.799570139755429	39.22499330311026	9.58353074055096e-7	0.00205530796144541	StrainCAST-GenotypeAPP-PS1	H
ENSMUSG00000032518	Rpsa	Rpsa	16785	ribosomal protein SA	-0.9972364402818966	9.341928798558229	34.55755937111311	3.295229440191442e-6	0.006281805722818286	StrainCAST-GenotypeAPP-PS1	H
ENSMUSG00000032691	Nlrp3	Nlrp3	216799	NLR family, pyrin domain containing 3	-1.2475639733025874	5.6790722888068235	34.595798189831804	5.416611800513182e-6	0.009293280866140466	StrainCAST-GenotypeAPP-PS1	H
ENSMUSG00000023067	Cdkn1a	Cdkn1a	12575	cyclin-dependent kinase inhibitor 1A (P21)	-1.8379792894760256	4.32186425290096	32.765134026670836	1.1099584187762175e-5	0.01731232417358506	StrainCAST-GenotypeAPP-PS1	H
ENSMUSG00000032443	Zcwpw2	NA	NA	NA	-1.3217300045655496	1.994445059407815	28.214603973574043	1.2307342330151e-5	0.01759642269653339	StrainCAST-GenotypeAPP-PS1	H
ENSMUSG00000021508	Cxcl14	Cxcl14	57266	chemokine (C-X-C motif) ligand 14	4.241194238667308	0.8169687749046932	24.907867754123128	5.3247030534987306e-5	0.0678285197801816	StrainCAST-GenotypeAPP-PS1	H
ENSMUSG00000006673	Qrich1	Qrich1	69232	glutamine-rich 1	0.4733885052406192	5.709566913120751	22.502671346126068	5.756178157415208e-5	0.0678285197801816	StrainCAST-GenotypeAPP-PS1	H
ENSMUSG00000032530	Lyzl4	Lyzl4	69032	lysozyme-like 4	-1.236843615218984	2.894714575369824	22.398802136848037	5.9301031456707126e-5	0.0678285197801816	StrainCAST-GenotypeAPP-PS1	H
