ENSMUSG	Orig_Symbol	Symbol	Entrezid	Genename	logFC	logCPM	F	PValue	FDR	coef	cluster
ENSMUSG00000073599	Ecscr	Ecscr	68545	endothelial cell surface expressed chemotaxis and apoptosis regulator	7.323238477040482	7.891313950648994	5406.295525648592	3.071641559933935e-33	5.270015424378652e-29	StrainB6	H
ENSMUSG00000035686	Thrsp	Thrsp	21835	thyroid hormone responsive	6.171927723317626	6.627564979922893	3287.7454370270225	2.836721704168275e-30	2.4334817139207547e-26	StrainB6	H
ENSMUSG00000027669	Gnb4	Gnb4	14696	guanine nucleotide binding protein (G protein), beta 4	-7.054895173651695	6.0396614607121215	2825.6570072783625	2.2581864403084743e-29	1.2914568252124165e-25	StrainB6	H
ENSMUSG00000032878	Ccdc85a	Ccdc85a	216613	coiled-coil domain containing 85A	-12.504334645238453	4.827582151103235	1971.2198931113592	3.0915488685350204e-27	1.3260425984363835e-23	StrainB6	H
ENSMUSG00000022671	Mzt2	Mzt2	72083	mitotic spindle organizing protein 2	-3.114757400861543	7.888881748647693	1906.8765116529235	4.859642118698853e-27	1.6675375966103245e-23	StrainB6	H
ENSMUSG00000093190	Gm22875	NA	NA	NA	-9.479302291948564	3.741403400071617	1824.4833673417008	8.869619409743607e-27	2.5007144668388213e-23	StrainB6	H
ENSMUSG00000069892	9930111J21Rik2	9930111J21Rik2	245240	RIKEN cDNA 9930111J21 gene 2	5.574461485905158	7.327203302854307	1805.8162339047344	1.0202833402035174e-26	2.5007144668388213e-23	StrainB6	H
ENSMUSG00000103653	Gm3934	NA	NA	NA	11.783883638915507	5.899956087383863	2158.6669726725845	2.838336514439231e-26	6.087167447279236e-23	StrainB6	H
ENSMUSG00000002104	Rapsn	Rapsn	19400	receptor-associated protein of the synapse	8.41500858514967	4.3468011008478875	1593.3981449184541	5.597654599662172e-26	1.0670995551822654e-22	StrainB6	H
ENSMUSG00000029915	Clec5a	Clec5a	23845	C-type lectin domain family 5, member a	3.3734593803758397	6.449006649138321	1525.0732182099518	1.0152197406469391e-25	1.7418125090279534e-22	StrainB6	H
ENSMUSG00000045287	Rtn4rl1	Rtn4rl1	237847	reticulon 4 receptor-like 1	4.493930065744199	6.172745838018495	1514.3208410952122	1.117591482804535e-25	1.7431379154979459e-22	StrainB6	H
ENSMUSG00000017002	Slpi	Slpi	20568	secretory leukocyte peptidase inhibitor	-11.845430882855808	7.69793466875782	2374.7550195077606	1.389636931918914e-25	1.9868334034110673e-22	StrainB6	H
ENSMUSG00000030124	Lag3	Lag3	16768	lymphocyte-activation gene 3	7.070309762101141	7.368576414036776	1726.9447958642136	1.7287757719576602e-25	2.2815850707290443e-22	StrainB6	H
ENSMUSG00000029207	Apbb2	Apbb2	11787	amyloid beta (A4) precursor protein-binding, family B, member 2	6.120626182909303	4.944231062035648	1426.617514168693	2.5112639233200175e-25	3.0775539380286814e-22	StrainB6	H
ENSMUSG00000042249	Adrbk2	Grk3	320129	G protein-coupled receptor kinase 3	4.838705077340314	4.836707172990603	1410.6711510387981	2.9248030005987325e-25	3.34538967208483e-22	StrainB6	H
ENSMUSG00000093249	Gm24576	NA	NA	NA	-6.765014286446738	4.527914584860638	1403.6125929528148	3.1306633983963665e-25	3.3570494953929037e-22	StrainB6	H
ENSMUSG00000025576	Rbfox3	Rbfox3	52897	RNA binding protein, fox-1 homolog (C. elegans) 3	-6.082876215944804	5.13719283055317	1369.7256010943397	4.360264274723876e-25	4.266462469611398e-22	StrainB6	H
