ENSMUSG	Orig_Symbol	Symbol	Entrezid	Genename	logFC	logCPM	F	PValue	FDR	coef	cluster
ENSMUSG00000022817	Itgb5	Itgb5	16419	integrin beta 5	4.67262134424473	9.297383399790897	777.8701889592876	2.4169121724874112e-37	1.6687102924560494e-33	StrainWSB	7
ENSMUSG00000054702	Ap1s3	Ap1s3	252903	adaptor-related protein complex AP-1, sigma 3	3.4293514010161377	9.772475753414573	770.8736302507679	3.151780701588534e-37	1.6687102924560494e-33	StrainWSB	7
ENSMUSG00000059751	Rps3a3	NA	NA	NA	9.463158618298001	8.629974952431343	791.2188437304163	1.9684414744607707e-36	6.947942257688367e-33	StrainWSB	7
ENSMUSG00000027014	Cwc22	Cwc22	80744	CWC22 spliceosome-associated protein	4.5822951984647515	7.85267199880269	675.1419510475357	1.5182751272094134e-35	4.01925383050512e-32	StrainWSB	7
ENSMUSG00000062611	Rps3a2	NA	NA	NA	-8.842163440382903	8.237795843027731	834.5214326070052	2.2917241388280996e-35	4.85341338121015e-32	StrainWSB	7
ENSMUSG00000030246	Ldhb	Ldhb	16832	lactate dehydrogenase B	-3.973954204755022	8.628786544793154	603.6565145013739	3.864780677156374e-34	6.8206937650681406e-31	StrainWSB	7
ENSMUSG00000082926	Gm8172	NA	NA	NA	-7.0329425270429	7.210151512106851	522.2756585670998	2.421594195374578e-32	3.6631801335459153e-29	StrainWSB	7
ENSMUSG00000026458	Ppfia4	Ppfia4	68507	protein tyrosine phosphatase, receptor type, f polypeptide (PTPRF), interacting protein (liprin), alpha 4	3.707171937662945	7.854038018376397	388.7819419310105	9.083105031214388e-29	1.2022624896941143e-25	StrainWSB	7
ENSMUSG00000101776	Gm28268	NA	NA	NA	3.6467572262524857	8.142572281386647	350.47432174260194	2.2309865371739782e-27	2.624879604681695e-24	StrainWSB	7
ENSMUSG00000022769	Sdf2l1	Sdf2l1	64136	stromal cell-derived factor 2-like 1	3.954263927651157	7.18457357482368	340.3379599630008	3.346958506606257e-27	3.544094362645365e-24	StrainWSB	7
ENSMUSG00000072692	Rpl37rt	Rpl37rt	100502825	ribosomal protein L37, retrotransposed	5.864234461948532	8.644292454984054	561.7439799841892	4.4063001523192064e-27	4.241664755718916e-24	StrainWSB	7
ENSMUSG00000108365	RP24-174G2.2	NA	NA	NA	3.6800538916275154	8.176050672029058	341.964261170515	9.295497004538881e-27	8.202501481755184e-24	StrainWSB	7
ENSMUSG00000083483	Gm14044	NA	NA	NA	-6.21911795410887	7.162092877743911	412.88774386980816	1.2318890582075761e-26	1.0034210182584633e-23	StrainWSB	7
ENSMUSG00000030148	Clec4a2	Clec4a2	26888	C-type lectin domain family 4, member a2	-3.913179909784671	6.962364761561578	318.71775686615496	1.9303157616267755e-26	1.4600081142761376e-23	StrainWSB	7
ENSMUSG00000071419	Rps15-ps2	NA	NA	NA	-5.49781170291805	6.527806093803141	306.4631735744711	5.44980522693196e-26	3.847199169865501e-23	StrainWSB	7
ENSMUSG00000048758	Rpl29	Rpl29	19944	ribosomal protein L29	6.503767934166649	9.255068330526026	569.1763573754123	6.634408041493492e-26	4.390734171960912e-23	StrainWSB	7
ENSMUSG00000028391	Wdr31	Wdr31	71354	WD repeat domain 31	-4.150250820757449	8.259774135782616	467.3372374246831	7.808989790534714e-26	4.8640819348218875e-23	StrainWSB	7
ENSMUSG00000096979	Gm26880	NA	NA	NA	-8.619911838948346	6.009591496678664	302.08848790110886	1.124413753242311e-25	6.614676240601573e-23	StrainWSB	7
ENSMUSG00000023341	Mx2	Mx2	17858	MX dynamin-like GTPase 2	-3.528010951103768	7.745542513755259	312.6102240511452	1.279361676113782e-25	7.130084625457283e-23	StrainWSB	7
ENSMUSG00000069892	9930111J21Rik2	9930111J21Rik2	245240	RIKEN cDNA 9930111J21 gene 2	3.8878724842035473	7.9040315898405495	286.9636666312032	3.0582453608082817e-25	1.619188006279945e-22	StrainWSB	7
ENSMUSG00000063253	Scoc	Scoc	56367	short coiled-coil protein	2.7442883059873373	8.147301019396899	251.6038219455751	9.064299849578096e-24	4.570565290818213e-21	StrainWSB	7
ENSMUSG00000019055	Plod1	Plod1	18822	procollagen-lysine, 2-oxoglutarate 5-dioxygenase 1	2.8674438835112013	7.295438125110107	245.49161903694284	1.6923625284048273e-23	8.145648551490325e-21	StrainWSB	7
ENSMUSG00000030124	Lag3	Lag3	16768	lymphocyte-activation gene 3	3.2177866172088057	7.4873661639233795	240.88969929853744	2.7304344690684e-23	1.2570682866506644e-20	StrainWSB	7
ENSMUSG00000047250	Ptgs1	Ptgs1	19224	prostaglandin-endoperoxide synthase 1	1.922833692409332	8.899459776460672	234.78105770640047	5.2109361515319206e-23	2.2991084545238126e-20	StrainWSB	7
ENSMUSG00000020717	Pecam1	Pecam1	18613	platelet/endothelial cell adhesion molecule 1	-2.901936729568086	6.753619743631206	231.05829805814705	7.777128257888231e-23	3.294080444911139e-20	StrainWSB	7
ENSMUSG00000028080	Lrba	Lrba	80877	LPS-responsive beige-like anchor	3.2651848741774554	7.077608691185129	215.90803244707652	4.188916388488463e-22	1.7060167552963206e-19	StrainWSB	7
ENSMUSG00000024084	Qpct	Qpct	70536	glutaminyl-peptide cyclotransferase (glutaminyl cyclase)	6.9821155683520955	5.395714967385601	218.90389599474622	1.0527823099719063e-21	4.1288562519601905e-19	StrainWSB	7
