ENSMUSG	Orig_Symbol	Symbol	Entrezid	Genename	logFC	logCPM	F	PValue	FDR	coef	cluster
ENSMUSG00000026249	Serpine2	Serpine2	20720	serine (or cysteine) peptidase inhibitor, clade E, member 2	2.2232047042825607	8.61016739976725	45.17885129406442	5.510883448795999e-10	3.194108046922161e-6	GenotypeAPP-PS1	8
ENSMUSG00000030342	Cd9	Cd9	12527	CD9 antigen	1.0900302189822966	11.00687162715332	26.357368894823853	1.040988258948286e-6	0.003016783974432133	GenotypeAPP-PS1	8
ENSMUSG00000050370	Ch25h	Ch25h	12642	cholesterol 25-hydroxylase	4.818295020672478	4.851454600096758	23.729893665537602	2.7182431267773895e-5	0.05251645720933917	GenotypeAPP-PS1	8
ENSMUSG00000085791	Rpl30-ps9	NA	NA	NA	1.179437526421311	7.559764530449765	18.11467125175309	4.014452860121174e-5	0.05816942194315581	GenotypeAPP-PS1	8
ENSMUSG00000002602	Axl	Axl	26362	AXL receptor tyrosine kinase	1.9339198021313342	5.112468733563281	16.48738315821785	8.523895901310531e-5	0.09880900128799168	GenotypeAPP-PS1	8
ENSMUSG00000072620	Slfn2	Slfn2	20556	schlafen 2	2.06689482397686	4.882064883712491	14.546072099143016	2.1267208419759707e-4	0.18135965062072093	GenotypeAPP-PS1	8
ENSMUSG00000002985	Apoe	Apoe	11816	apolipoprotein E	2.8430618777245007	10.40398292195718	20.916454272498225	2.2807739170919192e-4	0.18135965062072093	GenotypeAPP-PS1	8
ENSMUSG00000030789	Itgax	Itgax	16411	integrin alpha X	3.3053563129279278	4.734990237928402	14.013802007289502	2.741545213728451e-4	0.18135965062072093	GenotypeAPP-PS1	8
ENSMUSG00000028410	Dnaja1	Dnaja1	15502	DnaJ heat shock protein family (Hsp40) member A1	-0.9911467235341233	7.6066163631701205	13.957709452778765	2.816143643178896e-4	0.18135965062072093	GenotypeAPP-PS1	8
ENSMUSG00000022303	Dcstamp	Dcstamp	75766	dendrocyte expressed seven transmembrane protein	4.050752581375586	4.703050950558516	14.455173041413413	3.29848614160294e-4	0.1911802567673064	GenotypeAPP-PS1	8
ENSMUSG00000068129	Cst7	Cst7	13011	cystatin F (leukocystatin)	5.542500738063308	7.493811626084185	18.072634731280314	4.674091980233879e-4	0.22342491914897225	GenotypeAPP-PS1	8
ENSMUSG00000017002	Slpi	Slpi	20568	secretory leukocyte peptidase inhibitor	0.8927364520911044	8.467960877718195	12.84955371783256	4.955783623363586e-4	0.22342491914897225	GenotypeAPP-PS1	8
