ENSMUSG	Orig_Symbol	Symbol	Entrezid	Genename	logFC	logCPM	F	PValue	FDR	coef	cluster
ENSMUSG00000029810	Tmem176b	Tmem176b	65963	transmembrane protein 176B	2.3895840644666433	9.311820839176798	57.28003696585156	3.882333449261869e-10	3.0880913515294017e-6	StrainWSB-GenotypeAPP-PS1	6
ENSMUSG00000023367	Tmem176a	Tmem176a	66058	transmembrane protein 176A	2.6455662424529547	9.07654779792254	57.432126324941834	6.838111938727638e-10	3.0880913515294017e-6	StrainWSB-GenotypeAPP-PS1	6
ENSMUSG00000047675	Rps8	Rps8	20116	ribosomal protein S8	-1.594860819908009	10.971196410001571	37.39428197182794	9.262243314190408e-8	2.7885527204589254e-4	StrainWSB-GenotypeAPP-PS1	6
ENSMUSG00000059775	Rps26-ps1	NA	NA	NA	4.3086200947902915	3.027528638772357	30.712442700229545	2.4693952575578687e-6	0.005575894491565667	StrainWSB-GenotypeAPP-PS1	6
ENSMUSG00000078087	Rps12l1	NA	NA	NA	8.439652747114494	10.59046148245126	37.05113460153008	8.742279242609887e-6	0.0157920532238505	StrainWSB-GenotypeAPP-PS1	6
ENSMUSG00000109268	RP23-26C21.3	NA	NA	NA	2.36313322351387	4.352030152269935	22.98596656192403	1.2066341146407897e-5	0.018163865539059354	StrainWSB-GenotypeAPP-PS1	6
ENSMUSG00000026288	Inpp5d	Inpp5d	16331	inositol polyphosphate-5-phosphatase D	-1.3546487044098399	8.617468366855393	22.163711183502667	1.6392072406867257e-5	0.021150456854117865	StrainWSB-GenotypeAPP-PS1	6
ENSMUSG00000020377	Ltc4s	Ltc4s	17001	leukotriene C4 synthase	-1.159198534239606	9.096128199819955	19.70679876612906	4.185570634848544e-5	0.04536054043115152	StrainWSB-GenotypeAPP-PS1	6
ENSMUSG00000035559	Mpv17l2	Mpv17l2	234384	MPV17 mitochondrial membrane protein-like 2	2.4574456689290636	4.848033938295716	19.50925238049926	4.51998299247524e-5	0.04536054043115152	StrainWSB-GenotypeAPP-PS1	6
ENSMUSG00000035352	Ccl12	Ccl12	20293	chemokine (C-C motif) ligand 12	5.657621066789044	6.8116412983761325	30.577856701657048	5.339017974225155e-5	0.0482220103432016	StrainWSB-GenotypeAPP-PS1	6
