ENSMUSG	Orig_Symbol	Symbol	Entrezid	Genename	logFC	logCPM	F	PValue	FDR	coef	cluster
ENSMUSG00000073599	Ecscr	Ecscr	68545	endothelial cell surface expressed chemotaxis and apoptosis regulator	5.574835866495793	7.891313950648994	3481.9609089431506	1.2915866719414547e-30	2.215975253049954e-26	StrainCAST	H
ENSMUSG00000035686	Thrsp	Thrsp	21835	thyroid hormone responsive	5.7203759867319866	6.627564979922893	2888.103017076127	1.674208316920393e-29	1.436219604670159e-25	StrainCAST	H
ENSMUSG00000037683	Armc3	Armc3	70882	armadillo repeat containing 3	6.48868912483313	5.564921941151053	2751.815855905251	3.2444830664047196e-29	1.8555198656768592e-25	StrainCAST	H
ENSMUSG00000028184	Adgrl2	Adgrl2	99633	adhesion G protein-coupled receptor L2	-10.232947316666936	5.420868491918163	2050.162796983062	1.8098584438411192e-27	7.762935330245521e-24	StrainCAST	H
ENSMUSG00000032878	Ccdc85a	Ccdc85a	216613	coiled-coil domain containing 85A	-7.298884819871458	4.827582151103235	1821.9222209394013	9.04091886764196e-27	3.1023009002426625e-23	StrainCAST	H
ENSMUSG00000019055	Plod1	Plod1	18822	procollagen-lysine, 2-oxoglutarate 5-dioxygenase 1	-2.7427953522353112	7.379916091713745	1778.9611745855489	1.2511451794742902e-26	3.577649640706733e-23	StrainCAST	H
ENSMUSG00000103653	Gm3934	NA	NA	NA	11.870799364305373	5.899956087383863	2208.1274875586832	2.1299916271631114e-26	5.220609478176786e-23	StrainCAST	H
ENSMUSG00000017002	Slpi	Slpi	20568	secretory leukocyte peptidase inhibitor	-14.080085945274085	7.69793466875782	2668.3133370132487	3.4581150828282823e-26	7.416360059510605e-23	StrainCAST	H
ENSMUSG00000030246	Ldhb	Ldhb	16832	lactate dehydrogenase B	4.277125983099305	8.732457656948354	1612.8738768966325	4.745716515550981e-26	9.046917584145353e-23	StrainCAST	H
ENSMUSG00000093190	Gm22875	NA	NA	NA	-5.981741150179678	3.741403400071617	1590.9469249022586	5.715994862050729e-26	9.806932384820437e-23	StrainCAST	H
ENSMUSG00000015314	Slamf6	Slamf6	30925	SLAM family member 6	-4.745245276971425	5.2579876682485285	1542.1615308410437	8.726549228550847e-26	1.3067176749188057e-22	StrainCAST	H
ENSMUSG00000079110	Capn3	Capn3	12335	calpain 3	-3.8308044202834934	6.0237140831618214	1536.9205531111654	9.139483650420044e-26	1.3067176749188057e-22	StrainCAST	H
ENSMUSG00000068566	Myadm	Myadm	50918	myeloid-associated differentiation marker	-5.684409186750686	5.826741037038515	1535.1178173114897	1.8494370113794852e-25	2.440830061864448e-22	StrainCAST	H
ENSMUSG00000032076	Cadm1	Cadm1	54725	cell adhesion molecule 1	-3.5905426584491567	6.936484430920989	1448.8550373169026	2.0359729759576326e-25	2.4950848820360786e-22	StrainCAST	H
ENSMUSG00000027315	Spint1	Spint1	20732	serine protease inhibitor, Kunitz type 1	-12.866580951421966	6.332405737405076	2492.14204447281	2.210632534111504e-25	2.5285214925167382e-22	StrainCAST	H
ENSMUSG00000022332	Khdrbs3	Khdrbs3	13992	KH domain containing, RNA binding, signal transduction associated 3	7.794180924718386	5.8592733850255945	1455.6332505141525	3.543094768957627e-25	3.7993048094378753e-22	StrainCAST	H
ENSMUSG00000051950	B3glct	B3glct	381694	beta-3-glucosyltransferase	-3.5419980186752293	5.074916351107513	1357.7334071605885	4.912095688091444e-25	4.957460336504995e-22	StrainCAST	H
ENSMUSG00000030148	Clec4a2	Clec4a2	26888	C-type lectin domain family 4, member a2	3.998634675374877	7.117685382746179	1325.3175150682478	6.814567117824476e-25	6.495418224473029e-22	StrainCAST	H
ENSMUSG00000035258	Abi3bp	Abi3bp	320712	ABI gene family, member 3 (NESH) binding protein	7.0228287481440805	4.807941496109335	1302.0362828099187	8.662947576839602e-25	7.769914207733545e-22	StrainCAST	H
ENSMUSG00000025746	Il6	Il6	16193	interleukin 6	-7.496729588393985	4.219021771672766	1297.7608006027356	9.057427531309139e-25	7.769914207733545e-22	StrainCAST	H
ENSMUSG00000026335	Pam	Pam	18484	peptidylglycine alpha-amidating monooxygenase	6.73085050904611	4.736219811195338	1279.1526063185006	1.101307222193094e-24	8.997680005317578e-22	StrainCAST	H
ENSMUSG00000018417	Myo1b	Myo1b	17912	myosin IB	-3.167997858011293	6.664283224858268	1269.8678479299808	1.2154178102186086e-24	9.299919191934547e-22	StrainCAST	H
ENSMUSG00000026249	Serpine2	Serpine2	20720	serine (or cysteine) peptidase inhibitor, clade E, member 2	3.717827089565819	7.848881340130183	1267.4845685222867	1.2467106219880783e-24	9.299919191934547e-22	StrainCAST	H
ENSMUSG00000094403	Mir692-2	Mir692-2	735288	microRNA 692-2	7.46317902892714	3.7205935469785016	1806.5022721581822	1.4375646866095337e-24	1.0276790553399903e-21	StrainCAST	H
ENSMUSG00000022505	Emp2	Emp2	13731	epithelial membrane protein 2	11.562466224559119	4.8884652631961	1421.7968160914572	1.6986738773089953e-24	1.1657659085196173e-21	StrainCAST	H
ENSMUSG00000059142	Zfp945	Zfp945	240041	zinc finger protein 945	5.092919869206265	5.177914399381314	1230.693763081175	1.857035626053822e-24	1.1995920176338963e-21	StrainCAST	H
ENSMUSG00000020102	Slc16a7	Slc16a7	20503	solute carrier family 16 (monocarboxylic acid transporters), member 7	4.847826747665569	4.564783390680451	1229.1993880346502	1.8877999927793437e-24	1.1995920176338963e-21	StrainCAST	H
ENSMUSG00000021773	Comtd1	Comtd1	69156	catechol-O-methyltransferase domain containing 1	2.98944080368543	6.350240523695275	1215.4206608260336	2.198635860790253e-24	1.3472141236992276e-21	StrainCAST	H
ENSMUSG00000024340	Btnl2	Btnl2	547431	butyrophilin-like 2	10.02194876571915	4.077135132787067	1199.3219578481064	2.6328925038478743e-24	1.5576736789144132e-21	StrainCAST	H
ENSMUSG00000026656	Fcgr2b	Fcgr2b	14130	Fc receptor, IgG, low affinity IIb	3.118893657215707	7.486994888346543	1192.8062351749056	2.834055748198887e-24	1.6207964823949436e-21	StrainCAST	H
ENSMUSG00000026458	Ppfia4	Ppfia4	68507	protein tyrosine phosphatase, receptor type, f polypeptide (PTPRF), interacting protein (liprin), alpha 4	-3.1587079324794995	7.594194881051017	1173.3396739537109	3.539699060641651e-24	1.9590521543041552e-21	StrainCAST	H
ENSMUSG00000042182	Bend6	Bend6	320705	BEN domain containing 6	3.837510919462306	4.9147962068958115	1167.2645993011301	3.796827032682411e-24	2.035692543741629e-21	StrainCAST	H
ENSMUSG00000026564	Dusp27	Dusp27	240892	dual specificity phosphatase 27 (putative)	-8.378141645945806	3.73301247292834	1141.6073325490945	5.125944157715774e-24	2.619973669017798e-21	StrainCAST	H
ENSMUSG00000100783	2310047D07Rik	NA	NA	NA	-4.220026611998679	4.310305550844045	1140.5251876152088	5.191997712106145e-24	2.619973669017798e-21	StrainCAST	H
ENSMUSG00000029059	Fam213b	Prxl2b	66469	peroxiredoxin like 2B	-11.817643766976005	4.715199823683507	2158.132321570941	5.904964088654844e-24	2.8946133962586046e-21	StrainCAST	H
