ENSMUSG	Orig_Symbol	Symbol	Entrezid	Genename	logFC	logCPM	F	PValue	FDR	coef	cluster
ENSMUSG00000059751	Rps3a3	NA	NA	NA	11.53455919612515	8.432299687849419	904.3719068793931	3.5842910195200188e-37	3.313677047546257e-33	StrainPWK	10
ENSMUSG00000017002	Slpi	Slpi	20568	secretory leukocyte peptidase inhibitor	12.429111297187543	7.959668908677907	1270.3195628922458	3.162346055537943e-34	1.4617944641724141e-30	StrainPWK	10
ENSMUSG00000069515	Lyz1	Lyz1	17110	lysozyme 1	-11.394275081640693	7.101575711499011	687.053283094409	1.4218885192530165e-33	4.381786453498046e-30	StrainPWK	10
ENSMUSG00000038900	Rpl12	Rpl12	269261	ribosomal protein L12	4.5200352056643425	8.230311835758053	591.0883016836259	1.6105533009222194e-32	3.72239131675648e-29	StrainPWK	10
ENSMUSG00000048758	Rpl29	Rpl29	19944	ribosomal protein L29	8.188951730196086	9.060816300700244	775.0850659951292	4.3256627495690163e-32	7.998150423953111e-29	StrainPWK	10
ENSMUSG00000060198	Gm11353	NA	NA	NA	10.803371795240828	6.619932246704295	580.7199155970784	5.550313501893611e-32	8.552108054167738e-29	StrainPWK	10
ENSMUSG00000058603	Rpl28-ps1	NA	NA	NA	10.433630128899393	7.802719690182321	613.2875848909856	1.3710301138403244e-31	1.5854794579835178e-28	StrainPWK	10
ENSMUSG00000058064	Gm10036	NA	NA	NA	-11.28305206956809	7.160100724285475	577.3814904495084	1.3719670810025032e-31	1.5854794579835178e-28	StrainPWK	10
ENSMUSG00000030246	Ldhb	Ldhb	16832	lactate dehydrogenase B	-4.105282297049276	8.564195873317514	499.5946344219375	3.799202537063414e-31	3.902625272794585e-28	StrainPWK	10
ENSMUSG00000074516	Gm10709	NA	NA	NA	-11.109373269898104	6.8331467058382875	518.0165653469487	5.606027327041509e-31	5.1827722638498755e-28	StrainPWK	10
ENSMUSG00000022817	Itgb5	Itgb5	16419	integrin beta 5	3.658322053485972	9.218310809814252	443.08288248422605	9.886376836851606e-30	8.309050350608464e-27	StrainPWK	10
ENSMUSG00000030148	Clec4a2	Clec4a2	26888	C-type lectin domain family 4, member a2	-4.544323858345733	6.760242661757397	349.0455016279149	5.573642624886382e-27	4.294027172256217e-24	StrainPWK	10
ENSMUSG00000015852	Fcrls	Fcrls	80891	Fc receptor-like S, scavenger receptor	-6.21371322900916	10.414682920002772	709.9690089198506	2.0390093390361188e-26	1.4500493337991475e-23	StrainPWK	10
ENSMUSG00000071419	Rps15-ps2	NA	NA	NA	-7.077569207221587	6.265615219273945	339.2111147640965	3.377023860162503e-26	2.23004182765731e-23	StrainPWK	10
ENSMUSG00000035929	H2-Q4	H2-Q4	15015	histocompatibility 2, Q region locus 4	-4.635945946771244	7.804884181432874	293.4718419777835	4.870306204216828e-25	3.001732057198972e-22	StrainPWK	10
ENSMUSG00000101496	Gm8885	NA	NA	NA	8.256955416179725	5.287363175663591	265.68007466475575	5.974944466653708e-24	3.452397599638346e-21	StrainPWK	10
ENSMUSG00000045672	Col27a1	Col27a1	373864	collagen, type XXVII, alpha 1	-3.432963058828251	7.218525508454759	261.3844857421832	8.971654922764466e-24	4.8789970447622056e-21	StrainPWK	10
ENSMUSG00000063253	Scoc	Scoc	56367	short coiled-coil protein	2.9461738442492673	8.199019213209601	256.2312656337417	1.4716340639802763e-23	7.558476067498696e-21	StrainPWK	10
ENSMUSG00000027199	Gatm	Gatm	67092	glycine amidinotransferase (L-arginine:glycine amidinotransferase)	-2.7181195105939175	8.951303168623117	243.11636792204612	5.382758271928571e-23	2.6191368538936653e-20	StrainPWK	10
ENSMUSG00000017707	Serinc3	Serinc3	26943	serine incorporator 3	-2.1473225699381886	10.395497820259298	235.00645073829799	1.2348466337409228e-22	5.708078564467415e-20	StrainPWK	10
ENSMUSG00000094326	Gm10045	Gm10045	100043348	predicted pseudogene 10045	9.444870838234637	5.239437799610731	283.5871656576926	1.5601983001140205e-22	6.868587278359105e-20	StrainPWK	10
ENSMUSG00000001418	Glmp	Glmp	56700	glycosylated lysosomal membrane protein	-3.7233218857824717	7.546892688322819	216.85805871995328	8.627866071715e-22	3.625664628772963e-19	StrainPWK	10
ENSMUSG00000018819	Lsp1	Lsp1	16985	lymphocyte specific 1	3.3198977342977845	6.227498197271003	203.24220048991597	4.041526640971322e-21	1.6245179911208642e-18	StrainPWK	10
ENSMUSG00000038034	Igsf8	Igsf8	140559	immunoglobulin superfamily, member 8	2.652942680211249	7.251527465027415	201.7535349711354	4.808010012121723e-21	1.8520855234193887e-18	StrainPWK	10
ENSMUSG00000020100	Slc29a3	Slc29a3	71279	solute carrier family 29 (nucleoside transporters), member 3	1.92720361717638	8.934637033335461	197.81700114488976	7.646975862226324e-21	2.827851673851295e-18	StrainPWK	10
ENSMUSG00000032667	Pon2	Pon2	330260	paraoxonase 2	2.5962367098794763	7.228738530006335	186.1862718809425	3.143560056014133e-20	1.1177774122250255e-17	StrainPWK	10
ENSMUSG00000108365	RP24-174G2.2	NA	NA	NA	3.38997899601144	7.877381937821127	231.82717267365328	3.9313407118727753e-20	1.3461201807875484e-17	StrainPWK	10
ENSMUSG00000027315	Spint1	Spint1	20732	serine protease inhibitor, Kunitz type 1	9.692788390875783	6.10139585335842	294.78008490305814	5.140801708556043e-20	1.6973825641285935e-17	StrainPWK	10
ENSMUSG00000045128	Rpl18a	Rpl18a	76808	ribosomal protein L18A	-3.23630634683085	8.990554757850557	235.08075890172756	1.0369107825683026e-19	3.305600063739296e-17	StrainPWK	10
ENSMUSG00000030054	Gp9	Gp9	54368	glycoprotein 9 (platelet)	-7.201350841512945	5.931914102985519	179.105346128478	1.2524499830558535e-19	3.8596333644504554e-17	StrainPWK	10
ENSMUSG00000103464	Gm38246	NA	NA	NA	6.85926713912781	4.7559090767389	173.51426791738947	1.586001771567235e-19	4.729866573593254e-17	StrainPWK	10
ENSMUSG00000086864	A630077J23Rik	NA	NA	NA	9.344073599959028	4.78583327061587	227.58384274063053	1.760548805747186e-19	5.0863355341039794e-17	StrainPWK	10
ENSMUSG00000029810	Tmem176b	Tmem176b	65963	transmembrane protein 176B	-2.4760553187488434	8.352980648517693	171.2028541370647	2.150916482981236e-19	6.025825116715613e-17	StrainPWK	10
ENSMUSG00000022587	Ly6e	Ly6e	17069	lymphocyte antigen 6 complex, locus E	3.107134563642249	9.896642927189504	285.2213436510844	5.748041730048066e-19	1.5629601704204228e-16	StrainPWK	10
ENSMUSG00000096979	Gm26880	NA	NA	NA	-3.336699503396238	5.932912649113392	169.85917571056424	6.505649207086798e-19	1.7184207691290703e-16	StrainPWK	10
ENSMUSG00000019055	Plod1	Plod1	18822	procollagen-lysine, 2-oxoglutarate 5-dioxygenase 1	2.4111105372198707	7.209850224054832	155.45922883223656	1.8654529742082756e-18	4.790586874043196e-16	StrainPWK	10
