ENSMUSG	Orig_Symbol	Symbol	Entrezid	Genename	logFC	logCPM	F	PValue	FDR	coef	cluster
ENSMUSG00000027523	Gnas	Gnas	14683	GNAS (guanine nucleotide binding protein, alpha stimulating) complex locus	2.1158977352717114	6.620670090336658	21.56575678958037	9.240568102895433e-6	0.03691276368130723	GenotypeAPP-PS1	8
ENSMUSG00000069516	Lyz2	Lyz2	17105	lysozyme 2	1.4730568332142686	9.908712773355063	27.19409693786323	1.2737323561527684e-5	0.03691276368130723	GenotypeAPP-PS1	8
ENSMUSG00000022265	Ank	Ank	11732	progressive ankylosis	1.9738833281728914	5.888102893223926	17.310419229777114	5.8157838133928314e-5	0.1123609432747495	GenotypeAPP-PS1	8
ENSMUSG00000041695	Kcnj2	Kcnj2	16518	potassium inwardly-rectifying channel, subfamily J, member 2	6.1004207743546015	5.172745907863362	16.334985420797228	9.264590201134029e-5	0.1342439120144321	GenotypeAPP-PS1	8
ENSMUSG00000068129	Cst7	Cst7	13011	cystatin F (leukocystatin)	4.191488860286104	7.4938116288321455	23.747886026695603	1.1774746981613077e-4	0.13649286701085878	GenotypeAPP-PS1	8
ENSMUSG00000040952	Rps19	Rps19	20085	ribosomal protein S19	1.2620018548949261	7.8466857757557005	15.576702951792054	1.6214853062796123e-4	0.15663548058661056	GenotypeAPP-PS1	8
ENSMUSG00000081094	Rpl19-ps11	NA	NA	NA	1.0205416791120896	7.84106209605395	13.835909841476868	2.985360613550699e-4	0.2471878588019979	GenotypeAPP-PS1	8
ENSMUSG00000050370	Ch25h	Ch25h	12642	cholesterol 25-hydroxylase	7.108968819995628	4.8514545999921825	15.818946203367238	3.606806032104406e-4	0.2613130970259642	GenotypeAPP-PS1	8
ENSMUSG00000030785	Cox6a2	Cox6a2	12862	cytochrome c oxidase subunit 6A2	3.680345252564016	6.2543271575343	12.968591500713153	4.94955101035216e-4	0.31875108506667915	GenotypeAPP-PS1	8
ENSMUSG00000018001	Cyth3	Cyth3	19159	cytohesin 3	1.9824026487201847	5.7839594659904146	12.532480328495842	5.602496625239204e-4	0.32472070439886425	GenotypeAPP-PS1	8
ENSMUSG00000034353	Ramp1	Ramp1	51801	receptor (calcitonin) activity modifying protein 1	1.2377546004989115	7.004945504690364	12.150936151941963	6.822757344981916e-4	0.3594972870137744	GenotypeAPP-PS1	8
ENSMUSG00000008140	Emc10	Emc10	69683	ER membrane protein complex subunit 10	1.0565985188342324	7.768020897203745	11.936578426997544	7.494861035407166e-4	0.36200178801016614	GenotypeAPP-PS1	8
ENSMUSG00000007891	Ctsd	Ctsd	13033	cathepsin D	0.5161539418459149	13.660958405092176	11.4791909772598	9.384208099725982e-4	0.41839130881547537	GenotypeAPP-PS1	8
ENSMUSG00000011884	Gltp	Gltp	56356	glycolipid transfer protein	1.8845580995780442	5.593950081471885	10.429165299201083	0.0015802448121889812	0.6005502870520063	GenotypeAPP-PS1	8
ENSMUSG00000000628	Hk2	Hk2	15277	hexokinase 2	-1.054658489996496	6.955632694086297	10.23900422856684	0.0017380212384257372	0.6005502870520063	GenotypeAPP-PS1	8
ENSMUSG00000028843	Sh3bgrl3	Sh3bgrl3	73723	SH3 domain binding glutamic acid-rich protein-like 3	1.0744338589649431	6.606953622530664	10.134653734080217	0.0018313939388754034	0.6005502870520063	GenotypeAPP-PS1	8
ENSMUSG00000018585	Atox1	Atox1	11927	antioxidant 1 copper chaperone	1.7903896590667134	5.890841399184914	10.107103031675445	0.0018568963217666392	0.6005502870520063	GenotypeAPP-PS1	8
ENSMUSG00000061411	Nol4l	Nol4l	329540	nucleolar protein 4-like	2.342494962340729	6.061459174096193	10.098362585866223	0.0018650630032671005	0.6005502870520063	GenotypeAPP-PS1	8
ENSMUSG00000064337	mt-Rnr1	NA	NA	NA	-0.7451881942540092	9.837868503230085	10.283388217898054	0.002304753977883602	0.6414884866835527	GenotypeAPP-PS1	8
ENSMUSG00000108483	RP23-4H17.3	NA	NA	NA	-0.9578910855258187	7.975402164176779	9.565210537699922	0.002440058794255338	0.6414884866835527	GenotypeAPP-PS1	8
ENSMUSG00000021939	Ctsb	Ctsb	13030	cathepsin B	0.5735668186493555	10.552308659914686	9.564114670043168	0.0024414122081776214	0.6414884866835527	GenotypeAPP-PS1	8
ENSMUSG00000090862	Rps13	Rps13	68052	ribosomal protein S13	0.8063455062575908	8.061851723420416	9.529191612125297	0.0024849498821379054	0.6414884866835527	GenotypeAPP-PS1	8
ENSMUSG00000020695	Mrc2	Mrc2	17534	mannose receptor, C type 2	1.7444304483700155	7.112129249443442	9.481586194587019	0.002545589232871241	0.6414884866835527	GenotypeAPP-PS1	8
ENSMUSG00000003970	Rpl8	Rpl8	26961	ribosomal protein L8	0.8566264623651244	8.088107109839836	9.118882815624614	0.0030606356601580414	0.7342592666264001	GenotypeAPP-PS1	8
ENSMUSG00000047804	Akap10	Akap10	56697	A kinase (PRKA) anchor protein 10	2.217563102687678	5.071141735880178	9.051799601438763	0.0031670948353450658	0.7342592666264001	GenotypeAPP-PS1	8
ENSMUSG00000025898	Cwf19l2	Cwf19l2	244672	CWF19-like 2, cell cycle control (S. pombe)	-2.08168154579932	5.393316079279538	8.64012733245071	0.003909610194307955	0.7938755215404348	GenotypeAPP-PS1	8
ENSMUSG00000034663	Bmp2k	Bmp2k	140780	BMP2 inducible kinase	-0.6734605963116767	8.038947999616864	8.52961125786968	0.004138027708443255	0.7938755215404348	GenotypeAPP-PS1	8
ENSMUSG00000022000	Zc3h13	Zc3h13	67302	zinc finger CCCH type containing 13	1.4983476277371064	5.855544306393602	8.436623469893332	0.004340872468498413	0.7938755215404348	GenotypeAPP-PS1	8
ENSMUSG00000085791	Rpl30-ps9	NA	NA	NA	0.8635634021368448	7.559764530029148	8.3450190365264465	0.004550750451654681	0.7938755215404348	GenotypeAPP-PS1	8
ENSMUSG00000062328	Rpl17	Rpl17	319195	ribosomal protein L17	1.7723448762439125	4.696363723647583	8.54386714703957	0.004620325612580106	0.7938755215404348	GenotypeAPP-PS1	8
ENSMUSG00000103730	Gm38316	NA	NA	NA	-2.784567602172128	4.90470027118141	8.273051628024358	0.004722972452846039	0.7938755215404348	GenotypeAPP-PS1	8
ENSMUSG00000020097	Sgpl1	Sgpl1	20397	sphingosine phosphate lyase 1	-0.885522670114202	6.923489924564442	8.236032218557334	0.0048141704056184455	0.7938755215404348	GenotypeAPP-PS1	8
ENSMUSG00000105449	Gm43379	NA	NA	NA	2.569598005612554	4.907682847197418	8.162439494694649	0.005000910637300124	0.7938755215404348	GenotypeAPP-PS1	8
ENSMUSG00000066315	Gm12918	NA	NA	NA	0.8063165123375025	7.2748911462560875	8.154902006424537	0.005020454813488051	0.7938755215404348	GenotypeAPP-PS1	8
ENSMUSG00000002985	Apoe	Apoe	11816	apolipoprotein E	1.575894807391117	10.403982922132807	10.073558257669166	0.005187895006302307	0.7938755215404348	GenotypeAPP-PS1	8
ENSMUSG00000032518	Rpsa	Rpsa	16785	ribosomal protein SA	1.0563138762705568	7.1485169025384305	8.077636992355599	0.005250270445439458	0.7938755215404348	GenotypeAPP-PS1	8
ENSMUSG00000058446	Znrf2	Znrf2	387524	zinc and ring finger 2	1.7091705737668115	5.87481725989575	8.0499218420023535	0.005301017264890369	0.7938755215404348	GenotypeAPP-PS1	8
ENSMUSG00000022205	Sub1	Sub1	20024	SUB1 homolog, transcriptional regulator	1.6030056636976182	5.922309219377288	8.026739985848822	0.005365126823302837	0.7938755215404348	GenotypeAPP-PS1	8
ENSMUSG00000006057	Atp5g1	Atp5g1	11951	ATP synthase, H+ transporting, mitochondrial F0 complex, subunit C1 (subunit 9)	2.266137071618516	5.660833565722537	8.026247006235371	0.005366498831978729	0.7938755215404348	GenotypeAPP-PS1	8
ENSMUSG00000019978	Epb41l2	Epb41l2	13822	erythrocyte membrane protein band 4.1 like 2	-0.6508906456658462	8.916564020501085	7.986337790232381	0.005478782067221772	0.7938755215404348	GenotypeAPP-PS1	8
ENSMUSG00000035642	Aamdc	Aamdc	66273	adipogenesis associated Mth938 domain containing	-2.032169881295467	5.039291820380235	7.901964765189358	0.0057242313543302194	0.798891434537398	GenotypeAPP-PS1	8
ENSMUSG00000018572	Phf23	Phf23	78246	PHD finger protein 23	-2.0593455360909965	5.06725408782681	7.880301391657334	0.005789068366213029	0.798891434537398	GenotypeAPP-PS1	8
ENSMUSG00000028936	Rpl22	Rpl22	19934	ribosomal protein L22	0.97025830795788	7.114786772034673	7.677960628233564	0.006490563450769772	0.8461836036927775	GenotypeAPP-PS1	8
ENSMUSG00000027566	Psma7	Psma7	26444	proteasome (prosome, macropain) subunit, alpha type 7	1.4777312878650362	6.288682444655242	7.658934264002187	0.00649683763680459	0.8461836036927775	GenotypeAPP-PS1	8
