ENSMUSG	Orig_Symbol	Symbol	Entrezid	Genename	logFC	logCPM	F	PValue	FDR	coef	cluster
ENSMUSG00000059751	Rps3a3	NA	NA	NA	-11.53455919612727	8.43229968778796	904.371904929338	3.5842994107354414e-37	3.3136848052249154e-33	StrainCAST	10
ENSMUSG00000017002	Slpi	Slpi	20568	secretory leukocyte peptidase inhibitor	-12.429111297174455	7.959668908436084	1270.319570690454	3.1623550250518052e-34	1.461798610330197e-30	StrainCAST	10
ENSMUSG00000069515	Lyz1	Lyz1	17110	lysozyme 1	11.394275081571244	7.1015757112926465	687.0532893916699	1.421891033824255e-33	4.3817942025684124e-30	StrainCAST	10
ENSMUSG00000038900	Rpl12	Rpl12	269261	ribosomal protein L12	-4.520035205193647	8.230311835584901	591.0883008501798	1.6105556102282146e-32	3.7223966541399614e-29	StrainCAST	10
ENSMUSG00000048758	Rpl29	Rpl29	19944	ribosomal protein L29	-8.188951730307773	9.060816300695867	775.0850625494874	4.325668104271906e-32	7.998160324798754e-29	StrainCAST	10
ENSMUSG00000060198	Gm11353	NA	NA	NA	-10.803371796272547	6.61993224612959	580.7199159991684	5.55032351012451e-32	8.552123475183516e-29	StrainCAST	10
ENSMUSG00000058603	Rpl28-ps1	NA	NA	NA	-10.433630128957985	7.802719690427881	613.2875858022983	1.371032710153481e-31	1.5854822496646485e-28	StrainCAST	10
ENSMUSG00000058064	Gm10036	NA	NA	NA	11.283052069820565	7.160100724473975	577.3814920585728	1.3719694967352285e-31	1.5854822496646485e-28	StrainCAST	10
ENSMUSG00000030246	Ldhb	Ldhb	16832	lactate dehydrogenase B	4.105282296919982	8.564195873383024	499.59463615233915	3.7992083437773095e-31	3.902631237580136e-28	StrainCAST	10
ENSMUSG00000074516	Gm10709	NA	NA	NA	11.109373270038358	6.8331467060484785	518.0165668608531	5.606036371017075e-31	5.182780625005285e-28	StrainCAST	10
ENSMUSG00000022817	Itgb5	Itgb5	16419	integrin beta 5	-3.65832205351335	9.218310809849928	443.08288236570365	9.886391825173498e-30	8.309062947611727e-27	StrainCAST	10
ENSMUSG00000030148	Clec4a2	Clec4a2	26888	C-type lectin domain family 4, member a2	4.544323858326989	6.7602426617335105	349.04550401007447	5.5736488310237324e-27	4.294031953567867e-24	StrainCAST	10
ENSMUSG00000015852	Fcrls	Fcrls	80891	Fc receptor-like S, scavenger receptor	6.213713228742547	10.414682920000418	709.9690095623425	2.039009590562795e-26	1.4500495126733106e-23	StrainCAST	10
ENSMUSG00000071419	Rps15-ps2	NA	NA	NA	7.077569207221025	6.265615219107613	339.211114193073	3.377028381870798e-26	2.2300448135996808e-23	StrainCAST	10
