ENSMUSG	Orig_Symbol	Symbol	Entrezid	Genename	logFC	logCPM	F	PValue	FDR	coef	cluster
ENSMUSG00000020077	Srgn	Srgn	19073	serglycin	2.1122593287570344	8.325424443201593	27.650644165827973	7.658047650384154e-7	0.0034352917313336773	StrainCAST-GenotypeAPP-PS1	8
ENSMUSG00000048758	Rpl29	Rpl29	19944	ribosomal protein L29	4.947368722380558	6.769886296220138	30.369553107558104	1.1854008734760791e-6	0.0034352917313336773	StrainCAST-GenotypeAPP-PS1	8
ENSMUSG00000064337	mt-Rnr1	NA	NA	NA	1.3999019590027113	9.837868503230085	17.434724350564192	1.1446271888057454e-4	0.17407184882316562	StrainCAST-GenotypeAPP-PS1	8
ENSMUSG00000032076	Cadm1	Cadm1	54725	cell adhesion molecule 1	1.8804776143478166	7.522870790601324	15.754292001695664	1.2013240084414467e-4	0.17407184882316562	StrainCAST-GenotypeAPP-PS1	8
ENSMUSG00000021360	Gcnt2	Gcnt2	14538	glucosaminyl (N-acetyl) transferase 2, I-branching enzyme	5.3573070735992925	4.7852310900345545	14.119612421083799	2.684953587762019e-4	0.31123981989337324	StrainCAST-GenotypeAPP-PS1	8
ENSMUSG00000018001	Cyth3	Cyth3	19159	cytohesin 3	-2.6257753508619803	5.7839594659904146	13.112917407294011	4.228005277880157e-4	0.40842530984322317	StrainCAST-GenotypeAPP-PS1	8
ENSMUSG00000015396	Cd83	Cd83	12522	CD83 antigen	1.9722023854509398	6.632772755265695	12.786524775007587	4.951939534757747e-4	0.41002059347794145	StrainCAST-GenotypeAPP-PS1	8
ENSMUSG00000031634	Ufsp2	Ufsp2	192169	UFM1-specific peptidase 2	1.8709204076515555	6.278085571033202	11.42056263709909	9.659465770753825e-4	0.665608649631857	StrainCAST-GenotypeAPP-PS1	8
ENSMUSG00000022000	Zc3h13	Zc3h13	67302	zinc finger CCCH type containing 13	-2.250181756496844	5.855544306393602	11.14753147302412	0.0011054729063183812	0.665608649631857	StrainCAST-GenotypeAPP-PS1	8
ENSMUSG00000061436	Hipk2	Hipk2	15258	homeodomain interacting protein kinase 2	2.2856897488879313	5.496132079199031	10.605977548244404	0.0014467443081229766	0.665608649631857	StrainCAST-GenotypeAPP-PS1	8
ENSMUSG00000033392	Clasp2	Clasp2	76499	CLIP associating protein 2	2.6669107189280017	5.149979624059364	10.353981025596239	0.0016407875666941036	0.665608649631857	StrainCAST-GenotypeAPP-PS1	8
ENSMUSG00000033467	Crlf2	Crlf2	57914	cytokine receptor-like factor 2	1.4518512976678593	7.283210456213134	10.298175662689244	0.0017505521869540094	0.665608649631857	StrainCAST-GenotypeAPP-PS1	8
ENSMUSG00000108483	RP23-4H17.3	NA	NA	NA	1.3482683859584361	7.975402164176779	10.155398670413412	0.0018124291657964193	0.665608649631857	StrainCAST-GenotypeAPP-PS1	8
ENSMUSG00000036305	Rpl39-ps	NA	NA	NA	1.8997061323334423	6.589385713870022	10.419504408095053	0.0018137863232858939	0.665608649631857	StrainCAST-GenotypeAPP-PS1	8
ENSMUSG00000000628	Hk2	Hk2	15277	hexokinase 2	1.5871919529779808	6.955632694086297	10.073413836185287	0.0018885777510748224	0.665608649631857	StrainCAST-GenotypeAPP-PS1	8
ENSMUSG00000022538	Lsg1	Lsg1	224092	large 60S subunit nuclear export GTPase 1	-2.4086255522033118	5.775444683318146	10.07080122525152	0.0018910577631593506	0.665608649631857	StrainCAST-GenotypeAPP-PS1	8
ENSMUSG00000035202	Lars2	Lars2	102436	leucyl-tRNA synthetase, mitochondrial	1.899700806328526	6.579103787194379	10.257016154967602	0.0020225740749366095	0.665608649631857	StrainCAST-GenotypeAPP-PS1	8
ENSMUSG00000105176	Gm43668	NA	NA	NA	2.3517965232696074	5.552151166138068	9.89381320236042	0.0020671076075523508	0.665608649631857	StrainCAST-GenotypeAPP-PS1	8
ENSMUSG00000029131	Dnajb6	Dnajb6	23950	DnaJ heat shock protein family (Hsp40) member B6	2.0406008899168016	5.9972903464970395	9.685777333589526	0.0022957737650935537	0.7003318285516966	StrainCAST-GenotypeAPP-PS1	8
ENSMUSG00000084796	Mir142hg	NA	NA	NA	2.6843242866091446	5.377076701939267	9.549491604336977	0.0024595460539575597	0.7127764464369009	StrainCAST-GenotypeAPP-PS1	8
ENSMUSG00000081855	Rpl17-ps5	NA	NA	NA	1.9606899169215535	6.897127375478025	10.05470882744906	0.002761861035943961	0.7622736459205333	StrainCAST-GenotypeAPP-PS1	8
ENSMUSG00000041695	Kcnj2	Kcnj2	16518	potassium inwardly-rectifying channel, subfamily J, member 2	-5.386650612891795	5.172745907863362	9.218679916811288	0.002922159606142477	0.7698562307818998	StrainCAST-GenotypeAPP-PS1	8
ENSMUSG00000030054	Gp9	Gp9	54368	glycoprotein 9 (platelet)	-1.3966798401779301	7.265773217047973	9.076971034756246	0.0031267081354642784	0.7813375430238018	StrainCAST-GenotypeAPP-PS1	8
ENSMUSG00000039671	Zmynd8	Zmynd8	228880	zinc finger, MYND-type containing 8	-1.1409806661421213	8.008797365116923	9.063525781748645	0.0032353521450260944	0.7813375430238018	StrainCAST-GenotypeAPP-PS1	8
ENSMUSG00000046434	Hnrnpa1	Hnrnpa1	15382	heterogeneous nuclear ribonucleoprotein A1	1.9347661533650444	5.723738619361491	8.863005533388858	0.003487675609522928	0.8085827133117957	StrainCAST-GenotypeAPP-PS1	8
ENSMUSG00000094870	Zfp131	Zfp131	72465	zinc finger protein 131	-3.301910453339128	4.972920655061992	8.586967679718692	0.004017812118241094	0.861291541760519	StrainCAST-GenotypeAPP-PS1	8
ENSMUSG00000027698	Nceh1	Nceh1	320024	neutral cholesterol ester hydrolase 1	2.143541650226041	5.748724083489563	8.499215854346113	0.004203233555769029	0.861291541760519	StrainCAST-GenotypeAPP-PS1	8
ENSMUSG00000038366	Lasp1	Lasp1	16796	LIM and SH3 protein 1	2.2865793512123447	5.508187246162277	8.485414275185352	0.004233190671756812	0.861291541760519	StrainCAST-GenotypeAPP-PS1	8
ENSMUSG00000001211	Agpat3	Agpat3	28169	1-acylglycerol-3-phosphate O-acyltransferase 3	1.3685479767061965	6.736338229229334	8.450739911066732	0.004309429729305565	0.861291541760519	StrainCAST-GenotypeAPP-PS1	8
ENSMUSG00000024858	Adrbk1	Grk2	110355	G protein-coupled receptor kinase 2	1.6992527105370814	6.115612510948295	8.295595279288275	0.004668311806192915	0.9019178409564711	StrainCAST-GenotypeAPP-PS1	8
ENSMUSG00000022789	Dnm1l	Dnm1l	74006	dynamin 1-like	2.762683578139252	5.354706553385492	8.072663101892237	0.00539035577637356	0.919577472988075	StrainCAST-GenotypeAPP-PS1	8
ENSMUSG00000020397	Med7	Med7	66213	mediator complex subunit 7	-1.697384637519684	6.104441766740336	7.929751463621462	0.005642165453224817	0.919577472988075	StrainCAST-GenotypeAPP-PS1	8
ENSMUSG00000067212	H2-T23	H2-T23	15040	histocompatibility 2, T region locus 23	1.0320975888073851	8.085855499776862	7.861903440433003	0.006039676254295699	0.919577472988075	StrainCAST-GenotypeAPP-PS1	8
ENSMUSG00000022292	Rrm2b	Rrm2b	382985	ribonucleotide reductase M2 B (TP53 inducible)	1.609889216924922	6.137025425829544	7.691339044368295	0.006387876499548321	0.919577472988075	StrainCAST-GenotypeAPP-PS1	8
ENSMUSG00000016256	Ctsz	Ctsz	64138	cathepsin Z	0.7024248420767054	11.675546006711564	7.672353710504987	0.006451483175474923	0.919577472988075	StrainCAST-GenotypeAPP-PS1	8
ENSMUSG00000032180	Tmed1	Tmed1	17083	transmembrane p24 trafficking protein 1	-1.9976632527164997	5.801548315747346	7.631029647046665	0.006592208381658106	0.919577472988075	StrainCAST-GenotypeAPP-PS1	8
ENSMUSG00000101493	2810405F17Rik	NA	NA	NA	-2.728790679706357	5.015868666626414	7.543390030083416	0.006901274661875963	0.919577472988075	StrainCAST-GenotypeAPP-PS1	8
ENSMUSG00000081344	Gm14303	NA	NA	NA	1.3044100929069635	7.189680456461825	7.631510184046855	0.006984948391473031	0.919577472988075	StrainCAST-GenotypeAPP-PS1	8
ENSMUSG00000022199	Slc22a17	Slc22a17	59049	solute carrier family 22 (organic cation transporter), member 17	1.8421582908459457	5.680585238206117	7.50752646089908	0.007032041573940764	0.919577472988075	StrainCAST-GenotypeAPP-PS1	8
ENSMUSG00000061315	Naca	Naca	17938	nascent polypeptide-associated complex alpha polypeptide	1.4494617941436843	6.454569354576602	7.6236108403489515	0.007043513277993352	0.919577472988075	StrainCAST-GenotypeAPP-PS1	8
ENSMUSG00000039115	Itga9	Itga9	104099	integrin alpha 9	-1.9169115607400065	5.4376924977344245	7.455561874764416	0.00722608725186511	0.919577472988075	StrainCAST-GenotypeAPP-PS1	8
ENSMUSG00000101939	Gm28438	NA	NA	NA	0.8187953969860259	10.628724768371738	7.6202520913966625	0.007270193324857972	0.919577472988075	StrainCAST-GenotypeAPP-PS1	8
ENSMUSG00000060216	Arrb2	Arrb2	216869	arrestin, beta 2	-1.1511437428492834	7.471170498130315	7.395312151964772	0.007458034078716636	0.919577472988075	StrainCAST-GenotypeAPP-PS1	8
ENSMUSG00000016181	Diexf	Utp25	215193	UTP25 small subunit processome component	-2.8404591255947502	4.786738621512856	7.369780812580099	0.007558638444305283	0.919577472988075	StrainCAST-GenotypeAPP-PS1	8
ENSMUSG00000102349	Gm37376	NA	NA	NA	-0.7436255955013642	13.743698385945192	7.6925232222520075	0.00759077135191143	0.919577472988075	StrainCAST-GenotypeAPP-PS1	8
ENSMUSG00000004937	Sgta	Sgta	52551	small glutamine-rich tetratricopeptide repeat (TPR)-containing, alpha	-2.3869340410677276	5.288797754509786	7.348135009593246	0.0076450336186319875	0.919577472988075	StrainCAST-GenotypeAPP-PS1	8
ENSMUSG00000105361	AY036118	NA	NA	NA	1.1824572190555067	7.722283494044564	7.584519777338012	0.007771712718606017	0.919577472988075	StrainCAST-GenotypeAPP-PS1	8
ENSMUSG00000105449	Gm43379	NA	NA	NA	-3.0307763828601764	4.907682847197418	7.270424605308055	0.007963727991898975	0.919577472988075	StrainCAST-GenotypeAPP-PS1	8
ENSMUSG00000022051	Bnip3l	Bnip3l	12177	BCL2/adenovirus E1B interacting protein 3-like	-1.4352954974843706	6.526788524902168	7.262784523833156	0.007995795327052382	0.919577472988075	StrainCAST-GenotypeAPP-PS1	8
ENSMUSG00000064339	mt-Rnr2	NA	NA	NA	0.8067260466509789	12.759383305992325	7.698072487728801	0.008003461017551956	0.919577472988075	StrainCAST-GenotypeAPP-PS1	8
ENSMUSG00000032300	1700017B05Rik	1700017B05Rik	74211	RIKEN cDNA 1700017B05 gene	1.4926189351338683	6.188545944969458	7.226850540326275	0.008148425056045941	0.919577472988075	StrainCAST-GenotypeAPP-PS1	8
ENSMUSG00000025351	Cd63	Cd63	12512	CD63 antigen	1.4196583584312301	9.156596427241631	8.516305411126659	0.008250177466421652	0.919577472988075	StrainCAST-GenotypeAPP-PS1	8
ENSMUSG00000085109	Gm15356	NA	NA	NA	-2.1915694893312825	5.761636871261748	7.125486654296551	0.008739448684921212	0.9498228961441733	StrainCAST-GenotypeAPP-PS1	8
ENSMUSG00000093798	Gm8355	NA	NA	NA	1.303927398295316	7.54026858720555	7.309974689067497	0.008849281641094782	0.9498228961441733	StrainCAST-GenotypeAPP-PS1	8
ENSMUSG00000011884	Gltp	Gltp	56356	glycolipid transfer protein	-1.973907425962252	5.593950081471885	7.016923921062204	0.009102582623244645	0.9529972173794268	StrainCAST-GenotypeAPP-PS1	8
ENSMUSG00000030432	Rpl28	Rpl28	19943	ribosomal protein L28	1.0916759235645734	7.643311057890381	7.0655288171533055	0.009294954048117164	0.9529972173794268	StrainCAST-GenotypeAPP-PS1	8
ENSMUSG00000022560	Slc52a2	Slc52a2	52710	solute carrier protein 52, member 2	2.481121303363349	4.926673753420817	6.961748042140182	0.009372125843793534	0.9529972173794268	StrainCAST-GenotypeAPP-PS1	8
ENSMUSG00000106106	Rn18s-rs5	NA	NA	NA	2.1143653741842887	11.070056393404899	8.260380930005397	0.009995165387721586	0.966713496446025	StrainCAST-GenotypeAPP-PS1	8
ENSMUSG00000046805	Mpeg1	Mpeg1	17476	macrophage expressed gene 1	0.8006136058736297	8.995707821068995	6.8355037229687134	0.010020495266481088	0.966713496446025	StrainCAST-GenotypeAPP-PS1	8
ENSMUSG00000020423	Btg2	Btg2	12227	BTG anti-proliferation factor 2	0.9589948910361843	8.514718991378258	6.93944874098052	0.01022663073100338	0.966713496446025	StrainCAST-GenotypeAPP-PS1	8
ENSMUSG00000090516	Rps11-ps1	NA	NA	NA	-2.1980522893674057	5.202982284904769	6.7822438081793175	0.010307847366725544	0.966713496446025	StrainCAST-GenotypeAPP-PS1	8
ENSMUSG00000025980	Hspd1	Hspd1	15510	heat shock protein 1 (chaperonin)	1.5697976284332558	6.270804031113733	6.7121605825995685	0.010788888838240094	0.966713496446025	StrainCAST-GenotypeAPP-PS1	8
ENSMUSG00000021990	Spata13	Spata13	219140	spermatogenesis associated 13	1.6580204524739774	6.208979563434467	6.6875723141842185	0.010839964127784542	0.966713496446025	StrainCAST-GenotypeAPP-PS1	8
ENSMUSG00000083424	Rpl35a-ps4	NA	NA	NA	2.348632298601881	5.213519916904848	6.6567417837932	0.011019354146441548	0.966713496446025	StrainCAST-GenotypeAPP-PS1	8
ENSMUSG00000020695	Mrc2	Mrc2	17534	mannose receptor, C type 2	-1.673094949959892	7.112129249443442	6.628917097514925	0.011183905394707339	0.966713496446025	StrainCAST-GenotypeAPP-PS1	8
ENSMUSG00000032870	Smap2	Smap2	69780	small ArfGAP 2	-0.957266134931054	7.8010034388116365	6.617996338991159	0.011249185821178105	0.966713496446025	StrainCAST-GenotypeAPP-PS1	8
ENSMUSG00000067575	Rpl35a-ps3	NA	NA	NA	2.3128766674493675	5.4113877789809814	6.564856335832381	0.011572543191337017	0.966713496446025	StrainCAST-GenotypeAPP-PS1	8
ENSMUSG00000094664	Rpl35a-ps6	NA	NA	NA	2.3128766674493675	5.4113877789809814	6.564856335832381	0.011572543191337017	0.966713496446025	StrainCAST-GenotypeAPP-PS1	8
ENSMUSG00000095526	Gm10243	NA	NA	NA	2.3128766674493675	5.4113877789809814	6.564856335832381	0.011572543191337017	0.966713496446025	StrainCAST-GenotypeAPP-PS1	8
ENSMUSG00000002393	Nr2f6	Nr2f6	13864	nuclear receptor subfamily 2, group F, member 6	-2.371359186002113	5.174863085262698	6.547186081483786	0.011682197380520983	0.966713496446025	StrainCAST-GenotypeAPP-PS1	8
ENSMUSG00000052825	Gm9892	NA	NA	NA	2.749619575552769	5.204018540460133	6.498991005282964	0.011986807387952894	0.966713496446025	StrainCAST-GenotypeAPP-PS1	8
ENSMUSG00000083380	Gm3244	NA	NA	NA	-2.25327067162751	4.936772079093545	6.463222551169875	0.012218214675922026	0.966713496446025	StrainCAST-GenotypeAPP-PS1	8
ENSMUSG00000061411	Nol4l	Nol4l	329540	nucleolar protein 4-like	-2.224429464755261	6.061459174096193	6.438432655037941	0.012381320517981872	0.966713496446025	StrainCAST-GenotypeAPP-PS1	8
ENSMUSG00000022742	Cpox	Cpox	12892	coproporphyrinogen oxidase	-2.1979936408985434	5.705191295480822	6.422525043709359	0.012487178035662606	0.966713496446025	StrainCAST-GenotypeAPP-PS1	8
ENSMUSG00000043311	D17H6S53E	D17H6S53E	114585	DNA segment, Chr 17, human D6S53E	-2.4001653898310895	5.2460540953134	6.4024415845327916	0.012622171614005688	0.966713496446025	StrainCAST-GenotypeAPP-PS1	8
ENSMUSG00000008140	Emc10	Emc10	69683	ER membrane protein complex subunit 10	-1.0372077065578118	7.768020897203745	6.394492369560994	0.012676022382660095	0.966713496446025	StrainCAST-GenotypeAPP-PS1	8
ENSMUSG00000022498	Txndc11	Txndc11	106200	thioredoxin domain containing 11	-1.2575853303512439	6.76575445831796	6.2347719007584645	0.013810287985279229	1	StrainCAST-GenotypeAPP-PS1	8
ENSMUSG00000022912	Pros1	Pros1	19128	protein S (alpha)	-0.7763505131977658	8.831431853472147	6.218480480662063	0.01393178422088319	1	StrainCAST-GenotypeAPP-PS1	8
ENSMUSG00000035139	Secisbp2	Secisbp2	75420	SECIS binding protein 2	-2.2990232072005554	5.30516469594509	6.179175436192564	0.014229519892368581	1	StrainCAST-GenotypeAPP-PS1	8
ENSMUSG00000044583	Tlr7	Tlr7	170743	toll-like receptor 7	-1.1765671609422987	7.005724575887761	6.168487819715381	0.014311620839198022	1	StrainCAST-GenotypeAPP-PS1	8
ENSMUSG00000046791	2410016O06Rik	Riox1	71952	ribosomal oxygenase 1	-2.463550432969367	5.070818674693867	6.156123091784093	0.014407222039047797	1	StrainCAST-GenotypeAPP-PS1	8
ENSMUSG00000069682	Gm10275	NA	NA	NA	1.7835251927964033	6.479200334383737	6.880057029881193	0.014874919676290226	1	StrainCAST-GenotypeAPP-PS1	8
ENSMUSG00000026786	Apbb1ip	Apbb1ip	54519	amyloid beta (A4) precursor protein-binding, family B, member 1 interacting protein	-0.7127213091334235	9.256918412670963	6.03647464678687	0.015367482807549161	1	StrainCAST-GenotypeAPP-PS1	8
ENSMUSG00000022788	Fgd4	Fgd4	224014	FYVE, RhoGEF and PH domain containing 4	-1.0337652989900437	7.426909705013156	5.988007035454746	0.015775270453236526	1	StrainCAST-GenotypeAPP-PS1	8
ENSMUSG00000060591	Ifitm2	Ifitm2	80876	interferon induced transmembrane protein 2	-5.226005587407667	6.8683444841724635	5.9857463446527115	0.015828425602614105	1	StrainCAST-GenotypeAPP-PS1	8
ENSMUSG00000060475	Wtap	Wtap	60532	Wilms tumour 1-associating protein	1.325803525740574	6.17058917160731	5.939572370961138	0.016194084331910562	1	StrainCAST-GenotypeAPP-PS1	8
ENSMUSG00000068396	Rpl34-ps1	Rpl34-ps1	619547	ribosomal protein L34, pseudogene 1	1.3822337386568293	6.651221672202366	5.889667062407227	0.016744382836118503	1	StrainCAST-GenotypeAPP-PS1	8
ENSMUSG00000059820	AU019823	Nkapd1	270156	NKAP domain containing 1	-2.225915496191254	5.164970836305201	5.8658325286598805	0.016854158774438417	1	StrainCAST-GenotypeAPP-PS1	8
ENSMUSG00000036748	Cuedc2	Cuedc2	67116	CUE domain containing 2	1.6177215613698772	5.864501850912173	5.850213066976653	0.01699754900698869	1	StrainCAST-GenotypeAPP-PS1	8
ENSMUSG00000006411	Pvrl4	Nectin4	71740	nectin cell adhesion molecule 4	-1.9709206669449864	5.425618641071451	5.811000230542886	0.017363180846004696	1	StrainCAST-GenotypeAPP-PS1	8
ENSMUSG00000029007	Agtrap	Agtrap	11610	angiotensin II, type I receptor-associated protein	-2.3554232142429767	5.199901701705198	5.801491152676411	0.017470531704223635	1	StrainCAST-GenotypeAPP-PS1	8
ENSMUSG00000029915	Clec5a	Clec5a	23845	C-type lectin domain family 5, member a	1.5162940591995686	6.935173733538651	5.756596529729329	0.017884133932327656	1	StrainCAST-GenotypeAPP-PS1	8
ENSMUSG00000020923	Ubtf	Ubtf	21429	upstream binding transcription factor, RNA polymerase I	1.491285918912846	5.908953926091198	5.7508939595118775	0.01793967891655757	1	StrainCAST-GenotypeAPP-PS1	8
ENSMUSG00000032560	Dnajc13	Dnajc13	235567	DnaJ heat shock protein family (Hsp40) member C13	-1.950467191383951	5.364548584316521	5.711970470106785	0.018323660601084753	1	StrainCAST-GenotypeAPP-PS1	8
ENSMUSG00000029004	Kmt2e	Kmt2e	69188	lysine (K)-specific methyltransferase 2E	1.0284410920861946	7.215585168279435	5.681309546903387	0.018632184279579304	1	StrainCAST-GenotypeAPP-PS1	8
ENSMUSG00000029389	Ddx55	Ddx55	67848	DEAD (Asp-Glu-Ala-Asp) box polypeptide 55	-1.4648473008135818	6.207906879867707	5.651832112439566	0.01893392931335192	1	StrainCAST-GenotypeAPP-PS1	8
ENSMUSG00000021686	Ap3b1	Ap3b1	11774	adaptor-related protein complex 3, beta 1 subunit	-1.8871045412802534	5.592477753028228	5.647693329022666	0.018976703739361382	1	StrainCAST-GenotypeAPP-PS1	8
