ENSMUSG	Orig_Symbol	Symbol	Entrezid	Genename	logFC	logCPM	F	PValue	FDR	coef	cluster
ENSMUSG00000022817	Itgb5	Itgb5	16419	integrin beta 5	-4.507557706163759	9.830983059322255	345.3750415179579	5.491493503003771e-38	3.1828696343409854e-34	StrainCAST	8
ENSMUSG00000064345	mt-Nd2	ND2	17717	NADH dehydrogenase subunit 2	-3.5654272576375243	11.454939619517116	317.7517679968113	3.0138581565524767e-35	8.734160937689078e-32	StrainCAST	8
ENSMUSG00000054702	Ap1s3	Ap1s3	252903	adaptor-related protein complex AP-1, sigma 3	-3.3173661756039534	10.193435379381512	252.0200567532815	6.592522984681442e-32	1.2736754406404547e-28	StrainCAST	8
ENSMUSG00000108365	RP24-174G2.2	NA	NA	NA	-3.2976625803613175	8.70442751307613	169.55119144903352	4.0262869590438353e-25	5.834089803654517e-22	StrainCAST	8
ENSMUSG00000030124	Lag3	Lag3	16768	lymphocyte-activation gene 3	-3.2990783865943065	8.156804171520093	160.3104187227926	3.955562475564243e-24	4.585288021674071e-21	StrainCAST	8
ENSMUSG00000064351	mt-Co1	COX1	17708	cytochrome c oxidase subunit I	2.3284771373054642	11.40613030008846	151.29901129158085	2.3141430738371633e-23	2.2354622093266998e-20	StrainCAST	8
ENSMUSG00000101776	Gm28268	NA	NA	NA	-3.310818662908339	8.259265261231548	149.13596565755992	6.19387126275736e-23	5.128525405563094e-20	StrainCAST	8
ENSMUSG00000069892	9930111J21Rik2	9930111J21Rik2	245240	RIKEN cDNA 9930111J21 gene 2	-4.408547510604387	6.6033558014565275	136.76623379630004	7.096477307718808e-22	5.141397809442276e-19	StrainCAST	8
ENSMUSG00000069515	Lyz1	Lyz1	17110	lysozyme 1	6.221239768944613	7.184396733921492	137.81149341853094	8.62529362222958e-22	5.55468909271585e-19	StrainCAST	8
ENSMUSG00000023087	Noct	Noct	12457	nocturnin	-3.7488396970743816	7.288063791622698	144.88611264179042	1.0448170959586972e-21	6.05575988817661e-19	StrainCAST	8
ENSMUSG00000023764	Sfi1	Sfi1	78887	Sfi1 homolog, spindle assembly associated (yeast)	2.7100965510415547	9.060131541782598	129.160836225879	4.59758363397521e-21	2.4225086129563926e-18	StrainCAST	8
