ENSMUSG	Orig_Symbol	Symbol	Entrezid	Genename	logFC	logCPM	F	PValue	FDR	coef	cluster
ENSMUSG00000027533	Fabp5	Fabp5	16592	fatty acid binding protein 5, epidermal	2.1308912607548804	1.5062088389081008	27.136542468336668	1.6250171474812965e-5	0.27880419199336604	StrainB6-GenotypeAPP-PS1	H
ENSMUSG00000050370	Ch25h	Ch25h	12642	cholesterol 25-hydroxylase	3.077938246708456	2.2138354571340444	22.975420696756238	6.54733349624512e-5	0.5424481305203349	StrainB6-GenotypeAPP-PS1	H
ENSMUSG00000084319	Tpt1-ps3	NA	NA	NA	4.604079997284605	-0.10433149591637758	20.790406967285755	9.485017144961269e-5	0.5424481305203349	StrainB6-GenotypeAPP-PS1	H
ENSMUSG00000070858	Gm1673	Gm1673	381633	predicted gene 1673	1.4016128204470844	1.1989794982584434	16.02029328087137	4.2524566808224966e-4	1	StrainB6-GenotypeAPP-PS1	H
ENSMUSG00000030905	Crym	Crym	12971	crystallin, mu	4.577106585269506	-0.38866080853608814	16.069707232825014	4.954078190096388e-4	1	StrainB6-GenotypeAPP-PS1	H
ENSMUSG00000070873	Lilra5	Lilra5	232801	leukocyte immunoglobulin-like receptor, subfamily A (with TM domain), member 5	-1.4764470732627697	3.056566493193006	14.070760607160418	8.284569851564954e-4	1	StrainB6-GenotypeAPP-PS1	H
ENSMUSG00000022265	Ank	Ank	11732	progressive ankylosis	0.6577163750846418	4.737114945365864	13.897951589600336	9.043284146694945e-4	1	StrainB6-GenotypeAPP-PS1	H
ENSMUSG00000018927	Ccl6	Ccl6	20305	chemokine (C-C motif) ligand 6	0.5332346788767403	8.358442696996454	13.613630760190128	9.826310377631462e-4	1	StrainB6-GenotypeAPP-PS1	H
ENSMUSG00000041012	Cmtm8	Cmtm8	70031	CKLF-like MARVEL transmembrane domain containing 8	-0.6715434536356091	5.062312036440438	13.452262916641715	0.0011288702123921337	1	StrainB6-GenotypeAPP-PS1	H
ENSMUSG00000028937	Acot7	Acot7	70025	acyl-CoA thioesterase 7	-0.7947122025643872	2.313368819326326	12.250197945286805	0.0015966505436367164	1	StrainB6-GenotypeAPP-PS1	H
ENSMUSG00000104524	Gm37333	NA	NA	NA	-1.1043200405378868	2.2771034374594117	12.091506058268603	0.0016934401919845615	1	StrainB6-GenotypeAPP-PS1	H
ENSMUSG00000068129	Cst7	Cst7	13011	cystatin F (leukocystatin)	1.8342490045518436	4.721877291488024	13.272174673634904	0.0017248511438662819	1	StrainB6-GenotypeAPP-PS1	H
ENSMUSG00000047757	Fancb	Fancb	237211	Fanconi anemia, complementation group B	1.2126383849898859	0.7012463627337949	11.959439746960769	0.0017788293136313275	1	StrainB6-GenotypeAPP-PS1	H
ENSMUSG00000024598	Fbn2	Fbn2	14119	fibrillin 2	4.671560651833051	-1.439820051608512	12.527994434564253	0.001782743076136278	1	StrainB6-GenotypeAPP-PS1	H
ENSMUSG00000022565	Plec	Plec	18810	plectin	-1.1043982376298282	2.616266988444364	11.949539311295373	0.001785415502769015	1	StrainB6-GenotypeAPP-PS1	H
ENSMUSG00000070939	Tgfbrap1	Tgfbrap1	73122	transforming growth factor, beta receptor associated protein 1	-0.31545999501080635	5.694418813213756	11.762402744991755	0.0019149959920742293	1	StrainB6-GenotypeAPP-PS1	H
ENSMUSG00000032443	Zcwpw2	NA	NA	NA	0.7812044911009656	1.9944450662135638	11.504330920578855	0.002110650506317529	1	StrainB6-GenotypeAPP-PS1	H
ENSMUSG00000030103	Bhlhe40	Bhlhe40	20893	basic helix-loop-helix family, member e40	1.9986319837116604	-0.07221767136220388	10.992598685944193	0.0025656388488259924	1	StrainB6-GenotypeAPP-PS1	H
