ENSMUSG	Orig_Symbol	Symbol	Entrezid	Genename	logFC	logCPM	F	PValue	FDR	coef	cluster
ENSMUSG00000029810	Tmem176b	Tmem176b	65963	transmembrane protein 176B	-1.425632712051	8.76388979226694	26.96789021820693	5.283988206071228e-6	0.0291927008654559	StrainPWK-GenotypeAPP-PS1	7
ENSMUSG00000023367	Tmem176a	Tmem176a	66058	transmembrane protein 176A	-1.7713427918215	8.329120861744284	29.290192574799143	5.5137786127974125e-6	0.0291927008654559	StrainPWK-GenotypeAPP-PS1	7
ENSMUSG00000057863	Rpl36	Rpl36	54217	ribosomal protein L36	1.3412546424559604	9.316998534347425	25.647270909645233	2.7034284405170325e-5	0.09542201252211618	StrainPWK-GenotypeAPP-PS1	7
ENSMUSG00000102037	Bcl2a1a	Bcl2a1a	12044	B cell leukemia/lymphoma 2 related protein A1a	3.9284788961514483	5.7074504145217	23.28955247840066	7.306160343411673e-5	0.16222780483643498	StrainPWK-GenotypeAPP-PS1	7
ENSMUSG00000009687	Fxyd5	Fxyd5	18301	FXYD domain-containing ion transport regulator 5	-1.6498580776367697	6.066285363928475	19.214517267277976	8.001384719972211e-5	0.16222780483643498	StrainPWK-GenotypeAPP-PS1	7
ENSMUSG00000033880	Lgals3bp	Lgals3bp	19039	lectin, galactoside-binding, soluble, 3 binding protein	0.8567800284004178	8.00467566338251	17.445892718252022	9.192245056366134e-5	0.16222780483643498	StrainPWK-GenotypeAPP-PS1	7
ENSMUSG00000062611	Rps3a2	NA	NA	NA	-5.053255787147767	8.237795843372131	18.989786034469198	1.2699977366951925e-4	0.19211437191236277	StrainPWK-GenotypeAPP-PS1	7
ENSMUSG00000055093	Gm8430	Gm8430	667035	predicted pseudogene 8430	-4.697407725870458	8.790481002165428	22.13464790332745	1.6968310570211235e-4	0.21572558991983926	StrainPWK-GenotypeAPP-PS1	7
ENSMUSG00000039917	Rhbdd2	Rhbdd2	215160	rhomboid domain containing 2	-1.9341344685228248	4.154691048038952	15.791593232064892	1.8335350923397422e-4	0.21572558991983926	StrainPWK-GenotypeAPP-PS1	7
ENSMUSG00000049086	Bmyc	Bmyc	107771	brain expressed myelocytomatosis oncogene	-0.9361889781576094	7.446558095054345	14.94861609872178	2.624727289185896e-4	0.23028932841406002	StrainPWK-GenotypeAPP-PS1	7
ENSMUSG00000021661	Ankra2	Ankra2	68558	ankyrin repeat, family A (RFXANK-like), 2	1.5813904884870416	5.370114293259671	14.813705234289792	2.7810792027744196e-4	0.23028932841406002	StrainPWK-GenotypeAPP-PS1	7
ENSMUSG00000073409	H2-Q6	H2-Q6	110557	histocompatibility 2, Q region locus 6	3.072690474746763	5.345337465397463	15.70417958708949	2.8239080534052906e-4	0.23028932841406002	StrainPWK-GenotypeAPP-PS1	7
ENSMUSG00000057262	Gm10020	NA	NA	NA	-3.5514520776551435	6.955942506062401	20.02110925417854	2.8272370095219383e-4	0.23028932841406002	StrainPWK-GenotypeAPP-PS1	7
ENSMUSG00000053318	Slamf8	Slamf8	74748	SLAM family member 8	1.0732307760837927	6.252514852516472	14.492899910773593	3.1929325929581275e-4	0.23155094492385117	StrainPWK-GenotypeAPP-PS1	7
ENSMUSG00000026249	Serpine2	Serpine2	20720	serine (or cysteine) peptidase inhibitor, clade E, member 2	0.9717771267164977	7.868967299300974	14.430550505551	3.2800681592763887e-4	0.23155094492385117	StrainPWK-GenotypeAPP-PS1	7
