ENSMUSG	Orig_Symbol	Symbol	Entrezid	Genename	logFC	logCPM	F	PValue	FDR	coef	cluster
ENSMUSG00000022817	Itgb5	Itgb5	16419	integrin beta 5	-4.6726213446189275	9.297383399770595	777.8701924776697	2.416911305604678e-37	1.6687098396643596e-33	StrainCAST	7
ENSMUSG00000054702	Ap1s3	Ap1s3	252903	adaptor-related protein complex AP-1, sigma 3	-3.429351401058351	9.772475753415364	770.873631475221	3.1517798463771073e-37	1.6687098396643596e-33	StrainCAST	7
ENSMUSG00000059751	Rps3a3	NA	NA	NA	-9.46315861862298	8.629974952443034	791.2188478664583	1.9684402769795588e-36	6.94793803097885e-33	StrainCAST	7
ENSMUSG00000027014	Cwc22	Cwc22	80744	CWC22 spliceosome-associated protein	-4.582295198453387	7.852671998922178	675.1419497055088	1.5182748967522814e-35	4.0192532204274767e-32	StrainCAST	7
ENSMUSG00000062611	Rps3a2	NA	NA	NA	8.842163440368276	8.237795843107232	834.5214366709719	2.2917225023023536e-35	4.8534099153759246e-32	StrainCAST	7
ENSMUSG00000030246	Ldhb	Ldhb	16832	lactate dehydrogenase B	3.973954204372294	8.62878654480385	603.6565180035749	3.8647792703530184e-34	6.820691282294685e-31	StrainCAST	7
ENSMUSG00000082926	Gm8172	NA	NA	NA	7.032942527011129	7.210151512239132	522.2756580566647	2.4215938235385686e-32	3.663179571064272e-29	StrainCAST	7
ENSMUSG00000026458	Ppfia4	Ppfia4	68507	protein tyrosine phosphatase, receptor type, f polypeptide (PTPRF), interacting protein (liprin), alpha 4	-3.7071719377214727	7.854038018349019	388.78194074586645	9.08310442055573e-29	1.2022624088658079e-25	StrainCAST	7
ENSMUSG00000101776	Gm28268	NA	NA	NA	-3.646757226559522	8.142572281359403	350.4743216530367	2.230986186804399e-27	2.6248791924524203e-24	StrainCAST	7
ENSMUSG00000022769	Sdf2l1	Sdf2l1	64136	stromal cell-derived factor 2-like 1	-3.9542639279078844	7.184573574821237	340.33795927952673	3.3469582264475434e-27	3.544094065985304e-24	StrainCAST	7
ENSMUSG00000072692	Rpl37rt	Rpl37rt	100502825	ribosomal protein L37, retrotransposed	-5.864234462273397	8.644292454952822	561.743978204777	4.4063031693530295e-27	4.241667660025384e-24	StrainCAST	7
ENSMUSG00000108365	RP24-174G2.2	NA	NA	NA	-3.6800538920473507	8.176050672008445	341.96426085656947	9.295496895631074e-27	8.20250138565312e-24	StrainCAST	7
ENSMUSG00000083483	Gm14044	NA	NA	NA	6.219117954111415	7.162092877881974	412.8877441410345	1.2318886956349645e-26	1.003420722929126e-23	StrainCAST	7
ENSMUSG00000030148	Clec4a2	Clec4a2	26888	C-type lectin domain family 4, member a2	3.9131799098800153	6.9623647616728395	318.7177568135268	1.9303155165313436e-26	1.460007928896457e-23	StrainCAST	7
ENSMUSG00000071419	Rps15-ps2	NA	NA	NA	5.497811702847408	6.527806093980883	306.4631737099819	5.449804467449243e-26	3.847198633721335e-23	StrainCAST	7
ENSMUSG00000048758	Rpl29	Rpl29	19944	ribosomal protein L29	-6.503767933984623	9.255068330487433	569.1763594931161	6.634406448155202e-26	4.390733117469715e-23	StrainCAST	7
ENSMUSG00000028391	Wdr31	Wdr31	71354	WD repeat domain 31	4.150250820736016	8.259774135837374	467.3372392368035	7.808988091808204e-26	4.864080876715122e-23	StrainCAST	7
ENSMUSG00000096979	Gm26880	NA	NA	NA	8.619911838948207	6.009591496865118	302.08848818712306	1.1244135596113575e-25	6.614675101513704e-23	StrainCAST	7
ENSMUSG00000023341	Mx2	Mx2	17858	MX dynamin-like GTPase 2	3.528010950913896	7.74554251380004	312.61022308127514	1.2793619655099647e-25	7.130086238307903e-23	StrainCAST	7
ENSMUSG00000069892	9930111J21Rik2	9930111J21Rik2	245240	RIKEN cDNA 9930111J21 gene 2	-3.887872484184449	7.904031589774953	286.9636658956925	3.0582451932239493e-25	1.6191879175524201e-22	StrainCAST	7
